"Species","January","February","March","April","May.June","June","July","August","September","October","November","December","Landings","year","May","Species.January","area"
"Shad threadfin",0,0,0,0,NA,0,0,0,10,0,0,0,10,2009,0,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,0,0,0,10,0,0,0,10,2009,0,NA,"Sacramento Delta"
"Grand Total",606,1248,1185,4284,NA,8355,15862,64729,46240,24953,13025,1808,191009,2009,8714,NA,"Sacramento Delta"
"Shad threadfin",0,0,110,668,NA,1117,1544,3035,5386,5042,4601,1473,23313,2010,337,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,260,0,0,0,0,260,2010,0,NA,"Sacramento Delta"
"Crayfish unspecified",1057,658,1682,2794,NA,4464,5321,21622,17732,5289,4108,1435,69913,2010,3751,NA,"Sacramento Delta"
"Waters Area Total",1057,658,1792,3462,NA,5581,6865,24917,23118,10331,8709,2908,93486,2010,4088,NA,"Sacramento Delta"
"Grand Total",1057,658,1792,3462,NA,5581,6865,24917,23118,10331,8709,2908,93486,2010,4088,NA,"Sacramento Delta"
"Shad threadfin",0,0,0,330,NA,725,365,1705,2231,3767,3862,315,13690,2011,390,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,545,400,0,0,0,945,2011,0,NA,"Sacramento Delta"
"Crayfish unspecified",1563,1489,1684,1199,NA,7152,9139,14756,29102,15469,3042,3110,93734,2011,6029,NA,"Sacramento Delta"
"Waters Area Total",1563,1489,1684,1529,NA,7877,9504,17006,31733,19236,6904,3425,108369,2011,6419,NA,"Sacramento Delta"
"Grand Total",1563,1489,1684,1529,NA,7877,9504,17006,31733,19236,6904,3425,108369,2011,6419,NA,"Sacramento Delta"
"Shad American",0,0,0,0,NA,0,0,0,0,0,2065,0,2065,2012,0,NA,"Sacramento Delta"
"Shad threadfin",0,0,0,36,NA,61,3638,7766,6530,5790,4532,1530,30130,2012,247,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,764,169,0,0,0,933,2012,0,NA,"Sacramento Delta"
"Crayfish unspecified",1888,1093,1043,1178,NA,5281,8885,26266,19756,13509,5717,112,88280,2012,3552,NA,"Sacramento Delta"
"Waters Area Total",1888,1093,1043,1214,NA,5342,12523,34796,26455,19299,12314,1642,121408,2012,3799,NA,"Sacramento Delta"
"Grand Total",1888,1093,1043,1214,NA,5342,12523,34796,26455,19299,12314,1642,121408,2012,3799,NA,"Sacramento Delta"
"Shad American",0,0,0,0,NA,0,0,0,0,0,0,1310,1310,2013,0,NA,"Sacramento Delta"
"Shad threadfin",0,0,0,612,NA,563,745,1550,1975,4435,4525,180,16060,2013,1475,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,43,1510,1616,0,0,0,3169,2013,0,NA,"Sacramento Delta"
"Crayfish unspecified",707,1585,3246,3925,NA,9388,6200,30722,8625,16502,2637,3460,94412,2013,7415,NA,"Sacramento Delta"
"Waters Area Total",707,1585,3246,4537,NA,9951,6988,33782,12216,20937,7162,4950,114951,2013,8890,NA,"Sacramento Delta"
"Grand Total",707,1585,3246,4537,NA,9951,6988,33782,12216,20937,7162,4950,114951,2013,8890,NA,"Sacramento Delta"
"Shad threadfin",280,0,0,682,NA,14,260,1885,2675,5300,1905,49,13817,2014,767,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,666,750,440,0,0,1856,2014,0,NA,"Sacramento Delta"
"Crayfish unspecified",4573,2863,2332,1952,NA,5931,5711,20363,16291,6666,795,1027,71980,2014,3476,NA,"Sacramento Delta"
"Waters Area Total",4853,2863,2332,2634,NA,5945,5971,22914,19716,12406,2700,1076,87653,2014,4243,NA,"Sacramento Delta"
"Grand Total",4853,2863,2332,2634,NA,5945,5971,22914,19716,12406,2700,1076,87653,2014,4243,NA,"Sacramento Delta"
"Shad American",0,0,0,40,NA,0,0,0,0,0,0,0,40,2015,0,NA,"Sacramento Delta"
"Shad threadfin",0,0,90,85,NA,20,2410,3815,3775,5645,1166,155,17256,2015,95,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,120,9020,1607,0,0,240,10987,2015,0,NA,"Sacramento Delta"
"Crayfish unspecified",552,844,1309,2499,NA,3418,3861,26381,7772,5668,276,2417,60169,2015,5172,NA,"Sacramento Delta"
"Shrimp brine",0,0,0,0,NA,7381,0,0,0,0,0,0,7381,2015,0,NA,"Sacramento Delta"
"Waters Area Total",552,844,1399,2624,NA,10819,6391,39216,13154,11313,1442,2812,95833,2015,5267,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,0,920,0,0,0,920,2015,0,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,0,0,0,920,0,0,0,920,2015,0,NA,"Sacramento Delta"
"Grand Total",552,844,1399,2624,NA,10819,6391,39216,14074,11313,1442,2812,96753,2015,5267,NA,"Sacramento Delta"
"Goby yellowfin",0,0,0,0,NA,0,0,0,0,0,118,189,307,2016,0,NA,"Sacramento Delta"
"Mudsucker longjaw",0,0,0,0,NA,0,0,0,0,0,91,0,91,2016,0,NA,"Sacramento Delta"
"Shad threadfin",0,0,0,0,NA,86,1953,7000,8305,5065,1765,0,24788,2016,614,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,850,1189,120,0,0,2159,2016,0,NA,"Sacramento Delta"
"Crayfish unspecified",251,437,431,880,NA,6565,8298,3550,10229,8925,2238,956,48352,2016,5592,NA,"Sacramento Delta"
"Waters Area Total",251,437,431,880,NA,6651,10251,11400,19723,14110,4212,1145,75697,2016,6206,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,0,0,80,0,0,80,2016,0,NA,"Sacramento Delta"
"Crayfish unspecified",0,0,0,0,NA,0,0,0,0,1280,0,0,1280,2016,0,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,0,0,0,0,1360,0,0,1360,2016,0,NA,"Sacramento Delta"
"Grand Total",251,437,431,880,NA,6651,10251,11400,19723,15470,4212,1145,77057,2016,6206,NA,"Sacramento Delta"
"Goby bluebanded",0,0,0,0,NA,0,0,720,0,0,0,0,720,2017,0,NA,"Sacramento Delta"
"Goby yellowfin",0,0,0,0,NA,0,0,0,0,0,0,51,51,2017,0,NA,"Sacramento Delta"
"Shad threadfin",0,0,0,620,NA,270,1050,2050,1540,3855,3940,2080,16782,2017,1377,NA,"Sacramento Delta"
"Smelt night",0,0,0,0,NA,0,353,0,0,0,0,0,353,2017,0,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,48,0,0,188,0,0,0,236,2017,0,NA,"Sacramento Delta"
"Crayfish signal",0,0,0,0,NA,814,0,0,0,0,0,0,814,2017,0,NA,"Sacramento Delta"
"Crayfish unspecified",0,0,285,285,NA,3813,7729,27674,9578,7476,2029,660,60022,2017,493,NA,"Sacramento Delta"
"Waters Area Total",0,0,285,905,NA,4945,9132,30444,11306,11331,5969,2791,78978,2017,1870,NA,"Sacramento Delta"
"Crayfish unspecified",0,0,0,0,NA,1255,1610,0,0,0,0,0,2865,2017,0,NA,"Sacramento Delta"
"Waters Area Total",0,0,0,0,NA,1255,1610,0,0,0,0,0,2865,2017,0,NA,"Sacramento Delta"
"Grand Total",0,0,285,905,NA,6200,10742,30444,11306,11331,5969,2791,81843,2017,1870,NA,"Sacramento Delta"
"Goby yellowfin",0,0,0,0,NA,0,0,0,10,76,37,0,123,2018,0,NA,"Sacramento Delta"
"Shad threadfin",185,0,0,460,NA,161,465,140,5835,7380,5905,1005,21981,2018,445,NA,"Sacramento Delta"
"Crayfish red swamp",0,0,0,0,NA,0,0,100,1127,0,0,0,1227,2018,0,NA,"Sacramento Delta"
"Crayfish signal",0,0,0,0,NA,0,4082,6199,0,0,0,0,10281,2018,0,NA,"Sacramento Delta"
"Crayfish unspecified",130,475,337,991,NA,13366,10522,11922,33812,12320,3051,2565,91488,2018,1997,NA,"Sacramento Delta"
