Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, bigeye..................................","2,181","5,387","7,387","1,564",0,0,"12,665","23,658","11,433",0,"44,135",624,"109,034"
"Tuna, bluefin..................................",0,0,0,0,0,0,0,0,0,0,0,303,303
"Tuna, skipjack...............................",0,0,0,0,0,0,0,0,0,0,348,0,348
"Tuna, unspecified.........................",0,0,0,0,0,0,0,0,0,0,150,72,222
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,102,0,0,418,0,520
"Turbot, curlfin................................",0,0,0,0,8,0,0,14,211,455,0,0,688
"Turbot, hornyhead........................",0,0,5,0,0,0,0,0,0,0,0,0,5
Turbot..............................................,0,4,71,115,64,0,115,94,964,259,286,0,"1,972"
Wahoo.............................................,0,0,92,20,0,0,621,260,66,0,382,0,"1,441"
"Whiting, Pacific.............................",9,0,0,0,0,0,0,0,0,1,0,0,10
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness..........................","288,335","183,479","148,806","142,608","87,353","76,905","3,035",0,981,0,"6,196,309","1,359,439","8,487,252"
"Crab, rock unspecified................","1,593","3,150","2,802","2,251","1,674","2,519","3,692","5,346","5,157","1,555","29,756","1,813","61,307"
"Prawn, spot....................................",0,0,"2,613","4,653",0,0,0,"10,256","4,266","2,638",0,0,"24,426"
"Shrimp, bay....................................","4,726","3,009","3,173","1,935","2,520","2,278","2,602","1,558","2,357","2,465","2,353","1,554","30,530"
"Shrimp, coonstriped.....................",0,0,0,0,0,0,27,114,0,0,0,0,141
"Shrimp, ocean (pink)....................",0,0,0,0,0,0,0,0,11,0,0,0,11
Echinoderms,,,,,,,,,,,,,
"Sea urchin, red..............................",0,0,0,0,0,0,0,0,"9,440","1,742",612,"1,275","13,068"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified..................",149,93,364,88,116,34,119,276,176,128,30,30,"1,603"
"Squid, jumbo..................................",130,0,0,0,0,0,0,0,0,0,0,0,130
"Squid, market.................................",0,0,0,0,0,"320,953","13,352,002","8,447,807","815,093",0,0,0,"22,935,855"
Waters Area Total:,"5,312,944","2,186,899","359,013","259,937","423,101","565,502","13,657,957","8,812,719","1,169,757","133,942","6,357,295","1,475,229","40,714,295"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish).................................,0,0,0,0,0,0,0,0,0,0,"2,200",0,"2,200"
"Fish, unspecified..........................",0,0,0,0,0,0,0,0,0,0,122,0,122
Oilfish..............................................,0,0,0,0,0,0,0,0,0,0,609,0,609
Opah................................................,0,0,0,0,0,0,0,0,0,0,"5,276",0,"5,276"
"Pomfret, Pacific.............................",0,0,0,0,0,0,0,0,0,0,34,0,34
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,0,"2,806",0,"2,806"
Swordfish........................................,0,0,0,0,0,0,0,0,0,0,"23,240",0,"23,240"
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,0,0,0,88,0,88
Waters Area Total:,0,0,0,0,0,0,0,0,0,0,"34,375",0,"34,375"
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
aters North Of State,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,0,367,"5,110","6,586",0,0,,"12,063"
Waters Area Total:,0,0,0,0,0  0,,0,367,"5,110","6,586",0,0,,"12,063"
Grand Total:,"5,312,944","2,186,899","359,013","259,937","423,101  565,502",,"13,657,957","8,813,086","1,174,867","140,528","6,391,670","1,475,229",,"40,760,733"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"13,938",,,,
"",,,,,End of Report,,,,,,,,,
