"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
"Shark, soupfin......................",250,288,40,32,288,153,233,211,74,412,"1,331",248,"3,560"
"Shark, spiny dogfish.............",24,0,0,0,0,0,0,0,0,0,0,"1,650","1,674"
"Shark, thresher.....................",180,0,0,564,0,0,0,0,119,0,0,0,863
"Shark, unspecified................",149,85,10,274,845,397,396,0,29,380,927,141,"3,633"
"Sheephead, California..........",0,0,0,0,0,0,0,0,0,14,0,0,14
"Skate, big.............................",0,0,0,0,52,0,78,5,0,0,0,0,135
"Skate, unspecified................","2,631","4,518","7,265","4,972","5,793","2,255","3,666","6,648","4,872","2,061","1,535","2,569","48,784"
"Smelt, surf............................",0,0,0,0,0,0,0,40,0,0,0,0,40
"Smelts, true..........................",0,0,0,0,0,0,0,0,242,315,0,0,557
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sole, Dover..........................","3,190","47,151","73,046","21,537","37,050","29,478","36,101","91,219","55,264","4,930",0,"3,560","402,526"
"Sole, English........................","8,297","5,077","14,213","6,290","26,203","10,385","11,634","13,624","17,282","14,591","12,163","8,454","148,213"
"Sole, petrale.........................","18,405","5,791","19,066","7,961","41,715","20,235","12,164","10,811","14,385","22,256","27,574","30,021","230,384"
"Sole, rex...............................","2,875","4,124","4,261","2,925","1,275",307,"1,442","1,850","1,899",477,"1,472","1,631","24,538"
"Sole, rock.............................",175,145,"1,515","2,384","5,277",450,"2,115",688,153,522,"1,806",79,"15,309"
"Sole, sand............................","6,905","8,449","13,152","3,563","18,803","10,374","17,576","5,812","3,883","7,043","4,923","3,262","103,746"
"Stickleback, threespine........",12,7,9,7,9,8,7,5,7,6,7,26,111
"Surfperch, barred.................",0,0,0,4,0,0,0,0,35,0,0,0,39
"Surfperch, redtail..................",0,0,0,0,0,0,0,4,0,0,0,0,4
"Surfperch, rubberlip..............",0,0,0,178,0,0,0,0,0,0,0,0,178
"Surfperch, shiner..................",0,0,0,0,0,0,8,20,6,8,37,16,95
"Surfperch, unspecified..........",787,"1,756","2,066","1,338",148,4,198,237,213,267,564,854,"8,431"
"Surfperch, walleye................",0,0,0,124,0,0,0,0,0,0,0,0,124
Swordfish.............................,727,0,0,"3,155","5,558",0,"9,090",0,0,0,537,0,"19,067"
"Thornyhead, longspine.........",0,"9,268","11,802",215,"5,019","2,400","4,038","8,790","5,420","2,490",0,94,"49,536"
"Thornyhead, shortspine........",561,"2,651","2,855",49,"2,021","1,025","2,805","4,619","3,524","1,678",0,0,"21,788"
Thornyheads........................,60,0,58,0,0,"2,530",543,170,716,0,0,0,"4,077"
"Trawled fish, unspecified......",0,0,0,0,0,0,0,0,0,21,0,0,21
"Tuna, albacore.....................",0,0,0,"1,276",208,"1,571","8,145","17,438","29,527","44,011","2,609",66,"104,851"
"Tuna, bigeye........................",0,0,0,0,"1,826",0,438,0,0,0,0,0,"2,264"
"Tuna, bluefin........................",0,0,0,"3,640",174,0,0,0,0,59,167,0,"4,040"
