California Waters - Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Prawn, spot 2,163","2,100","1,749","1,177",0,0,0,"4,250","3,183","3,493",938,324,"19,377"
California Waters – Echinoderms,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Sea urchin, red 560",447,305,738,637,140,592,390,0,"1,374",847,476,"6,506"
California Waters – Mollusks,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Squid, market 0",0,0,0,0,"1,953","71,800","372,297",0,0,0,0,"446,050"
California Waters – Worms,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
Jellyfish 0,0,0,0,0,0,562,0,0,0,0,0,562
"California Waters Total 138,178","108,369","208,360","154,761","342,371","548,009","437,472","954,100","322,478","1,417,731","528,703","3,489,751","8,650,283"
"",,,,,,,,,,,,
Other Waters – Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
Cabezon,0,0,,0,0,,0,6,,0,0,0
Dolphin (fish),0,0,,0,20,,0,0,,0,0,0
Escolar,0,0,,0,0,,0,0,,0,0,0
"Greenling, kelp",0,0,,0,0,,7,16,,0,0,0
"Halibut, California",0,0,,0,0,,0,0,,0,0,0
Lingcod,0,0,,0,0,,52,126,,25,0,0
Oilfish,0,174,,0,137,,0,0,,0,0,0
Opah,0,277,,0,0,,0,0,,0,0,0
Pomfret,0,0,,0,0,,0,0,,0,0,0
"Rockfish, black",0,0,,0,0,,3,31,,0,0,0
"Rockfish, blue",0,0,,0,0,,0,15,,32,0,0
"Rockfish, brown",0,0,,0,0,,12,0,,0,0,0
Species January,February,,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, canary",0,,0,,0,0,,12,14,,0,0,0
"Rockfish, gopher",0,,0,,0,0,,76,12,,0,0,0
"Rockfish, group bolina",0,,0,,0,0,,95,188,,0,0,0
"Rockfish, olive",0,,0,,0,0,,0,12,,0,0,0
"Rockfish, vermilion",0,,0,,0,0,,8,33,,0,0,0
Sablefish,0,,0,,50,0,,0,0,,0,0,0
"Salmon, Chinook",0,,0,,0,0,,0,77,,144,53,0
"Salmon, Roe (Chinook,",0,,0,,0,0,,0,0,,2,2,0
Coho),,,,,,,,,,,,,
"Shark, leopard",0,,0,,0,0,,0,55,,0,0,0
"Shark, shortfin mako",0,,"1,825",,0,426,,0,0,,0,0,0
Swordfish,0,,"52,234",,0,"40,413",,0,0,,0,0,0
"Tuna, albacore",0,,0,,0,0,,0,0,,0,0,0
"Tuna, bigeye",0,,"10,084",,0,"1,825",,0,0,,0,0,0
"Tuna, skipjack",0,,0,,0,0,,0,0,,0,0,0
"Tuna, yellowfin",0,,534,,0,"1,545",,0,0,,0,0,0
Wahoo,0,,0,,0,43,,0,0,,0,0,0
Other Waters – Crustaceans,,,,,,,,,,,,,
Species January,February,,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, box 0",0,,0,0,0,0,0,549,0,0,0,0,549
"Crab, Dungeness 0",0,,0,0,0,0,0,0,0,0,0,465,465
Other Waters Total: 0,"65,128",,50,"44,409",265,585,203,604,0,"52,112","20,785","66,979","251,119"
"",,,,,,,,,,,,,
Waters North of the State – Finfish,,,,,,,,,,,,,
Species January,February,,March,April,May,June,July,August,September,October,November,December,Landings
"Tuna, Albacore 0",0,,,0,0,0,0,0,"4,002","14,659",0,0,"18,661"
North of State Total 0,0,,0,0,0,0,0,0,"4,002","14,659",0,0,"18,661"
"Grand Total: 138,178","173,497",,"208,410","199,170","342,636","548,594","437,675","954,704","326,480","1,484,502","549,488","3,556,730","8,920,063"
