$,% &,,,"! &",,( $,,,),,(,,%&,,%&,,)& &,"!",*$ !,,,"+ ,","!",,$,"!",,',
"Thornyhead, longspine.......................",0,,,0,,0,,,387,860,"1,797",329,"8,635","9,516","1,830",,116,,,0,,"23,470"
"Thornyhead, shortspine......................",67,,,0,,474,,,766,"1,133","1,694","2,005","4,643","6,566","2,455",,312,,,0,,"20,114"
Topsmelt............................................,0,,,0,,0,,,0,0,0,0,0,0,19,,0,,,0,,19
"Tuna, albacore...................................",848,,,"1,671",,"2,701",,,"2,251",0,0,0,"1,195","219,165","173,795",,"1,132",,,0,,"402,758"
"Tuna, bigeye......................................","1,819",,,677,,"3,434",,,"2,429",0,0,0,0,"5,880",0,,0,,,0,,"14,239"
"Tuna, skipjack....................................",0,,,0,,0,,,0,0,0,0,0,36,0,,0,,,0,,36
"Tuna, yellowfin...................................",0,,,0,,0,,,0,0,0,0,0,120,0,,0,,,0,,120
"Turbot, curlfin.....................................",0,,,0,,0,,,0,0,0,0,36,84,168,,0,,,0,,288
Turbot................................................,2,,,4,,13,,,16,1,0,67,30,0,30,,0,,,0,,163
Wahoo...............................................,0,,,0,,0,,,0,0,0,0,0,93,0,,0,,,0,,93
"Whiting, Pacific...................................",0,,,0,,0,,,0,0,0,0,2,0,0,,0,,,0,,2
Crustaceans,,,,,,,,,,,,,,,,,,,,,,
"Crab, Dungeness...............................","1,808,543",,,"625,370",,"292,394",,,"146,189","60,303","39,595",0,0,0,0,,"369,597",,,"7,301,001",,"10,642,992"
"Crab, red rock....................................",0,,,0,,0,,,0,0,0,0,0,0,0,,0,,,215,,215
"Crab, rock unspecified.......................",344,,,378,,534,,,364,639,622,"1,172",997,"1,158","1,149",,139,,,677,,"8,172"
"Prawn, spot........................................",0,,,255,,0,,,20,0,0,0,"2,070",0,0,,0,,,0,,"2,345"
"Shrimp, bay........................................","6,464",,,"4,425",,"4,033",,,"1,616","2,016","2,734","3,574","2,870","3,349","2,120",,"1,497",,,"3,652",,"38,350"
$,% &,,,"! &",,( $,,,),,(,%&,%&,)& &,"!",*$ !,,"+ , !",,,$ !,,,'
California Waters,,,,,,,,,,,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,,,,,,,,,,,
"Shrimp, coonstriped...........................",0,,,0,,0,,,0,,976,654,230,540,"1,136","1,040",,,0,,,0,,"4,576"
"Shrimp, ocean (pink)..........................",0,,,0,,7,,,0,,0,0,0,0,0,0,,,0,,,0,,7
Echinoderms,,,,,,,,,,,,,,,,,,,,,,,,
"Sea urchin, red...................................",0,,,0,,0,,,402,,0,0,0,0,0,0,,,0,,,0,,402
Mollusks,,,,,,,,,,,,,,,,,,,,,,,,
"Octopus, unspecified.........................",120,,,0,,60,,,103,,112,186,118,156,89,0,,,0,,,0,,944
"Squid, market.....................................",0,,,0,,0,,,0,,0,0,0,"601,030","454,339","353,575",,,0,,,0,,"1,408,943"
Waters Area Total:,"5,459,410",,,"798,476",,"447,448",,,"292,293",,"180,915","198,245","202,238","928,934","1,004,960","766,484",,"423,458",,,"7,334,065",,,"18,036,924"
Other Waters,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,
Oilfish.................................................,0,,,0,,0,,,0,,0,0,0,0,0,0,,528,,,377,,,905
Opah..................................................,0,,,0,,0,,,0,,0,0,0,0,0,0,,"1,111",,,,0,,"1,111"
"Shark, shortfin mako...........................",0,,,0,,0,,,0,,0,0,0,0,0,0,,"1,943",,,,0,,"1,943"
Swordfish...........................................,0,,,0,,0,,,0,,0,0,0,0,0,0,,"72,096",,,"54,215",,,"126,311"
"Tuna, albacore...................................",0,,,0,,0,,,0,,0,0,0,0,0,0,,"15,714",,,"1,633",,,"17,347"
"Tuna, yellowfin...................................",0,,,0,,0,,,0,,0,0,0,0,0,0,,,78,,,0,,78
Crustaceans,,,,,,,,,,,,,,,,,,,,,,,,
"Crab, Dungeness...............................",0,,,0,,0,,,0,,0,0,0,0,0,0,,,0,,"6,734",,,"6,734"
Waters Area Total:,0,,,0,,0,,,0,,0,0,0,0,0,0,,"91,470",,,"62,959",,,"154,429"
Waters North Of State,,,,,,,,,,,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,,,,,,,,,,,
"Tuna, albacore...................................",0,,,0,,0,,,0,,0,0,0,0,0,"11,915",,"49,967",,,,0,,"61,882"
Waters Area Total:,0,,,0,,0,,,0,,0,0,0,0,0,"11,915",,"49,967",,,,0,,"61,882"
Grand Total:,"5,459,410",,,"798,476",,"447,448",,,"292,293",,"180,915","198,245","202,238","928,934","1,004,960","778,399",,"564,895",,,"7,397,024",,,"18,253,235"
"",,,,,,,,,,,,,,,,"11,408",,,,,,,,
