"",,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,May,,June,July,August,September,October,November,December,Landings
"Rockfish, yelloweye",0,,0,0,,0,0,,0,,0,,1,0,0,0,0,1
"Rockfish, yellowtail",44,,35,0,,0,95,,75,,422,,264,222,69,49,57,"1,332"
Sablefish,"4,671",,"6,479","14,074",,"8,667","20,327",,"10,622",,"23,029",,"13,437","8,236","13,084","8,143","6,009","136,778"
"Salmon, Chinook",0,,0,9,,0,"14,707",,"87,509",,"57,868",,"158,960","105,991","26,186",0,0,"451,230"
"Salmon, pink",0,,0,0,,0,0,,0,,0,,0,52,0,0,0,52
"Salmon, Roe (Chinook,",0,,0,0,,0,0,,14,,32,,356,449,98,0,0,948
Coho),,,,,,,,,,,,,,,,,,
Sanddab,17,,166,"1,329",,830,"15,936",,"5,222",,0,,0,0,0,107,0,"23,607"
"Sanddab, Pacific",3,,51,331,,0,122,,"4,532",,"10,604",,"15,727","8,917","20,584","10,313",0,"71,184"
"Sardine, Pacific",0,,0,0,,1,0,,0,,0,,0,0,0,0,0,1
"Sculpin, staghorn",14,,7,0,,10,51,,52,,49,,58,121,76,74,43,555
"Seabass, white",0,,0,0,,93,58,,137,,454,,379,"2,925","2,456",244,0,"6,745"
"Seaperch, striped",227,,191,74,,0,0,,0,,0,,0,0,0,0,208,700
"Shad, American",1,,98,11,,0,0,,6,,6,,2,4,0,0,0,128
"Shark, leopard",65,,70,0,,0,44,,0,,87,,248,50,25,101,0,690
"Shark, sixgill",0,,0,0,,3,0,,0,,0,,0,0,0,0,0,3
"Shark, soupfin",79,,326,200,,120,316,,131,,215,,114,0,191,196,0,"1,888"
"Shark, spiny dogfish","2,206",,525,"3,429",,"2,432",661,,931,,"3,481",,15,27,0,0,0,"13,707"
"Shark, thresher",0,,0,0,,0,0,,0,,30,,25,16,0,0,0,71
"Shark, unspecified",47,,0,3,,34,0,,0,,0,,0,35,61,58,0,238
"Skate, big",0,,62,168,,215,7,,83,,"1,785",,182,8,0,0,0,"2,510"
Species,January,,February,March,,April,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Skate, California",0,,0,25,,116,0,,16,,0,,5,,0,0,,0,0,162
"Skate, longnose",167,,0,38,,"1,328",0,,731,,"5,169",,"1,989",,"1,072",278,,750,0,"11,522"
"Skate, unspecified",929,,"2,310","1,962",,"1,656","1,443",,207,,88,,14,,35,0,,0,0,"8,644"
"Smelt, night",0,,0,0,,0,0,,0,,0,,0,,10,0,,0,0,10
"Smelt, surf",0,,0,0,,0,0,,0,,0,,0,,0,0,,0,72,72
"Sole, curlfin",0,,49,8,,84,115,,5,,6,,180,,1,14,,63,0,525
"Sole, Dover",69,,49,167,,186,120,,114,,977,,85,,193,0,,0,0,"1,960"
"Sole, English",171,,182,389,,218,196,,821,,565,,"2,148",,"1,312",249,,"1,628",0,"7,879"
"Sole, petrale","9,103",,"19,845","8,140",,"10,841","34,509",,"19,005",,"25,381",,"33,086",,"20,911","41,186",,"19,497",0,"241,504"
"Sole, rex",203,,210,150,,164,108,,43,,55,,54,,232,120,,647,0,"1,986"
"Sole, rock",0,,4,72,,7,8,,30,,262,,425,,18,73,,342,0,"1,241"
"Sole, sand",221,,683,996,,"1,097","1,881",,"1,694",,"3,912",,"2,477",,"3,664","3,659",,108,0,"20,392"
"Sole, slender",0,,0,5,,5,2,,0,,0,,0,,0,0,,0,0,12
"Sole, unspecified",0,,0,0,,0,0,,0,,0,,0,,0,2,,0,0,2
"Surfperch, barred",0,,45,49,,0,0,,0,,0,,0,,0,0,,0,0,94
"Surfperch, black",285,,987,580,,0,0,,0,,0,,0,,0,0,,0,195,"2,047"
"Surfperch, pile",28,,44,124,,0,0,,0,,0,,0,,0,0,,0,7,203
"Surfperch, redtail",0,,43,3,,0,0,,0,,0,,0,,0,0,,0,0,46
"Surfperch, rubberlip",19,,74,72,,0,0,,0,,0,,0,,0,0,,0,104,269
"Surfperch, unspecified",0,,0,1,,2,0,,0,,0,,0,,0,0,,0,0,3
"Surfperch, walleye",0,,48,0,,0,0,,0,,0,,0,,0,0,,0,0,48
"Surfperch, white",10,,84,29,,0,0,,0,,0,,0,,0,0,,0,3,126
"Thornyhead, longspine",4,,8,0,,0,30,,0,,19,,0,,0,0,,0,0,61
"Thornyhead, shortspine",0,,25,0,,0,321,,0,,160,,77,,28,0,,0,0,611
Thornyheads,0,,0,132,,42,263,,0,,0,,340,,827,384,,0,0,"1,988"
"Tuna, albacore",0,,0,0,,0,0,,0,,0,,104,,"43,395","1,723",,0,0,"45,222"
Turbot,14,,20,34,,13,0,,3,,0,,0,,0,126,,0,0,210
"Turbot, hornyhead",0,,0,0,,1,0,,0,,0,,0,,0,0,,0,0,1
Species,January,February,March,,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,
"Whiting, Pacific",177,45,79,,262,"1,041","3,065","1,010",763,445,174,199,0,"7,260"
CRUSTACEANS,,,,,,,,,,,,,,
"Crab, box",820,0,0,,0,0,0,0,0,0,0,0,0,820
"Crab, brown rock",0,0,19,,0,0,0,0,0,0,0,0,0,19
"Crab, Dungeness","116,632","59,435","40,087",,"22,716","22,298","14,795",432,0,0,0,"1,393,973","541,323","2,211,692"
"Crab, red rock",128,0,110,,0,720,"1,748",0,0,0,0,0,0,"2,706"
"Crab, rock unspecified","2,425","1,462","3,850",,"3,473","1,543","4,237","4,646","1,533","3,782","1,766",61,"2,877","31,654"
"Prawn, spot","3,350","1,777","1,926",,"1,441",0,0,0,0,0,229,0,"3,993","12,716"
"Shrimp, bay","2,800","2,171","1,256",,609,"1,127","1,808","1,095","1,378","1,342","2,561","2,201","2,433","20,781"
"Shrimp, coonstriped",0,0,0,,0,"3,339","3,302","1,290",0,0,898,368,0,"9,197"
"Shrimp, ocean (pink)",0,20,0,,0,0,0,0,0,0,0,0,0,20
ECHINODERMS,,,,,,,,,,,,,,
"Sea urchin, red","1,225",939,51,,"1,442",824,"1,118","1,827",671,"1,705","1,612",130,160,"11,704"
MOLLUSKS,,,,,,,,,,,,,,
"Octopus, unspecified",0,0,0,,67,50,124,0,30,80,33,0,0,384
"Squid, market",0,0,0,,0,0,0,"2,333,587","724,110",0,0,0,0,"3,057,697"
Water Area Total:,"1,585,005","171,464","185,616",,"163,012","186,211","210,728","3,824,739","2,761,863","488,026","176,882","1,473,643","558,196","11,785,387"
Other Waters,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,
Dolphin (fish),28,20,0,,0,0,0,0,0,0,0,"3,651",0,"3,699"
"Fish, unspecified",140,0,0,,0,0,0,0,0,0,0,0,0,140
"Mudsucker, longjaw",26,"2,490",380,,0,0,0,0,0,0,0,0,0,"2,896"
Oilfish,32,73,0,,0,0,0,0,0,0,0,645,0,750
Opah,"4,468","3,086",0,,0,0,0,0,0,0,0,"35,667",0,"43,221"
Pomfret,0,0,0,,0,0,0,0,0,0,0,397,0,397
"Salmon, Chinook",0,0,0,,0,0,0,0,179,211,94,0,0,484
"Shark, shortfin mako",408,756,0,,0,0,0,0,0,0,0,"2,533",0,"3,697"
Swordfish,"139,711","162,464",0,,0,0,0,0,0,0,0,42,0,"302,217"
Species,January,February,March,,April,,May,June,,,July,August,,September,,October,,November,December,Landings
Other Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Tuna, albacore",161,0,0,,0,,0,0,,,0,,0,,0,0,,0,0,161
"Tuna, bigeye","12,056","15,727",0,,0,,0,0,,,0,,0,,0,0,,"8,229",0,"36,012"
"Tuna, skipjack",0,0,0,,0,,0,0,,,0,,0,,0,0,,484,0,484
"Tuna, yellowfin","9,391","5,021",0,,0,,0,0,,,0,,0,,0,0,,673,0,"15,085"
Wahoo,0,0,0,,0,,0,0,,,0,,0,,0,0,,552,0,552
Water Area Total:,"166,421","189,637",380,,0,,0,0,,,0,,179,,211,94,,"52,873",0,"409,794"
Waters South of State,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
Dolphin (fish),0,0,0,,0,,181,0,,,142,,81,,0,0,,0,0,404
"Fish, unspecified",0,0,0,,0,,84,229,,,221,,0,,0,0,,0,0,534
Oilfish,0,0,133,,0,,100,31,,,435,,107,,0,0,,0,0,806
Opah,0,0,68,,0,,"30,433","9,246",,,"11,267","48,232",,,0,0,,0,0,"99,246"
Pomfret,0,0,0,,0,,168,24,,,183,,616,,0,0,,0,0,991
"Shark, shortfin mako",0,0,119,,0,,"3,585",618,,,854,"1,489",,,0,0,,0,0,"6,665"
Swordfish,0,0,"24,436",,0,,747,499,,,273,,113,,0,0,,0,0,"26,068"
"Tuna, bigeye",0,0,"3,312",,0,,"5,437","15,594",,,"20,247","21,469",,,0,0,,0,0,"66,059"
"Tuna, skipjack",0,0,0,,0,,0,0,,,0,,55,,0,0,,0,0,55
"Tuna, yellowfin",0,0,"1,578",,0,,"17,750","4,391",,,"5,884","4,091",,,0,0,,0,0,"33,694"
Wahoo,0,0,0,,0,,873,516,,,583,,428,,0,0,,0,0,"2,400"
Water Area Total:,0,0,"29,646",,0,,"59,358","31,148",,,"40,089","76,681",,,0,0,,0,0,"236,922"
Grand Total:,"1,751,426","361,101","215,642",,"163,012",,"245,569","241,876",,,"3,864,828","2,838,724",,,"488,237","176,976",,"1,526,516","558,196","12,432,103"
"",,,,,,,*******************,,,,Total Records:,,"11,042",,,,,,,
"",,,,,,,End of Report,,,,,,,,,,,,,
