"Species","January","February","March","April","May","June","July","August","September","October","November","December","Landings","year"
"Crab rock unspecified",52012,53522,80288,64677,65750,81349,94285,101103,83554,71395,59035,20016,827111,2013
"Crab sand",0,0,0,0,0,29,0,13,0,0,0,0,42,2013
"Crab shore",0,0,0,0,0,0,0,0,0,0,6,0,7,2013
"Crab spider",4752,6228,5210,3738,5971,6262,5898,6346,2866,4376,3767,4452,59901,2013
"Crab spidersheep claws",7,51,675,7,9,0,27,96,4,14,13,122,1025,2013
"Crab tanner",162,0,0,0,0,0,0,0,0,0,0,0,162,2013
"Crab y ellow rock",35319,32847,36190,45752,46211,49427,49378,52972,27449,26580,29120,37850,469096,2013
"Cray fish red swamp",0,0,0,0,0,0,43,1510,1616,0,0,0,3169,2013
"Cray fish unspecified",707,1585,3246,3925,7415,9388,6644,52352,34975,26605,9791,7418,164051,2013
"Crus tacean unspecified",77,3,0,0,0,5,0,0,0,0,0,0,85,2013
"Lobs ter California spiny ",77253,59283,31218,0,0,0,0,0,0,294517,173866,136281,772429,2013
"Prawn ridgeback",26052,13585,34008,11524,22534,589,2456,160,22,4421,6411,14223,135983,2013
"Prawn spot",11965,36972,45755,36057,31561,39311,40133,53797,34246,31395,3588,6534,371314,2013
"Shrimp bay ",6221,5190,4995,2757,2908,1775,1595,1699,2279,2555,4054,3166,39194,2013
"Shrimp brine",0,0,0,0,0,86951,116297,116313,49336,0,0,0,368897,2013
"Shrimp coons triped",0,0,0,0,46,20757,26775,27953,17347,15062,0,0,107940,2013
"Shrimp ghos t",804,55,61,36,65,105,109,73,62,37,29,28,1463,2013
"Shrimp mantis ",199,251,223,182,182,411,345,164,31,27,0,0,2014,2013
"Shrimp ocean pink",0,0,0,458682,1690601,1054333,1277970,1196334,1406742,1416858,0,0,8501520,2013
"Shrimp unspecified",64,0,0,0,9,6,0,0,0,5,0,0,84,2013
"Sand dollar",0,0,0,0,0,0,4,0,6,0,0,0,10,2013
"Sea cucumber giant red",16838,13678,4610,11518,5614,21436,37390,23719,9004,4713,4228,2754,155501,2013
"Sea cucumber unspecified",73,0,0,0,20,0,0,0,0,81,0,1075,1249,2013
"Sea cucumber warty ",7156,11536,10055,33534,31345,49925,38269,26493,15420,1195,1754,334,227015,2013
"Sea s tars ",21,25,8,8,17,0,57,15,64,0,0,0,215,2013
"Sea urchin purple",782,324,1091,111,213,57,186,339,3876,21784,3877,1541,34180,2013
"Sea urchin red",1088119,636057,1261978,950019,899464,861500,1210693,1227167,976152,1373943,1220663,1305970,13011723,2013
"Sea urchin white",0,0,32,0,0,0,0,0,3,4,17,0,56,2013
"Limpet keyhole",1,0,0,134,0,0,0,57,500,0,98,2,792,2013
"Mollusk unspecified",0,0,2,0,0,0,0,0,0,0,0,0,2,2013
"Octopus unspecified",403,907,966,788,586,226,115,341,234,380,64,398,5407,2013
"Sea hare",370,124,210,118,184,78,341,212,192,336,270,186,2621,2013
"Snail tegula",0,1,0,0,0,0,0,0,0,0,0,0,1,2013
"Snail top",27,17,25,63,5,84,40,146,60,69,97,147,779,2013
"Snails  moon",0,0,3,0,0,0,0,0,0,0,0,0,3,2013
"Squid jumbo",47,150,0,0,0,0,0,0,174,0,0,267,638,2013
"Squid market",175385,102982,5022,1369896,3670628,23735007,66122501,53303538,42239307,39174325,72732,109180,230080503,2013
"Whelk Kellets ",5970,8023,3919,8,66,0,14802,15602,13497,9873,10335,8768,90862,2013
"Kelp",0,0,0,53,24,1,0,0,0,0,0,0,78,2013
"Invertebrate Unspecified",0,0,0,0,0,0,7,0,0,0,0,0,7,2013
"Tunicates ",0,0,0,0,0,0,7000,0,0,0,0,0,7000,2013
"Worms marine",1,0,0,0,0,0,0,0,0,0,0,0,1,2013
