California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Sea cucumber, warty 809",254,0,0,0,"5,081 6,511","3,590",,154,0,0,0,"16,399"
Sea stars 0,0,35,0,10,11,27,0,0,13,0,19,116
"Sea urchin, purple 9",31,23,52,52,153,0,0,58,0,0,56,434
"Sea urchin, red 87,078","56,214","82,936","132,145","108,512","113,979 78,999","83,219",,"57,078","57,512","48,543","39,563","945,777"
"Sea urchin, white 0",0,1,134,5,0,19,0,13,6,0,0,178
California Waters – Mollusks,,,,,,,,,,,,
Species January,February,March,April,May,June July,August,,September,October,November,December,Landings
"Limpet, keyhole 0",0,0,0,0,0,0 0,,294,420,0,0,714
Mussel 4,0,0,0,0,0,0 0,,0,"1,450",0,0,"1,454"
"Octopus, unspecified 4",0,0,0,82,102,0 10,,0,0,0,3,201
Sea hare 23,29,21,85,67,28 66,69,,35,48,54,22,547
"Snail, sea 0",0,0,0,0,0 35,0,,0,40,0,0,75
"Snails, moon 5",0,0,0,0,0,0 0,,0,0,0,0,5
"Squid, market 4,339,974","1,335,327",0,0,0,"238,785 367,997","182,416",,"118,490","1,706,395","1,310,579","2,380,635","11,980,598"
"Whelks, Kellet’s 1,874","1,770","1,096",0,0,0 111,34,,253,"2,107","3,090","4,434","14,769"
California Waters – Plants,,,,,,,,,,,,
Species January,February,March,April,May,June July,August,,September,October,November,December,Landings
"Algae, marine 0",0,0,0,0,0 0,5,,0,0,0,0,5
"Kelp, giant 0",0,0,9,0,0 0,0,,0,0,0,0,9
"California Waters Total 4,601,265","1,468,130","367,282","583,204","338,466","968,556 7,020,189","1,391,759",,"1,602,503","2,455,998","1,594,504","2,581,420","24,973,278"
Other Waters – Finfish,,,,,,,,,,,,,
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Dolphin (fish),0,168,138,573,0,0,197,77,51,0,"1,906","2,814","5,924"
Escolar,234,716,574,282,0,0,623,519,0,0,"1,362","2,430","6,740"
"Fish, unspecified",0,0,20,0,0,0,0,0,0,0,0,0,20
Lingcod,0,0,0,0,0,0,0,0,48,0,0,0,48
Opah,"17,655","7,511","5,073","5,027",0,0,"1,981","6,550","3,203","2,393","14,801","36,317","100,511"
Opah,0,0,0,0,0,0,0,0,0,0,0,"1,842","1,842"
Pomfret,475,623,409,224,0,0,589,551,23,0,"1,229","1,574","5,697"
"Rockfish, group shelf",0,0,0,0,0,0,0,0,627,80,0,0,707
Sablefish,0,629,721,0,0,0,0,0,"1,930","1,132",432,240,"5,084"
"Shark, bigeye thresher",0,0,0,0,0,0,0,0,0,0,0,116,116
"Shark, blue",0,0,0,58,0,0,0,0,0,"6,292",0,"9,908","16,258"
"Shark, pelagic thresher",0,0,0,0,0,0,0,0,0,0,0,"1,186","1,186"
"Shark, shortfin mako",0,170,361,0,0,0,147,"1,000",95,"4,968",0,635,"7,376"
"Spearfish, shortbill",0,0,0,0,0,0,0,0,0,0,442,224,666
Swordfish,60,0,0,358,0,0,"1,146",471,0,"34,457",128,"7,016","43,636"
"Thornyhead, longspine",0,0,0,0,0,0,0,0,0,9,0,27,36
