Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Lobster, California spiny....................","40,398","24,979","9,472",0,0,0,0,0,0,"71,156","43,651","33,763","223,420"
"Prawn, ridgeback..............................",0,0,0,0,0,0,0,0,0,0,"8,724","1,280","10,004"
"Prawn, spot.......................................",0,"2,832","6,161","7,728","13,903","14,307","11,179","12,957","9,070","8,195",0,0,"86,331"
"Shrimp, mantis..................................","1,511",927,424,286,57,0,0,0,0,0,5,5,"3,215"
"Shrimp, unspecified...........................",0,0,0,236,0,0,0,0,0,0,0,0,236
Echinoderms,,,,,,,,,,,,,
"Echinoderm, unspecified...................",2,0,5,35,5,14,25,0,5,35,15,0,141
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, giant red...................",0,0,0,189,0,0,0,304,0,0,0,0,493
"Sea cucumber, unspecified...............",0,0,450,0,0,0,1,0,141,214,0,0,806
"Sea cucumber, warty.........................","1,430","8,468","18,217","11,556","11,884","12,728","13,685","6,084","1,498",0,0,0,"85,549"
Sea stars...........................................,10,0,10,70,135,50,270,935,939,697,605,170,"3,891"
"Sea urchin, purple.............................",0,0,0,0,"1,066",0,378,0,0,0,"1,356",0,"2,800"
"Sea urchin, red..................................","88,686","88,381","77,661","63,204","81,842","105,610","75,879","107,165","147,334","110,262","139,873","66,666","1,152,563"
Mollusks,,,,,,,,,,,,,
"Clam, unspecified..............................",0,0,0,0,0,0,0,0,0,218,0,0,218
"Limpet, unspecified...........................",0,36,17,0,182,103,0,0,180,15,0,0,533
"Mollusk, unspecified..........................",1,0,10,0,31,0,12,0,19,11,15,0,99
Mussel..............................................,0,305,734,45,0,0,40,0,25,0,0,0,"1,149"
"Octopus, unspecified.........................",32,35,10,48,0,11,0,13,1,68,71,116,403
Sea hare...........................................,580,880,"1,339",862,777,817,694,"1,125",925,"1,220","1,093",235,"10,547"
Sea slug............................................,0,0,0,1,0,0,2,0,0,0,0,0,3
"Snail, sea..........................................",0,110,170,0,65,0,0,0,0,0,0,0,345
"Snail, top...........................................",0,0,0,0,15,0,5,0,0,15,250,0,285
"Squid, market....................................","3,057,489","3,395,851","334,127","943,205","1,268","9,706","149,764","766,042","2,444,408","8,012,940","12,562,462","37,896,472","69,573,734"
"Whelk, Kellet's...................................","5,109","6,430","7,986","3,971","8,326","6,567","6,042","9,109","5,317","6,062","2,337","1,793","69,049"
Plants,,,,,,,,,,,,,
"Algae, marine....................................",0,0,10,0,0,0,5,0,0,0,0,0,15
Kelp...................................................,"1,100",0,0,50,0,0,0,0,0,20,0,0,"1,170"
Worms,,,,,,,,,,,,,
"Invertebrates, colonial.......................",2,15,61,27,33,17,67,20,135,25,25,0,427
"Worms, marine..................................",0,0,0,0,10,0,10,0,7,0,0,0,27
Waters Area Total:,"5,906,830","7,925,323","8,612,637","10,387,541","4,464,740","5,491,849","7,402,978","6,492,172","9,997,386","11,623,068","19,058,647","41,237,747","138,600,918"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore..................................",0,0,0,0,0,0,0,0,0,"95,982","137,806",0,"233,788"
Waters Area Total:,0,0,0,0,0,0,0,0,0,"95,982","137,806",0,"233,788"
Waters North Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, albacore..................................",0,0,0,0,0,0,0,0,0,"67,365",0,0,"67,365"
Waters Area Total:,0,0,0,0,0,0,0,0,0,"67,365",0,0,"67,365"
Waters South Of State,,,,,,,,,,,,,
Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
Waters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, skipjack...................................",0,0,0,"163,370","183,936  0",,0,0  0,,0,0,0,"347,306"
"Tuna, yellowfin..................................",0,0,0,"94,455","311,797  9,514",,0,0  0,,0,0,0,"415,766"
Waters Area Total:,0,0,0,"257,825","495,733  9,514",,0,0  0,,0,0,0,"763,072"
Grand Total:,"5,906,830","7,925,323","8,612,637","10,645,366","4,960,473  5,501,363",,"7,402,978","6,492,172  9,997,386",,"11,786,415","19,196,453","41,237,747","139,665,143"
"",,,,,*******************,,,,,,,,
"",,,,,End of Report,,,Total Records:,,"18,943",,,
