"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, group slope.....................",,"9,165","7,547","3,634","5,087","13,520  25,561",,"11,881","14,761","22,155","8,665","13,611","8,397","143,983"
"Rockfish, group small.....................",,40,0,0,0,4  37,,1,0,62,20,0,0,163
"Rockfish, honeycomb.....................",,0,0,0,0,0  0,,0,0,0,0,4,0,4
"Rockfish, kelp.................................",,77,134,0,0,167  111,,37,116,151,47,113,54,"1,008"
"Rockfish, olive................................",,355,86,40,0,239  239,,296,168,426,162,288,113,"2,414"
"Rockfish, quillback.........................",,315,242,960,598,"890  2,322",,"2,320","2,186","2,488",581,"1,273",315,"14,491"
"Rockfish, redbanded......................",,0,0,"1,700",0,65  213,,162,161,42,34,0,2,"2,379"
"Rockfish, rosethorn........................",,0,0,0,0,0  0,,0,0,0,0,0,5,5
"Rockfish, rosy................................",,1,7,0,0,224  132,,25,62,252,255,134,105,"1,198"
"Rockfish, speckled.........................",,0,0,9,4,2  0,,20,41,0,0,9,8,93
"Rockfish, splitnose.........................",,"23,056","10,056","3,028","2,602","42,532  13,489",,"8,954","14,532","12,057","20,255","20,907","5,662","177,128"
"Rockfish, squarespot......................",,0,0,43,69,106  24,,6,48,32,0,58,68,454
"Rockfish, starry..............................",,48,48,0,0,475  75,,86,111,57,158,72,63,"1,193"
"Rockfish, stripetail..........................",,1,0,0,0,0  2,,1,0,0,2,0,0,5
"Rockfish, swordspine.....................",,1,0,0,0,0  0,,2,0,0,4,2,0,8
"Rockfish, treefish...........................",,192,217,0,0,508  246,,163,344,373,196,159,55,"2,452"
"Rockfish, unspecified.....................",,80,18,0,76,145  279,,424,525,690,"18,147","9,879",371,"30,634"
"Rockfish, vermilion.........................",,"2,661","2,337","1,056",788,"4,334  3,638",,"3,800","4,341","7,248","4,822","2,175","2,475","39,677"
"Rockfish, widow.............................",,"7,011",878,125,313,"2,795  18",,"1,722",714,"2,093","1,238",450,832,"18,188"
"Rockfish, yelloweye........................",,0,0,0,0,400  1,,0,0,0,0,0,0,401
"Rockfish, yellowtail.........................",,537,35,610,325,"1,009  1,737",,"1,127","1,369","1,845","1,717",638,404,"11,353"
Sablefish........................................,,"184,967","130,835","124,419","212,532","262,460  399,264",,"315,345","291,714","366,871","411,825","349,597","140,899","3,190,727"
"Salmon, Chinook............................",,0,0,0,"9,627","396,027  51,093",,"539,785","351,104","153,180","6,181",0,0,"1,506,998"
"Salmon, Roe (Chinook, Coho)...",,0,0,0,0,0  1,,14,29,19,21,0,0,83
Salmon...........................................,,0,0,0,0,"3,384  20",,"1,758",11,59,86,0,0,"5,317"
"Sanddab, Pacific............................",,0,0,0,0,"0  2,056",,"5,523","1,285",71,21,0,0,"8,956"
Sanddab.........................................,,"2,399",304,"10,105","35,864","93,841  84,006",,"58,181","23,972","14,618","10,738","12,645",429,"347,102"
"Sardine, Pacific..............................",,"14,713,028","7,231,912","17,475,385","7,680,959","7,405,466  16,826,780",,"12,204,818","16,197,643","19,810,571","23,183,220","26,209,467","9,537,811","178,477,060"
Sargo.............................................,,0,0,0,0,0  0,,12,0,0,0,0,0,12
"Scorpionfish, California..................",,267,327,51,34,747  818,,"1,161","1,939",860,781,273,573,"7,831"
"Sculpin, staghorn...........................",,309,226,240,140,29  23,,159,81,370,700,612,258,"3,147"
"Seabass, white...............................",,"4,438","20,803","9,324",626,"1,201  206,268",,"112,969","47,877","32,959","3,766","14,378","5,899","460,509"
Senorita..........................................,,0,2,10,0,0  0,,0,4,0,0,0,0,16
"Shad, American..............................",,0,0,0,0,9  0,,0,0,0,0,0,0,9
"Shad, threadfin...............................",,595,250,37,18,"885  2,210",,"2,945","4,430","6,075","10,984","11,795","3,320","43,544"
"Shark, Pacific angel.......................",,593,602,"1,020","1,671",962  642,,858,"1,412",578,100,210,289,"8,936"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, bigeye thresher...................",,817,0,0,0,0,70,0,879,"1,563","2,839",134,0,"6,302"
"Shark, blue.....................................",,0,0,"20,340",0,0,0,0,0,0,0,57,0,"20,397"
"Shark, brown smoothhound............",,106,214,107,104,43,0,27,215,47,300,27,110,"1,299"
"Shark, gray smoothhound..............",,17,80,128,30,62,0,5,0,55,0,40,29,445
"Shark, horn....................................",,0,26,0,0,0,0,0,61,0,0,0,0,87
"Shark, leopard................................",,"3,534","2,504","2,300","2,544","2,168","1,326","1,435","1,038",999,786,828,496,"19,958"
"Shark, pelagic thresher..................",,"1,894",0,0,0,22,0,0,0,0,341,0,0,"2,257"
"Shark, salmon................................",,0,0,0,0,0,0,0,0,0,0,0,81,81
"Shark, sevengill..............................",,45,0,25,0,26,22,0,0,23,0,0,0,141
"Shark, shortfin mako......................",,"5,345",181,"2,517",417,678,"7,168","5,818","7,245","11,312","13,918","9,214","3,907","67,721"
"Shark, sixgill...................................",,0,0,36,6,15,10,0,9,0,0,0,0,76
"Shark, smooth hammerhead..........",,0,158,0,0,0,0,8,0,0,0,0,0,166
"Shark, soupfin................................",,"2,095","4,402","2,785",869,"5,018","5,130","1,682","2,161","2,503","1,531","1,032","1,022","30,228"
"Shark, spiny dogfish.......................",,"16,168",20,231,"1,469",919,"5,572",235,20,4,318,1,"2,948","27,905"
"Shark, swell....................................",,0,0,0,3,0,0,0,0,0,0,0,0,3
"Shark, thresher...............................",,"25,489","1,527","3,296","1,805","10,478","18,253","9,394","10,621","16,079","57,393","67,019","42,390","263,744"
"Shark, unspecified..........................",,320,46,"1,892",0,233,"1,052",135,160,210,125,840,72,"5,085"
"Shark, white...................................",,0,0,0,0,0,0,0,268,0,300,0,0,568
"Sheephead, California....................",,"11,661","4,875",0,0,"14,318","14,892","9,145","8,104","4,876",0,0,0,"67,869"
Silversides......................................,,0,0,0,0,0,4,0,80,0,0,0,0,84
"Skate, big.......................................",,0,0,0,0,0,0,0,0,0,0,12,0,12
"Skate, unspecified..........................",,"3,606","2,149","4,157","20,899","17,430","29,563","45,583","32,444","36,113","28,837","24,393","2,296","247,469"
"Smelt, night....................................",,"2,301","7,656","9,914","14,459","29,576","48,105","49,469","7,779",212,0,0,0,"169,471"
"Smelt, surf......................................",,117,0,0,294,"6,182","45,575","34,516","29,484",170,50,0,0,"116,388"
"Smelts, true....................................",,0,0,0,0,0,0,159,0,0,0,0,"1,721","1,880"
"Sole, Dover....................................",,"384,734","405,567","88,837","530,701","541,865","542,358","487,026","675,254","720,513","974,779","611,278","138,638","6,101,550"
"Sole, English..................................",,"65,313","14,288","17,886","27,356","56,296","33,849","41,611","37,154","31,859","29,748","31,346","11,821","398,527"
"Sole, fantail....................................",,0,0,1,0,2,2,0,0,0,0,0,0,5
"Sole, petrale...................................",,"353,786","153,832","118,679","83,704","176,316","115,918","213,754","91,430","110,442","131,945","248,808","221,737","2,020,351"
"Sole, rex.........................................",,"34,571","33,961","5,412","28,035","34,090","23,612","27,313","36,116","35,514","41,750","65,192","13,637","379,204"
"Sole, rock.......................................",,"2,420",410,"1,345","1,257",746,1,174,513,"2,253","1,824",833,7,"11,781"
"Sole, sand......................................",,"2,663",358,"1,866",247,391,"1,212","1,951","1,919","2,796",234,326,26,"13,989"
