"","#",$ %,,"! %",' #,,(,',$%,$%,(% %,"!",)# !,,* + !,,"# !",,&
"Rockfish, Pacific ocean perch",,1,,1,3,,4,14,9,6,29,23,16,,52,,,5,,163
"Rockfish, aurora.........................",,51,,34,20,,64,36,109,31,"1,388","2,569",166,,21,,49,,,"4,537"
"Rockfish, bank............................",,372,,162,24,,"1,422",472,"2,468",91,"8,065",415,84,,15,,,0,,"13,590"
"Rockfish, black-and-yellow....",,"1,909",,"1,546",11,,0,"2,795","2,509","4,998","2,894","4,096","2,618",,"2,253",,"1,529",,,"27,157"
"Rockfish, black...........................",,"1,146",,"1,375",322,,801,"7,467","7,836","9,144","13,783","7,519","5,602",,632,,"2,965",,,"58,591"
"Rockfish, blackgill.....................",,"29,893",,"29,904","12,287",,"20,896","17,619","24,378","37,145","30,104","31,048","18,272",,"16,299",,"9,470",,,"277,314"
"Rockfish, blue.............................",,"1,737",,"1,293",558,,"1,530","1,005",556,718,"1,177","1,203","2,295",,"1,623",,"1,980",,,"15,676"
"Rockfish, bocaccio...................",,544,,569,0,,0,270,"2,181","1,239",846,"2,476","1,970",,"1,561",,"5,012",,,"16,668"
"Rockfish, brown.........................",,"6,134",,"4,990",0,,0,"5,553","5,757","9,452","7,133","7,252","6,053",,"4,683",,"6,467",,,"63,475"
"Rockfish, canary........................",,0,,0,0,,0,0,1,4,26,323,315,,44,,,7,,720
"Rockfish, chameleon................",,0,,0,0,,0,0,0,0,0,0,0,,0,,,0,,0
"Rockfish, chilipepper................",,14,,161,58,,645,"1,460","22,205","135,300","60,715","263,834","101,814",,"46,276",,"13,841",,,"646,320"
"Rockfish, copper........................",,804,,408,3,,0,626,655,931,959,583,959,,581,,"1,443",,,"7,952"
"Rockfish, cowcod......................",,0,,0,0,,8,0,0,0,4,5,14,,1,,,0,,32
"Rockfish, darkblotched............",,57,,163,160,,254,"1,381",783,315,"1,040",808,190,,"1,481",,817,,,"7,449"
"Rockfish, flag..............................",,40,,18,0,,0,50,17,25,36,43,55,,77,,55,,,415
"Rockfish, gopher........................",,"6,110",,"4,129",18,,0,"5,201","8,859","9,643","6,927","5,835","5,582",,"5,444",,"8,683",,,"66,430"
"Rockfish, grass..........................",,"1,394",,"2,189",2,,0,"2,941","2,197","4,405","2,086","3,702","3,644",,"2,308",,"2,085",,,"26,953"
"Rockfish, greenblotched..........",,101,,29,0,,0,0,0,2,0,0,32,,0,,56,,,220
"Rockfish, greenspotted............",,211,,172,1,,0,171,153,288,164,105,210,,327,,168,,,"1,970"
"Rockfish, greenstriped.............",,13,,5,0,,0,65,10,10,7,48,13,,14,,18,,,205
"Rockfish, group bolina.............",,13,,0,0,,0,0,0,11,8,0,35,,0,,,0,,67
"Rockfish, group nearshore......",,0,,0,0,,0,0,2,0,0,2,0,,2,,,0,,6
"Rockfish, group red...................",,246,,125,0,,0,319,123,245,326,522,17,,283,,140,,,"2,346"
"Rockfish, group rosefish.........",,0,,0,0,,0,0,0,0,5,0,0,,0,,,0,,5
"Rockfish, group shelf...............",,244,,91,0,,0,133,238,138,1,26,63,,4,,106,,,"1,043"
"Rockfish, group slope..............",,543,,158,511,,"1,460","4,876","14,149","8,600","16,266","31,904","12,280",,"12,745",,"27,075",,,"130,566"
"Rockfish, group small...............",,0,,0,0,,0,0,0,4,0,0,3,,0,,,8,,15
"Rockfish, honeycomb...............",,0,,0,0,,0,0,12,37,9,3,1,,7,,,9,,78
"Rockfish, kelp.............................",,248,,354,0,,0,118,157,84,177,86,118,,103,,158,,,"1,601"
"","# $ %",,,,"! %",' #,,(,,',$% $%,,(% %,"!",)# !,,* + !,,"# !",,&
Fishes,,,,,,,,,,,,,,,,,,,,,
"Rockfish, olive............................",6,,,,35,0,,0,,103,174  257,,231,217,181,,79,,73,,"1,356"
"Rockfish, quillback....................",10,,,,50,6,,5,,127,120  380,,124,403,404,,81,,355,,"2,066"
"Rockfish, redbanded.................",0,,,,2,8,,40,,4,160  3,,67,12,3,,0,,0,,299
"Rockfish, rosethorn...................",0,,,,0,0,,0,,0,0  0,,0,14,18,,0,,44,,76
"Rockfish, rosy............................",67,,,,26,0,,0,,3,58  35,,20,17,11,,13,,3,,252
"Rockfish, shortbelly..................",0,,,,0,0,,0,,0,0  0,,0,720,237,,0,,0,,957
"Rockfish, speckled....................",106,,,,30,0,,0,,2,33  12,,9,26,18,,74,,5,,314
"Rockfish, splitnose...................",253,,,,11,318,,460,,"1,150","867  1,547",,"3,929","4,588","1,667",,"2,775",,"4,116",,"21,680"
"Rockfish, squarespot...............",0,,,,0,0,,0,,0,0  1,,0,0,1,,0,,0,,2
"Rockfish, starry..........................",52,,,,58,0,,0,,52,139  109,,61,69,88,,71,,49,,748
"Rockfish, treefish......................",396,,,,210,0,,0,,372,542  845,,541,346,319,,319,,308,,"4,199"
"Rockfish, unspecified...............",10,,,,0,0,,117,,22,16  0,,11,0,95,,0,,673,,944
"Rockfish, vermilion....................","5,336",,,,"3,517",12,,5,,"2,960","3,326  3,326",,"4,106","4,538","3,963",,"2,862",,"4,033",,"37,984"
"Rockfish, widow.........................",15,,,,6,5,,0,,24,5  369,,118,"1,610",231,,88,,201,,"2,672"
"Rockfish, yelloweye..................",0,,,,0,0,,0,,8,0  0,,0,0,0,,0,,0,,8
"Rockfish, yellowtail...................",204,,,,138,20,,176,,88,359  171,,363,335,557,,48,,142,,"2,600"
Sablefish......................................,"222,474",,,,"224,389","182,683",,"318,598",,"282,661","576,618  533,745",,"545,682","764,914","667,139",,"491,757",,"494,120",,"5,304,779"
"Salmon, Chinook........................",0,,,,0,0,,0,,"147,132","69,060  446,724",,"294,646","21,500","6,396",,0,,0,,"985,458"
"Salmon, Roe (Chinook, Coho).",0,,,,0,0,,0,,0,0  0,,6,5,0,,0,,0,,11
"Salmon, chum.............................",0,,,,0,0,,0,,0,0  5,,0,0,0,,0,,0,,5
"Sanddab, Pacific.......................",0,,,,7,0,,0,,0,3  5,,735,"2,306","3,599",,0,,"1,223",,"7,878"
Sanddab.......................................,"1,122",,,,381,676,,"1,209",,"3,003","8,368  24,069",,"16,262","18,570","11,369",,"14,375",,"4,909",,"104,313"
"Sardine, Pacific..........................  27,966,490",,,,,"4,835,527","676,656",,5,,"94,905","24,322  17,865,713",,"101,592","9,463,916","42,530",,"26,328",,3,,"61,097,986"
Sargo............................................,0,,,,30,0,,0,,2,0  3,,8,0,0,,0,,0,,43
"Scorpionfish, California............",442,,,,769,22,,13,,803,"2,557  2,045",,696,301,351,,741,,"1,273",,"10,013"
"Sculpin, staghorn......................",67,,,,60,93,,73,,85,286  359,,463,806,834,,495,,497,,"4,118"
"Seabass, white..........................","3,167",,,,"5,947","9,928",,"1,344",,"2,017","222,118  144,590",,"49,103","65,028","28,636",,"9,000",,"2,379",,"543,258"
"Seaperch, striped......................",0,,,,20,0,,0,,0,0  0,,2,0,0,,0,,0,,22
Senorita........................................,9,,,,0,0,,0,,0,0  0,,0,0,0,,0,,0,,9
"Shad, threadfin...........................",0,,,,0,0,,330,,390,765  378,,"1,891","2,231","3,767",,"3,862",,315,,"13,929"
"Shark, Pacific angel..................","1,243",,,,"1,281",669,,"1,179",,"1,186","1,809  900",,667,598,234,,400,,779,,"10,944"
"Shark, bigeye thresher.............",0,,,,0,0,,0,,0,0  0,,390,"1,024",269,,72,,0,,"1,755"
"Shark, blue..................................",56,,,,0,0,,0,,0,0  0,,0,0,0,,0,,0,,56
"Shark, brown smoothhound....",55,,,,42,6,,41,,4,3  6,,0,5,0,,0,,0,,162
"Shark, gray smoothhound.......",0,,,,0,0,,6,,0,0  0,,8,0,0,,24,,0,,38
"Shark, horn..................................",17,,,,19,4,,0,,0,0  0,,0,5,0,,0,,0,,45
"Shark, leopard............................",766,,,,168,404,,676,,600,334  322,,153,234,336,,138,,410,,"4,541"
"Shark, pelagic thresher............",440,,,,0,0,,0,,0,0  0,,0,0,0,,0,,0,,440
"Shark, sevengill.........................",24,,,,65,36,,38,,233,64  0,,42,36,87,,0,,0,,624
"","#",$ %,,"! %",' #,,(,',$%,$%,(% %,"!",)# !,,* + !,,"# !",,&
Fishes,,,,,,,,,,,,,,,,,,,
"Shark, shortfin mako.................",,17,,288,50,,701,178,"6,265","5,523","1,065","2,984","5,825",,"4,049",,"1,909",,"28,854"
"Shark, sixgill................................",,14,,0,9,,0,0,0,0,36,0,7,,0,,0,,66
"Shark, soupfin............................",,112,,471,303,,187,343,565,193,68,30,"1,526",,738,,110,,"4,644"
"Shark, spiny dogfish.................",,977,,21,17,,0,0,4,6,13,75,4,,0,,0,,"1,117"
"Shark, swell.................................",,0,,6,0,,0,0,0,8,0,0,0,,0,,0,,14
"Shark, thresher...........................",,"4,354",,"1,071",761,,"1,228","2,778","5,142","4,266","4,254","4,946","1,943",,"19,852",,"47,532",,"98,125"
"Shark, unspecified....................",,825,,191,40,,24,130,128,108,49,429,160,,54,,60,,"2,198"
"Shark, white................................",,0,,0,0,,0,0,479,0,0,0,0,,85,,0,,564
"Sheephead, California..............",,"5,961",,"5,713",0,,0,"9,819","11,813","9,944","8,029","3,012","1,637",,"4,744",,"7,368",,"68,040"
"Skate, California.........................",,0,,0,0,,0,0,377,100,198,47,54,,0,,0,,776
"Skate, big.....................................",,0,,0,0,,0,0,0,7,459,183,56,,0,,0,,705
"Skate, longnose.........................",,"1,324",,"10,780","20,497",,"20,073","19,961","32,318","20,287","44,009","57,178","71,514",,"49,473",,"29,837",,"377,251"
"Skate, thornback........................",,86,,33,65,,0,0,0,0,0,6,0,,0,,0,,190
"Skate, unspecified....................",,"1,651",,894,715,,"1,582","1,013","1,001","5,752","15,265","22,200","12,977",,"1,461",,917,,"65,428"
"Smelt, night.................................",,"7,713",,"43,418","11,109",,"27,721","87,013","59,149","30,542","19,102","2,496",0,,0,,0,,"288,263"
"Smelt, surf...................................",,0,,312,0,,0,"5,215","35,046","21,172","4,546","2,241",0,,0,,0,,"68,532"
"Sole, Dover..................................",,"5,898",,"175,486","320,131",,"338,106","305,216","521,577","485,785","774,617","861,645","710,082",,"487,778",,"332,212",,"5,318,533"
"Sole, English...............................",,467,,623,425,,"1,749","1,622","4,732","3,432","5,684","12,801","6,064",,"2,597",,"1,176",,"41,372"
"Sole, bigmouth............................",,0,,0,0,,0,0,0,0,0,1,0,,0,,1,,2
"Sole, fantail.................................",,0,,0,0,,0,301,0,8,0,0,0,,0,,0,,309
"Sole, petrale................................",,"1,173",,"18,518","20,974",,"3,880","2,706","8,778","16,459","33,060","48,087","31,507",,"67,373",,"131,813",,"384,328"
"Sole, rex.......................................",,"1,216",,"3,688","5,474",,"11,269","20,719","8,917","9,606","22,413","28,382","15,487",,"13,114",,"9,703",,"149,989"
"Sole, rock.....................................",,13,,36,102,,144,11,100,"1,372",888,"1,092",344,,288,,38,,"4,427"
"Sole, sand...................................",,"1,490",,"1,817",787,,"1,296",691,"1,735","6,738","4,423","3,483","2,907",,"1,119",,"2,638",,"29,122"
"Sole, slender...............................",,0,,0,0,,0,0,0,0,0,0,0,,3,,3,,6
"Sole, unspecified.......................",,"8,766",,"3,501","2,464",,"4,410","1,812",955,994,862,458,"1,324",,"1,524",,"2,400",,"29,469"
Stingray........................................,,523,,"1,116",147,,817,712,1,8,"2,769",8,415,,0,,0,,"6,515"
"Surfperch, barred.......................",,239,,530,495,,234,0,0,132,"1,960",546,313,,327,,504,,"5,280"
"Surfperch, black.........................",,0,,3,0,,0,0,0,0,0,0,0,,3,,1,,7
"Surfperch, calico.......................",,11,,0,0,,0,0,0,0,0,8,68,,203,,0,,290
"Surfperch, rainbow....................",,27,,87,82,,0,0,0,0,0,0,0,,0,,0,,196
"Surfperch, redtail.......................",,59,,145,235,,"4,774",0,0,0,"2,648",482,20,,0,,106,,"8,469"
"Surfperch, rubberlip..................",,32,,49,33,,0,0,0,0,34,13,5,,141,,119,,425
"Surfperch, shiner.......................",,0,,0,25,,3,16,21,19,15,18,8,,3,,0,,127
"Surfperch, unspecified.............",,541,,144,309,,17,5,1,0,143,7,89,,294,,53,,"1,602"
"Surfperch, walleye....................",,11,,16,0,,0,0,0,0,0,0,0,,0,,11,,38
Swordfish.....................................,,"145,872",,"133,830","119,538",,"96,313",0,557,"8,425","19,057","10,060","125,050",,"171,430",,"111,294",,"941,425"
"Thornyhead, longspine............",,"31,436",,"49,383","44,024",,"84,057","78,564","161,129","114,028","79,687","122,699","146,927",,"60,076",,"44,683",,"1,016,692"
"Thornyhead, shortspine...........",,"50,642",,"49,846","64,416",,"70,366","69,640","94,895","83,323","93,500","123,150","121,888",,"100,683",,"91,484",,"1,013,833"
"","#",$ %,,"! %",' #,,(,,',$%,,$%,(% %,"!",)# !,,* + !,,"# !",,,&
Fishes,,,,,,,,,,,,,,,,,,,,,,
Thornyheads...............................,,"1,863",,90,4,,3,,18,0,,35,5,3,12,,19,,5,,,"2,056"
"Tomcod, Pacific.........................",,0,,0,0,,0,,0,0,,0,0,0,0,,3,,0,,,3
Topsmelt......................................,,0,,0,0,,0,,0,0,,0,0,0,19,,0,,0,,,19
"Trawled fish, unspecified........",,0,,0,99,,250,,113,265,,558,461,716,802,,630,,661,,,"4,555"
"Tuna, albacore...........................",,848,,"7,411","6,564",,"3,023",,143,0,,"25,127","126,564","439,787","659,713",,"124,225",,"6,859",,,"1,400,263"
"Tuna, bigeye...............................",,"1,819",,"18,225","23,073",,"16,374",,"4,077",0,,0,0,"5,880",0,,0,,"11,308",,,"80,756"
"Tuna, bluefin...............................",,0,,0,0,,0,,0,0,,"218,141",187,369,"9,099",,"20,735",,"11,894",,,"260,424"
"Tuna, skipjack............................",,0,,"1,150",335,,82,,0,0,,0,0,36,21,,0,,364,,,"1,988"
"Tuna, unspecified......................",,0,,0,0,,0,,0,0,,0,0,0,681,,0,,0,,,681
"Tuna, yellowfin...........................",,0,,0,0,,0,,0,0,,0,955,194,0,,"6,438",,36,,,"7,623"
"Turbot, curlfin.............................",,0,,0,0,,0,,0,0,,0,72,84,175,,15,,0,,,346
"Turbot, hornyhead.....................",,552,,981,415,,978,,"1,621",526,,"1,337","1,012",865,732,,673,,362,,,"10,054"
Turbot...........................................,,2,,5,16,,16,,23,66,,87,30,26,41,,0,,0,,,312
Wahoo..........................................,,0,,129,36,,48,,0,0,,0,0,93,0,,0,,209,,,515
"Whitefish, ocean........................",,259,,550,0,,4,,248,243,,299,647,32,81,,148,,"1,035",,,"3,545"
"Whiting, Pacific..........................",,127,,8,39,,333,,0,0,,10,9,"6,650","2,107",,954,,4,,,"10,241"
Yellowtail.....................................,,0,,0,0,,0,,26,"2,232",,"1,463",487,610,100,,76,,0,,,"4,994"
Crustaceans,,,,,,,,,,,,,,,,,,,,,,
"Crab, Dungeness.......................",,"5,339,521",,"1,787,502","892,747",,"619,794",,"299,546","205,039",,"12,713",0,0,0,,"574,345",,"10,863,945",,,"20,600,686"
"Crab, armed box.........................",,36,,6,12,,0,,0,0,,0,0,0,0,,8,,227,,,289
"Crab, box......................................",,14,,12,5,,16,,120,205,,285,30,0,29,,90,,0,,,807
"Crab, brown rock........................",,"3,732",,"4,652","3,680",,"4,763",,"7,356","7,702",,"9,274","7,767","7,110","4,853",,"4,836",,"3,203",,,"68,926"
"Crab, claws.................................",,241,,165,163,,517,,332,73,,0,39,0,101,,0,,12,,,"1,643"
"Crab, king.....................................",,102,,90,140,,281,,264,37,,36,115,26,93,,0,,0,,,"1,184"
"Crab, red rock.............................",,"15,522",,"14,339","20,131",,"21,883",,"28,832","24,936",,"31,786","31,533","35,150","25,032",,"24,561",,"30,744",,,"304,448"
"Crab, rock unspecified.............",,"29,870",,"25,363","36,120",,"40,708",,"41,923","51,884",,"60,781","40,228","40,386","31,750",,"31,621",,"36,527",,,"467,163"
"Crab, spider.................................",,"8,020",,"6,505","6,569",,"4,818",,"2,404","4,575",,"5,052","5,232","3,109","5,742",,"5,084",,"4,185",,,"61,294"
"Crab, spider/sheep claws.......",,96,,76,36,,63,,42,24,,11,17,0,0,,0,,18,,,383
"Crab, tanner................................",,1,,33,"3,012",,66,,1,2,,45,0,5,6,,3,,43,,,"3,217"
"Crab, yellow rock.......................",,"34,377",,"40,335","56,412",,"68,358",,"81,116","73,498",,"64,231","79,368","60,478","33,361",,"31,227",,"42,635",,,"665,395"
"Crayfish, red swamp.................",,0,,0,0,,0,,0,0,,0,545,400,0,,0,,0,,,945
"Crayfish, unspecified...............",,"1,563",,"1,489","1,684",,"1,199",,"6,147","7,977",,"10,749","29,441","51,875","25,207",,"3,042",,"3,110",,,"143,483"
"Crustacean, unspecified.........",,0,,0,0,,6,,0,0,,0,0,0,0,,0,,0,,,6
"Lobster, California spiny..........",,"91,092",,"56,383","28,480",,0,,0,0,,0,0,0,"261,568",,"183,193",,"130,359",,,"751,075"
"Prawn, ridgeback.......................",,"37,139",,"20,354","23,010",,"16,036",,"8,347",60,,10,129,222,"37,423",,"31,180",,"20,176",,,"194,087"
"Prawn, spot.................................",,"8,335",,"30,113","28,288",,"24,472",,"24,655","34,997",,"33,469","44,387","42,753","46,245",,"90,973",,"12,259",,,"420,946"
"Shrimp, bay.................................",,"6,464",,"4,425","4,033",,"1,616",,"2,016","2,734",,"3,574","2,870","3,349","2,120",,"1,497",,"3,652",,,"38,350"
"Shrimp, brine...............................",,0,,0,0,,0,,0,0,,"49,895","81,973","57,534","1,434",,0,,0,,,"190,836"
"Shrimp, coonstriped..................",,0,,0,0,,0,,976,"31,176",,"13,282","11,019","10,950","10,871",,0,,0,,,"78,274"
"#",$ %,,,"! %",,' #,,(,,',,$%,$%,(% %,,"!",)# !,,* + !,,"# !",,,&
Crustaceans,,,,,,,,,,,,,,,,,,,,,,,,
"Shrimp, ghost..............................",0,,,0,,0,,0,,0,,0,0,11,,11,1,,1,,3,,,28
"Shrimp, mantis............................",248,,,199,,809,,846,,131,,13,0,0,,0,83,,75,,55,,,"2,459"
"Shrimp, ocean (pink).................",0,,,0,,7,,"748,974",,"1,672,328",,"1,330,511","934,077","1,294,235",,"909,614","485,393",,0,,0,,,"7,375,139"
"Shrimp, unspecified..................",0,,,54,,0,,0,,0,,0,0,0,,0,0,,0,,0,,,54
Echinoderms,,,,,,,,,,,,,,,,,,,,,,,,
Bryozoan......................................,0,,,0,,7,,0,,0,,0,0,0,,0,0,,0,,0,,,7
"Echinoderm, unspecified.........",0,,,0,,0,,0,,1,,0,0,0,,0,0,,0,,0,,,1
Sand dollar..................................,0,,,0,,0,,16,,0,,0,0,6,,0,0,,0,,0,,,22
"Sea cucumber, giant red.........","12,957",,,"16,729",,"23,096",,"15,791",,"34,821",,"46,182","49,052","36,057",,"39,863","25,765",,"15,970",,"12,921",,,"329,202"
"Sea cucumber, unspecified....",0,,,"1,416",,"8,466",,95,,40,,"1,499",874,627,,800,601,,0,,0,,,"14,618"
"Sea cucumber, warty................","15,999",,,"28,030",,"45,126",,"60,222",,"79,890",,"117,167","73,575","59,521",,"31,462","4,464",,967,,"4,119",,,"521,078"
Sea stars.....................................,35,,,17,,810,,19,,45,,10,24,38,,10,5,,0,,0,,,"1,013"
"Sea urchin, purple.....................",882,,,254,,90,,116,,247,,508,139,284,,154,"3,339",,86,,262,,,"6,361"
"Sea urchin, red...........................","1,089,428",,,"949,329",,"667,416",,"905,641",,"799,447",,"924,179","774,855","968,997",,"1,013,546","1,019,819",,"1,131,973",,"1,249,924",,,"11,494,551"
"Sea urchin, white.......................",0,,,44,,29,,68,,28,,18,16,53,,22,10,,16,,"1,611",,,"1,915"
Mollusks,,,,,,,,,,,,,,,,,,,,,,,,
"Clam, rosy razor.........................",0,,,0,,0,,0,,0,,0,0,0,,0,6,,0,,0,,,6
"Clam, unspecified......................",0,,,0,,0,,0,,0,,0,0,0,,0,120,,0,,0,,,120
"Limpet, keyhole..........................",0,,,0,,61,,101,,0,,0,19,661,,0,14,,0,,0,,,856
"Mollusk, unspecified.................",0,,,0,,0,,0,,0,,1,0,0,,0,0,,19,,0,,,20
"Octopus, unspecified...............",677,,,806,,620,,761,,716,,778,652,539,,116,71,,124,,339,,,"6,200"
Sea hare......................................,257,,,208,,373,,224,,368,,203,138,76,,121,249,,213,,52,,,"2,482"
Sea slug.......................................,0,,,0,,0,,0,,0,,0,0,0,,0,0,,40,,0,,,40
"Snail, sea.....................................",440,,,0,,0,,0,,0,,0,0,0,,9,0,,0,,0,,,449
"Snail, top......................................",107,,,65,,165,,92,,150,,83,51,0,,54,107,,86,,31,,,990
"Squid, jumbo...............................",5,,,0,,11,,0,,0,,0,0,0,,"5,520",22,,10,,0,,,"5,568"
"Squid, market..............................","772,461",,,"925,305",,"33,463",,"447,737",,"9,981,055",,"7,211,751  14,109,119  18,346,340",,,,"30,487,634","78,530,580",,************,,"2,155,594",,,"267,985,250"
"Whelk, Kellet's............................","12,360",,,"13,569",,"12,755",,"6,141",,"2,970",,"9,478","11,822","11,161",,"9,408","9,209",,"11,703",,"14,955",,,"125,531"
Plants,,,,,,,,,,,,,,,,,,,,,,,,
Kelp...............................................,0,,,69,,0,,52,,38,,0,0,0,,0,0,,0,,0,,,159
Worms,,,,,,,,,,,,,,,,,,,,,,,,
Anemones....................................,0,,,0,,1,,0,,0,,0,0,0,,0,0,,0,,0,,,1
Jellyfish........................................,0,,,0,,0,,0,,10,,0,0,"9,396",,0,0,,0,,0,,,"9,406"
"Lancelets, amphioxus...............",0,,,0,,0,,0,,0,,0,0,221,,0,0,,0,,0,,,221
Sea pansy...................................,0,,,3,,0,,0,,1,,0,0,0,,0,0,,0,,0,,,4
"Spiders, sea................................",8,,,0,,0,,0,,0,,0,0,0,,0,0,,0,,0,,,8
"#",,$ %,"! %",,' #,,( ',$%,$%,(% %,,"!",)# !,,* + !,,"# !",,&
"",Total Pounds:,"42,300,389  10,551,991",,,"3,893,418",,"4,978,530  14,826,137  12,371,589  37,465,883  24,116,275",,,,,"46,622,666","83,749,706",,************,,"17,671,426",,"407,809,587"
