"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, starry...............................",,143,164,0,0,173,223  337,,135,251,176,78,78,"1,758"
"Rockfish, treefish............................",,196,140,0,0,204,265  616,,534,461,382,517,188,"3,503"
"Rockfish, unspecified....................",,0,141,0,19,0,303  66,,285,186,2,12,66,"1,080"
"Rockfish, vermilion........................",,"2,050","1,946",301,145,"2,346","2,615  2,895",,"3,527","4,617","2,740","2,480","3,298","28,959"
"Rockfish, widow............................",,3,0,485,380,"20,548",88  166,,120,285,41,90,0,"22,206"
"Rockfish, yelloweye......................",,0,0,0,0,0,0  0,,0,4,0,0,0,4
"Rockfish, yellowtail........................",,114,146,139,18,105,27  252,,457,325,199,253,318,"2,353"
Sablefish.........................................,,"189,019","269,613","333,928","363,529","582,055","422,237  729,512",,"567,969","923,693","452,379","354,457","211,892","5,400,283"
"Salmon, Chinook...........................",,0,0,0,0,"1,108","0  136,504",,"84,527","4,565",0,0,0,"226,704"
"Salmon, Roe (Chinook, Coho)....",,0,0,0,0,0,0  2,,0,0,0,0,0,2
"Salmon, coho................................",,0,0,0,0,7,0  0,,0,0,0,0,0,7
"Sanddab, Pacific..........................",,0,0,0,0,0,0  0,,50,0,0,10,0,60
"Sanddab, speckled......................",,0,0,0,180,0,0  0,,0,0,0,0,0,180
Sanddab........................................,,857,"2,672","10,060","7,229","11,406","5,713  30,623",,"10,239","17,364","11,110","14,237","2,043","123,554"
"Sardine, Pacific.............................",,"4,539,741","11,340,771","11,815,754","9,189,687","7,963,077","4,394,401  14,697,987",,"872,228","7,983,385","166,219","546,419","694,088","74,203,757"
Sargo..............................................,,0,0,0,0,7,0  0,,0,0,1,0,0,8
"Scorpionfish, California.................",,391,397,31,68,"1,080","1,131  1,935",,"1,193",672,99,66,274,"7,338"
"Sculpin, staghorn..........................",,122,52,156,72,125,21  168,,293,470,551,357,250,"2,637"
"Seabass, white..............................",,"11,103","58,023","22,940","2,510","2,124","190,326  113,358",,"66,662","38,857","29,259","10,943","2,192","548,295"
"Seaperch, striped.........................",,120,385,534,0,0,0  0,,0,0,0,0,0,"1,039"
Senorita..........................................,,0,0,0,2,0,4  0,,0,0,0,0,3,9
"Shad, threadfin.............................",,0,0,110,668,372,"1,117  1,544",,"3,035","5,386","5,042","4,601","1,473","23,348"
"Shark, Pacific angel......................",,"1,216",846,"1,251","1,109","1,400",914  513,,293,678,599,366,584,"9,769"
"Shark, bigeye thresher..................",,0,0,0,0,0,124  0,,276,835,299,124,0,"1,658"
"Shark, blue.....................................",,0,84,0,0,0,0  0,,0,0,143,0,0,227
"Shark, brown smoothhound........",,6,62,37,157,2,81  78,,6,28,6,5,0,468
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, gray smoothhound............",,90,29,3,35,83,0,0,0,0,0,0,10,250
"Shark, horn.....................................",,0,0,63,0,0,4,65,0,15,0,3,0,150
"Shark, leopard...............................",,"1,846",300,301,618,416,194,364,482,637,411,351,424,"6,517"
"Shark, pelagic thresher................",,0,0,0,0,0,0,0,50,0,0,0,0,50
"Shark, salmon................................",,69,"3,311",0,0,0,0,0,0,0,0,0,0,"3,380"
"Shark, sevengill..............................",,68,4,0,0,30,0,0,0,14,0,28,0,144
"Shark, shortfin mako.....................",,"3,494",447,443,443,890,"7,996","2,668","1,914","3,244","3,030","1,682","6,050","32,300"
"Shark, sixgill....................................",,0,0,0,0,0,0,0,0,22,0,0,0,22
"Shark, soupfin................................",,115,464,839,316,85,267,"2,022",360,75,156,504,356,"5,557"
"Shark, spiny dogfish......................",,26,"3,284","8,505",0,74,0,363,0,0,18,17,41,"12,327"
"Shark, thresher...............................",,"8,564","10,030","3,047","4,168","7,659","20,452","10,562","7,165","8,089","5,152","19,822","19,167","123,877"
"Shark, unspecified........................",,17,68,268,0,0,75,108,0,15,50,227,"1,729","2,557"
"Shark, white...................................",,0,0,145,0,0,280,485,162,105,0,0,0,"1,177"
"Sheephead, California.................",,"8,623","11,934",0,101,"8,530","8,600","11,056","3,887","5,743","1,894","3,829","3,059","67,256"
"Skate, big.......................................",,0,0,0,0,"2,348",0,51,0,0,0,0,0,"2,399"
"Skate, longnose............................",,"9,802","16,506","19,837","31,976","23,313","29,783","35,089","56,832","29,810","28,110","29,444","1,786","312,288"
"Skate, thornback..........................",,0,106,44,258,97,65,215,12,74,0,0,0,871
"Skate, unspecified........................",,"1,380","1,843","2,828","3,610","3,805","1,925","2,675","4,120","11,725","15,698","2,147",987,"52,742"
"Smelt, night....................................",,"1,119","8,804","20,254","19,722","31,445","35,724","19,019","5,451",705,0,0,0,"142,243"
"Smelt, surf.......................................",,0,0,0,97,"2,050","3,569","11,360","42,099","28,187","1,290",0,"7,042","95,694"
"Smelts, true....................................",,0,0,0,0,0,0,8,0,0,0,0,0,8
"Sole, Dover....................................",,"282,052","423,991","456,763","534,633","435,370","397,989","610,481","683,230","703,765","692,672","394,837","164,620","5,780,402"
"Sole, English...................................",,"1,721","2,540","3,090","5,922","6,320","3,438","9,906","3,639","6,913","5,634","2,292","1,557","52,972"
"Sole, fantail....................................",,0,6,10,0,0,0,0,0,0,0,0,0,16
"Sole, petrale..................................",,"92,407","43,757","45,504","36,088","63,074","13,699","38,517","11,833","37,280","20,617","54,294","13,278","470,348"
"Sole, rex..........................................",,"10,201","8,153","11,258","15,118","9,227","7,314","7,661","16,564","10,229","12,288","10,035","4,155","122,204"
"Sole, rock.......................................",,478,613,577,609,716,286,"1,392",340,116,38,47,0,"5,212"
"Sole, sand......................................",,"1,604","1,735","1,300",990,275,"1,385","3,082","2,553","1,860","1,538",709,"1,181","18,211"
"Sole, unspecified...........................",,"2,792","4,107","3,371","1,160","1,545","1,493",596,268,925,"1,089","1,032","1,275","19,653"
Stingray..........................................,,75,0,116,56,250,0,215,0,19,969,0,"4,328","6,028"
"Sunfish, ocean...............................",,0,0,0,0,0,0,0,0,5,5,0,6,16
"Surfperch, barred..........................",,140,368,56,211,0,0,0,125,117,97,67,161,"1,342"
"Surfperch, black............................",,35,9,25,61,1,6,0,0,0,11,10,0,157
"Surfperch, pile...............................",,25,0,0,0,0,0,0,0,0,0,0,0,25
"Surfperch, rainbow.......................",,0,0,0,0,1,0,0,0,0,11,21,0,33
"Surfperch, redtail..........................",,273,23,327,"1,860",0,0,0,"3,767","1,152",0,0,0,"7,402"
"Surfperch, rubberlip......................",,11,5,27,2,0,0,0,0,2,22,132,14,213
"Surfperch, shiner............................",,9,0,0,0,16,0,0,0,0,1,9,0,35
"Surfperch, unspecified.................",,662,167,1,169,0,0,66,355,314,37,508,75,"2,353"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Surfperch, walleye........................",,0,0,35,10,0,0,0,0,0,0,0,0,45
Swordfish........................................,,"70,588","79,021","93,361",50,31,"1,255","1,209","8,793","15,033","44,266","62,797","186,128","562,531"
"Thornyhead, longspine.................",,"67,060","113,574","78,268","123,092","159,589","74,734","124,972","108,981","122,285","106,016","104,547","33,254","1,216,372"
"Thornyhead, shortspine................",,"80,781","84,524","85,884","88,640","92,034","64,070","99,071","78,915","104,334","101,997","85,102","53,040","1,018,391"
Thornyheads..................................,,"1,673","1,785","1,546","10,799","1,349","1,051","2,856","1,587","2,339",107,"2,945","1,439","29,474"
"Trawled fish, unspecified..............",,0,0,0,0,0,0,0,0,0,0,505,327,832
Triggerfish.......................................,,0,0,0,0,0,6,0,0,3,0,3,0,12
"Tuna, albacore..............................",,0,0,"7,469",468,963,0,"14,242","60,445","419,258","1,112,182","8,367","10,295","1,633,689"
"Tuna, bigeye..................................",,0,0,"24,402","16,534","15,591",0,0,0,0,0,0,"7,487","64,014"
"Tuna, bluefin..................................",,115,0,0,0,0,0,48,19,70,355,140,"2,074","2,821"
"Tuna, skipjack................................",,0,0,610,96,5,0,0,0,0,35,0,"2,315","3,061"
"Tuna, unspecified.........................",,0,"1,751",914,0,0,0,0,0,0,0,0,0,"2,665"
"Tuna, yellowfin...............................",,0,0,359,133,0,0,37,0,944,85,0,77,"1,635"
"Turbot, hornyhead........................",,0,3,460,670,"1,937","1,127","1,402","1,393","1,341",875,786,718,"10,712"
Turbot.............................................,,18,13,23,114,123,50,28,15,97,91,33,9,614
Wahoo...........................................,,0,0,405,293,480,0,0,0,0,0,0,233,"1,411"
"Whitefish, ocean...........................",,460,755,9,596,511,380,484,168,277,302,60,242,"4,243"
"Whiting, Pacific.............................",,0,"3,447","11,690",705,"5,335,524",0,6,0,10,3,0,0,"5,351,385"
"Wrasse, rock..................................",,0,0,0,0,0,4,0,0,0,0,0,0,4
Yellowtail........................................,,0,"1,035",581,172,"1,047","1,649","2,524","3,171","1,391",857,"2,260",76,"14,763"
Crustaceans,,,,,,,,,,,,,,
Barnacle........................................,,0,0,0,0,125,0,0,0,0,0,0,0,125
"Crab, Dungeness..........................",,"1,560,404","853,373","565,445","273,365","213,397","190,275","18,526",50,0,953,"7,059,576","11,287,264","22,022,628"
"Crab, armed box..........................",,0,0,7,88,117,53,67,22,0,0,381,31,767
"Crab, box.......................................",,18,13,183,8,113,620,335,94,0,91,133,240,"1,848"
"Crab, brown rock..........................",,"3,803","3,262","4,027","2,098","5,197","5,089","6,664","8,777","5,959","6,735","5,955","2,880","60,447"
"Crab, claws...................................",,649,457,289,38,3,7,2,82,21,36,126,150,"1,860"
"Crab, hermit..................................",,0,0,0,0,0,0,1,0,0,0,0,0,1
"Crab, king......................................",,0,0,10,66,55,55,0,0,1,125,134,0,446
"Crab, pelagic red.........................",,0,0,20,0,0,0,0,0,0,0,0,0,20
"Crab, red rock...............................",,"15,780","16,972","18,334","22,945","23,032","20,009","26,150","29,354","18,687","16,164","8,960","13,121","229,507"
"Crab, rock unspecified................",,"39,214","37,607","47,774","49,983","60,439","46,810","49,474","45,259","37,547","28,029","21,247","15,759","479,140"
"Crab, spider...................................",,"7,479","6,931","9,647","7,599","7,720","6,134","5,216","4,289","2,386","5,348","7,583","5,340","75,672"
"Crab, spider/sheep claws............",,49,41,34,29,9,56,3,0,48,0,0,0,268
"Crab, tanner..................................",,16,5,92,79,40,53,76,37,86,9,32,13,538
"Crab, yellow rock..........................",,"29,680","26,803","38,650","47,452","50,340","45,360","57,330","49,973","48,822","30,912","24,090","33,216","482,628"
"Crayfish, red swamp.....................",,0,0,0,0,0,0,0,260,0,0,0,0,260
"Crayfish, unspecified....................",,"1,057",658,"1,682","2,794","3,751","4,630","5,321","33,908","46,996","18,261","4,779","1,435","125,272"
"Crustacean, unspecified.............",,46,0,0,0,0,0,0,0,0,0,4,0,50
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Lobster, California spiny...............","108,449","59,588","28,263",0,0,0,0,0,0,"254,430","143,587","121,305","715,622"
"Prawn, ridgeback.........................","60,832","57,001","38,343","14,084","16,143",64,0,55,245,"16,768","7,278","8,796","219,609"
"Prawn, spot....................................","4,861","20,680","33,336","26,793","18,742","19,827","22,873","24,387","28,287","30,317","8,356","7,057","245,515"
"Shrimp, bay....................................","8,106","8,582","4,943","1,583","3,004","1,974","4,272","4,021","4,546","3,240","4,684","7,596","56,551"
"Shrimp, coonstriped......................",0,0,0,0,"24,743","12,428","12,861","21,763","14,526","9,841",0,0,"96,162"
"Shrimp, ghost.................................",6,13,0,0,31,23,24,10,8,7,0,0,122
"Shrimp, mantis...............................",31,326,453,638,103,74,16,16,0,0,190,70,"1,917"
"Shrimp, ocean (pink)....................",0,0,0,"371,611","854,532","795,874","402,109","950,542","391,751","137,633",0,0,"3,904,052"
"Shrimp, unspecified......................",0,0,0,95,1,0,58,70,0,0,0,0,223
Echinoderms,,,,,,,,,,,,,
Bryozoan........................................,0,0,10,0,0,0,2,0,12,12,0,0,36
Sand dollar....................................,0,3,17,12,0,0,0,9,0,0,8,0,49
"Sea cucumber, giant red............","6,353","6,298","5,533","7,464","17,955","21,167","28,603","31,428","18,864","25,590","26,557","9,245","205,057"
"Sea cucumber, unspecified........",0,220,0,0,"4,429",0,0,0,0,"3,812",0,70,"8,531"
"Sea cucumber, warty...................","7,617","21,110","43,163","59,549","62,027","63,522","58,511","35,373","29,253","1,648",55,427,"382,254"
Sea stars.........................................,0,10,26,3,67,162,8,25,30,13,6,0,350
"Sea urchin, purple.........................",178,430,181,"2,396",202,976,145,"1,480",134,127,153,94,"6,496"
"Sea urchin, red..............................","770,285","772,309","717,940","740,452","777,676","739,032","976,765","1,172,452","1,105,899","1,029,400","1,191,092","1,229,116","11,222,416"
"Sea urchin, white..........................",0,0,0,17,24,121,40,25,74,43,0,0,344
Mollusks,,,,,,,,,,,,,
"Limpet, keyhole.............................",179,170,0,126,468,100,62,0,463,163,617,574,"2,922"
"Limpet, unspecified......................",0,0,0,0,0,5,17,0,0,0,0,0,22
"Mollusk, unspecified.....................",0,0,0,0,801,0,0,0,0,0,0,0,801
"Octopus, unspecified...................",102,305,724,237,59,63,130,144,124,54,21,248,"2,210"
Sea hare........................................,276,352,507,360,301,430,395,429,291,396,250,140,"4,127"
Sea slug..........................................,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snail, sea........................................",0,0,709,0,0,0,0,0,0,0,0,0,709
"Snail, top........................................",0,0,0,113,8,88,54,78,62,122,47,0,571
"Squid, jumbo.................................","16,827","4,306",69,151,0,0,71,0,79,"1,081",178,0,"22,762"
"Squid, market................................","16,923,168","4,669,607","1,341,445","10,786,109","3,087,751","45,720","7,495,204","14,838,846","12,928,970","55,052,090","90,485,951","70,832,969","288,487,830"
"Whelk, Kellet's...............................","12,652","13,595","17,420","11,102","16,529","9,841","15,121","16,626","12,720","7,901","9,709","6,957","150,173"
Plants,,,,,,,,,,,,,
Kelp.................................................,0,0,0,0,24,0,0,45,47,37,53,0,206
Worms,,,,,,,,,,,,,
"Flatworm, marine..........................",0,0,0,0,0,0,2,0,0,0,0,0,2
Invertebrate Unspecified.............,0,0,0,0,0,0,0,0,0,0,10,12,22
Jellyfish...........................................,0,0,0,0,7,0,0,"3,288",0,0,0,0,"3,295"
"",Species,January,February,March,April,May June,July,,August September,October,November,,December,Landings
Worms,,,,,,,,,,,,,,
Sea pansy......................................,,0,1,4,0,2  2,2,,1,2,0  0,,0,13
"",Total Pounds:,"25,316,440","19,436,146","16,357,576","23,277,428","21,347,903  8,646,955  27,339,888",,,"21,335,694  27,197,199","61,634,396  101,379,433",,,"85,258,638","438,527,870"
"",,,,,,*******************,,,Total Records:,"105,192",,,,
"",,,,,,End of Report,,,,,,,,
