"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Flounder, unspecified........................",,510,593,323,12,0,0,111,20,92,10,204,2,"1,877"
Flyingfish...........................................,,0,11,0,0,0,0,0,0,0,0,0,0,11
"Goby, yellowfin.................................",,0,1,5,0,0,0,487,0,0,0,0,0,493
"Greenling, kelp..................................",,606,"1,213",8,0,"6,653","2,446",0,2,0,0,2,0,"10,930"
Grenadier..........................................,,"21,748","16,368","40,659","63,398","46,291","26,319","37,043","63,624","27,597","12,494","4,471","4,237","364,249"
"Guitarfish, shovelnose......................",,"2,899","3,313","1,441","2,832","1,409",868,61,489,457,"1,196","1,801","2,536","19,301"
Halfmoon..........................................,,225,4,50,39,0,33,60,192,7,30,0,90,729
"Halibut, California..............................",,"113,896","99,071","85,232","46,825","46,007","76,443","104,836","123,401","60,765","41,567","20,997","4,117","823,158"
"Herring, Pacific - roe on kelp.............",,"79,313","47,848","5,249",0,0,0,0,0,0,0,0,0,"132,410"
"Herring, Pacific - roe.........................",,"2,263,289","1,594,389","5,553",0,0,0,0,0,0,0,0,"122,965","3,986,196"
"Herring, Pacific.................................",,0,3,0,"74,950",313,29,0,0,0,0,0,0,"75,295"
Jacksmelt..........................................,,"4,228",459,178,812,"6,192",885,"1,247","1,187","1,639","3,133",633,326,"20,919"
"Kelpfish, giant...................................",,0,0,0,0,0,0,0,0,0,0,0,600,600
"Lamprey, Pacific...............................",,0,0,0,185,0,0,0,0,0,0,0,0,185
Lingcod.............................................,,"2,611","1,753","3,413","3,599","15,746","16,426","19,221","18,246","19,188","12,855","2,156",175,"115,388"
"Lizardfish, California..........................",,73,25,698,400,67,0,0,0,0,63,0,0,"1,326"
Louvar...............................................,,193,13,0,36,19,25,542,555,"1,368","4,846","1,695",60,"9,353"
"Mackerel, Pacific...............................",,"307,668","134,384","173,492","48,009","56,815","188,269","360,371","1,045,381","3,538,319","2,324,637","400,314","239,115","8,816,774"
"Mackerel, jack...................................",,0,"32,858","27,393",0,"44,340","42,430","5,195",47,"1,082","123,861","47,148","18,943","343,297"
"Midshipman, plainfin.........................",,12,0,0,0,3,0,0,0,0,3,0,0,18
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Mudsucker, longjaw..........................",,0,7,5,0,0,0,0,0,0,0,0,0,12
"Mullet, striped....................................",,0,0,0,0,0,0,0,0,0,0,90,0,90
Opah.................................................,,"6,062",274,90,"3,282","1,657","2,486",747,"1,651","11,034","13,414","14,655","18,362","73,712"
Opaleye............................................,,267,179,322,74,0,42,52,259,73,937,26,178,"2,408"
"Pomfret, Pacific................................",,0,0,0,286,0,0,0,0,0,0,0,196,482
Queenfish.........................................,,718,90,331,395,991,"1,125","1,347",499,297,350,0,0,"6,142"
"Ray, Pacific electric..........................",,5,0,0,0,0,37,101,242,0,0,20,0,405
"Ray, bat............................................",,0,0,250,0,0,16,0,0,115,397,428,443,"1,649"
"Ray, unspecified...............................",,0,0,0,31,0,0,0,0,0,0,0,0,31
"Rockfish, China................................",,55,381,32,94,390,286,323,670,656,304,248,2,"3,438"
"Rockfish, Mexican............................",,0,0,0,0,0,0,0,0,3,1,0,0,4
"Rockfish, aurora...............................",,22,20,94,85,130,725,229,266,37,628,665,503,"3,403"
"Rockfish, bank..................................",,"50,147","31,579","3,760","12,244","12,701","4,944",332,"7,778","9,398","3,102","3,163","20,452","159,600"
"Rockfish, black-and-yellow...............",,707,"1,150",0,61,"1,957","2,416","2,736","2,767","2,190","1,180","1,396",14,"16,572"
"Rockfish, black.................................",,871,"4,833","3,655","5,553","17,965","14,530","21,552","21,665","18,900","11,791","5,842",540,"127,697"
"Rockfish, blackgill.............................",,"41,425","38,177","42,982","37,424","14,767","29,970","20,368","39,339","59,330","23,809","29,987","17,683","395,259"
"Rockfish, blue...................................",,658,"1,214",409,795,"1,643","1,010","1,172","2,126","4,746","1,751","1,473",7,"17,003"
"Rockfish, bocaccio............................",,0,0,52,0,353,267,0,33,50,136,477,0,"1,368"
"Rockfish, brown................................",,"2,298","2,805",10,6,"1,472","3,912","7,912","7,388","7,129","6,567","4,615",50,"44,164"
"Rockfish, canary...............................",,0,28,283,217,308,21,151,27,91,23,0,0,"1,149"
"Rockfish, chilipepper.........................",,381,612,619,"1,237","18,749","3,337",788,"1,478","1,090","9,791",743,0,"38,824"
"Rockfish, copper...............................",,70,838,182,256,602,578,658,927,"1,128","1,034",321,0,"6,595"
"Rockfish, cowcod.............................",,0,0,0,7,0,0,0,0,1,1,0,0,8
"Rockfish, darkblotched.....................",,198,358,583,898,458,"1,799","1,658","1,748","2,394","1,354","1,354",349,"13,151"
"Rockfish, flag....................................",,0,0,0,0,2,0,4,3,0,45,0,0,54
"Rockfish, gopher...............................",,"2,125","2,817",45,2,"1,984","3,487","4,166","4,915","3,697","3,397","2,901",2,"29,537"
"Rockfish, grass.................................",,"1,154","2,552",8,0,"3,124","2,687","4,260","6,533","5,681","1,749","2,036",0,"29,784"
"Rockfish, greenblotched...................",,0,0,0,3,7,0,0,14,0,3,0,0,27
"Rockfish, greenspotted.....................",,0,25,39,75,309,17,29,0,206,3,0,0,703
"Rockfish, greenstriped......................",,0,654,0,0,0,32,0,0,4,136,0,0,826
"Rockfish, group black/blue................",,0,0,0,0,0,0,36,0,95,0,0,0,131
"Rockfish, group bolina......................",,378,238,42,7,118,356,672,"1,904",723,301,157,0,"4,897"
"Rockfish, group deepwater reds.......",,0,0,0,0,16,0,0,40,0,0,0,0,56
"Rockfish, group gopher....................",,225,319,0,0,330,294,644,820,391,377,241,0,"3,641"
"Rockfish, group nearshore...............",,42,15,83,0,190,55,6,10,0,6,0,13,420
"Rockfish, group red..........................",,415,508,11,"26,462",441,625,548,"2,398",590,"2,380",247,380,"35,004"
"Rockfish, group rosefish...................",,"74,573","40,580","32,701","31,672","33,384","15,615","11,015","13,051","30,012","42,639","32,293","15,812","373,345"
"Rockfish, group shelf........................",,25,284,8,159,625,60,83,89,135,54,108,0,"1,629"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, group slope.......................",,"9,791","15,491","14,426","5,838","3,023","6,374","11,785","6,672","22,498","14,814","8,581","3,891","123,185"
"Rockfish, group small.......................",,0,5,0,"1,657",120,950,"1,045",220,10,0,18,99,"4,124"
"Rockfish, kelp...................................",,295,328,0,0,518,199,481,224,162,162,111,0,"2,481"
"Rockfish, olive...................................",,152,189,0,0,142,145,402,265,135,104,47,3,"1,583"
"Rockfish, pink...................................",,0,0,0,0,0,6,0,0,0,0,0,0,6
"Rockfish, quillback............................",,6,297,80,162,488,290,410,641,"1,030",659,189,0,"4,251"
"Rockfish, redbanded.........................",,0,10,69,0,5,68,0,0,70,180,0,0,402
"Rockfish, rosethorn...........................",,0,0,0,0,0,0,0,0,0,70,11,0,81
"Rockfish, rosy...................................",,0,0,0,0,0,0,0,0,0,536,0,0,536
"Rockfish, shortbelly...........................",,0,622,0,0,0,500,0,0,1,0,0,0,"1,123"
"Rockfish, speckled............................",,0,0,0,0,0,0,0,0,0,62,2,0,64
"Rockfish, splitnose............................",,"6,650","8,734","2,245","1,004","1,781","2,081",552,659,44,770,449,"24,877","49,847"
"Rockfish, squarespot........................",,0,0,0,0,0,0,0,0,0,321,103,0,424
"Rockfish, starry.................................",,3,6,0,0,0,2,1,34,2,0,0,0,47
"Rockfish, swordspine........................",,0,0,0,0,0,10,0,0,0,0,0,0,10
"Rockfish, treefish..............................",,95,99,0,0,96,148,220,292,218,354,181,0,"1,704"
"Rockfish, unspecified........................",,646,264,"1,522","1,315","15,801",172,638,486,442,173,223,0,"21,682"
"Rockfish, vermilion............................",,797,"1,005",225,191,"1,124","1,249","1,257","2,385","2,783","1,588",917,19,"13,541"
"Rockfish, widow................................",,151,"1,171",63,"6,286",692,"1,221",499,52,2,49,0,0,"10,186"
"Rockfish, yelloweye..........................",,0,13,0,0,0,0,0,0,0,9,0,0,22
"Rockfish, yellowtail............................",,623,"1,409",0,75,64,204,411,759,"1,159",196,85,0,"4,985"
Sablefish...........................................,,"184,358","200,209","256,791","283,062","298,457","372,882","363,047","341,506","538,663","386,293","231,611","117,755","3,574,633"
"Salmon, Chinook..............................",,0,500,105,"20,093","979,097","1,555,299","1,569,756","1,355,648","862,657","42,717",82,0,"6,385,954"
"Salmon, Roe (Chinook and Coho)",,0,0,0,0,0,12,20,67,86,0,0,0,185
Salmon.............................................,,0,0,0,0,0,0,0,90,0,0,0,0,90
"Sanddab, Pacific...............................",,0,0,160,0,0,0,0,0,0,0,0,27,187
Sanddab...........................................,,"18,812","103,674","179,242","176,844","151,235","155,332","112,010","100,961","173,957","104,789","73,236",4,"1,350,096"
"Sardine, Pacific.................................",,"23,515,053","7,864,122","10,575,073","2,332,312","3,950,912","3,453,019","1,488,049","3,227,170","3,248,477","9,936,008","1,831,747","5,030,832","76,452,774"
Sargo................................................,,0,0,231,0,0,21,308,545,0,90,0,74,"1,269"
"Scorpionfish, California.....................",,24,54,22,104,"3,143","1,969","2,009","4,076",7,75,98,2,"11,582"
"Sculpin, staghorn..............................",,262,64,390,95,142,80,28,41,233,"1,161",927,346,"3,769"
"Seabass, white.................................",,"8,983","9,137","22,776","2,222","2,540","216,711","138,443","21,553","15,457","4,272","4,730",174,"446,997"
Senorita............................................,,10,0,0,25,0,0,0,0,0,0,0,0,35
"Shad, threadfin.................................",,"3,577","4,285",724,"3,940","2,230","3,443","3,838","12,397","14,329","18,470","19,700","13,671","100,604"
"Shark, Pacific angel..........................",,"2,522","1,628","1,476","2,060","3,892","2,767","1,093","1,606",484,403,566,575,"19,070"
"Shark, bigeye thresher.....................",,0,0,0,0,0,0,0,0,0,662,"3,130","3,614","7,406"
"Shark, blue.......................................",,0,0,0,0,0,0,0,0,0,110,0,0,110
"Shark, brown smoothhound.............",,"1,270",220,437,184,197,102,2,3,7,109,193,153,"2,877"
"Shark, gray smoothhound................",,0,0,20,0,35,15,25,92,0,0,0,75,262
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, leopard..................................",,"1,334","1,940",965,"2,132","1,893","2,176","1,432","1,423",879,975,"1,594",394,"17,137"
"Shark, pelagic thresher.....................",,0,0,0,0,0,0,0,0,496,"2,465",0,"2,522","5,483"
"Shark, sevengill................................",,0,0,13,0,0,0,272,28,31,0,14,0,358
"Shark, shortfin mako.........................",,"2,382",498,456,359,168,"8,937","8,493","3,776","22,391","25,876","13,906","18,815","106,058"
"Shark, sixgill......................................",,0,3,4,0,0,0,0,0,0,76,0,0,83
"Shark, smooth hammerhead............",,0,0,0,0,0,0,170,0,137,0,0,0,307
"Shark, soupfin...................................",,"3,544","3,263","2,323","1,093","3,195","7,099","8,754","3,467","1,156","2,532","6,925",156,"43,505"
"Shark, spiny dogfish.........................",,51,"2,531",57,9,0,"2,438","13,840","2,828",224,21,0,"1,749","23,749"
"Shark, swell......................................",,0,401,0,0,0,0,0,0,0,0,0,0,401
"Shark, thresher.................................",,"128,196",190,"1,772","23,783","81,100","7,399","12,213","14,142","20,516","30,001","31,910","38,624","389,847"
"Shark, unspecified............................",,399,659,146,881,"1,430",451,382,96,22,26,"1,128",249,"5,869"
"Sheephead, California......................",,"4,474","8,295",93,39,"12,578","21,133","24,441","11,558","7,003","3,283","11,452","3,610","107,959"
"Skate, big..........................................",,0,0,0,0,0,0,0,90,0,0,0,0,90
"Skate, unspecified............................",,"12,240","24,081","29,561","35,817","13,699","7,512","37,867","30,481","46,427","17,962","18,138","1,594","275,379"
"Smelt, night.......................................",,"6,690","17,088","37,240","59,486","56,919","30,701","11,638","5,514",0,0,0,0,"225,276"
"Smelt, surf........................................",,0,0,0,769,"10,863","64,950","46,233","28,699","19,192",0,0,0,"170,706"
"Smelts, true......................................",,3,0,0,2,0,17,0,0,0,0,0,0,22
"Sole, Dover.......................................",,"361,810","475,214","631,155","530,502","574,810","698,495","660,775","762,533","870,236","811,715","575,885","232,362","7,185,492"
"Sole, English.....................................",,"16,237","20,867","33,023","55,928","16,130","21,977","41,926","22,709","34,092","13,128","10,516","3,321","289,854"
"Sole, fantail.......................................",,13,0,0,13,1,0,0,0,0,23,0,0,50
"Sole, petrale......................................",,"173,633","170,324","42,947","56,999","31,578","44,680","52,163","18,500","46,678","50,506","103,653","46,745","838,405"
"Sole, rex...........................................",,"38,178","94,062","40,528","56,858","36,929","45,189","44,667","54,018","56,770","48,726","38,512","16,351","570,787"
"Sole, rock..........................................",,"2,339","5,095","8,472","5,376","2,988","2,434","2,466",506,"1,010",553,"1,171",0,"32,409"
"Sole, sand.........................................",,"12,340","13,649","8,833","3,657","1,534","5,406","5,948","4,596","19,275","4,155","1,265",0,"80,657"
"Sole, unspecified..............................",,332,546,"2,044","3,090","5,655","2,052",994,"1,779",737,"2,701","1,027",13,"20,971"
"Stickleback, threespine.....................",,4,2,0,0,0,0,0,0,0,0,0,0,7
Stingray............................................,,0,0,0,0,0,0,0,0,0,0,15,0,15
"Sunfish, ocean..................................",,0,0,0,0,38,0,0,0,0,0,0,0,38
"Surfperch, barred..............................",,"2,015","2,659","2,334",910,0,0,"1,088","1,616","1,229","1,114","3,251","1,751","17,967"
"Surfperch, black................................",,1,0,2,0,0,0,30,49,0,0,0,0,82
"Surfperch, calico...............................",,0,41,25,84,0,0,0,0,0,0,0,0,150
"Surfperch, pile...................................",,0,0,11,0,0,0,0,0,0,5,10,0,26
"Surfperch, rainbow...........................",,0,2,1,0,0,0,0,0,0,0,0,0,3
"Surfperch, redtail..............................",,0,"1,579","1,282","7,745",43,0,"5,539","8,743","3,631",328,0,20,"28,909"
"Surfperch, rubberlip..........................",,21,66,101,78,0,0,35,91,0,16,50,65,523
"Surfperch, shiner..............................",,0,0,8,0,0,0,0,0,0,0,0,0,8
"Surfperch, unspecified......................",,"2,693","2,684","1,979","1,242",67,5,"1,254","1,438","3,890","2,303","4,169","5,958","27,681"
"Surfperch, walleye............................",,0,0,0,0,19,0,0,0,0,0,0,7,25
Swordfish..........................................,,"485,813","473,924","602,875","494,885","282,742","1,584","39,559","18,849","86,170","196,522","127,402","435,484","3,245,808"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Thornyhead, longspine.....................",,"133,622","86,451","135,078","154,249","253,696","236,937","172,311","190,912","229,772","185,807","55,228","29,355","1,863,418"
"Thornyhead, shortspine....................",,"95,753","56,441","75,154","75,347","98,170","73,951","79,644","68,594","92,227","68,861","54,383","21,653","860,178"
Thornyheads.....................................,,"18,929","6,947","27,649","21,576","12,254","3,361","2,921","12,433","6,298","10,015","2,740","5,358","130,480"
"Tomcod, Pacific................................",,0,0,0,0,22,0,0,0,0,0,0,0,22
Topsmelt...........................................,,0,0,0,0,0,0,0,0,0,20,0,0,20
"Tuna, albacore..................................",,"3,353",114,"1,546",56,"3,607","18,079","1,168,165","698,229","932,794","804,655","151,674","8,800","3,791,073"
"Tuna, bigeye.....................................",,"7,715","14,304","26,342","24,279",0,0,0,256,0,0,0,"2,291","75,187"
"Tuna, bluefin.....................................",,713,0,0,0,0,0,"3,164","44,613","4,927","13,829","9,545","2,414","79,203"
"Tuna, skipjack...................................",,"263,893","288,467",20,"47,601",0,0,33,69,"12,011","2,342","11,512","142,546","768,494"
"Tuna, unspecified.............................",,0,0,0,0,0,0,0,0,0,0,0,21,21
"Tuna, yellowfin..................................",,"12,089",306,"226,538","480,556",0,73,236,693,"2,180","1,399","160,170","141,234","1,025,474"
"Turbot, curlfin....................................",,0,0,0,0,0,4,0,0,0,0,0,0,4
Turbot...............................................,,106,594,"1,368",868,31,190,478,506,357,702,505,0,"5,705"
Wahoo..............................................,,0,0,0,250,0,0,0,0,0,0,164,300,714
"Whitefish, ocean...............................",,341,559,135,0,"1,344",438,469,252,139,144,341,41,"4,203"
"Whiting, Pacific.................................",,17,45,348,"1,195,875","1,917,708","644,587","79,352",325,2,49,97,7,"3,838,412"
Yellowtail...........................................,,341,797,310,158,"1,278","8,178","6,199","4,038","6,093","2,253",574,357,"30,575"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness.............................",,"5,805,968","1,423,699","308,202","245,600","170,531","50,268","11,830",0,0,0,"2,782,694","11,513,578","22,312,368"
"Crab, box..........................................",,138,261,250,185,632,365,3,69,28,26,441,396,"2,794"
"Crab, claws.......................................",,873,"1,285",678,223,220,261,390,141,73,126,189,282,"4,742"
"Crab, king.........................................",,3,0,160,138,12,0,0,0,0,0,0,0,313
"Crab, red rock...................................",,"1,375",175,680,"1,655","1,055","1,931",0,0,507,0,0,0,"7,378"
"Crab, rock unspecified......................",,"66,909","47,548","82,383","83,980","103,199","89,343","99,915","105,573","76,587","67,823","47,448","54,234","924,941"
"Crab, sand........................................",,0,0,0,4,5,0,0,0,1,0,58,0,67
"Crab, spider......................................",,"16,092","11,740","9,352","5,727","6,369","9,984","10,048","7,824","6,854","11,700","9,187","9,869","114,746"
"Crab, tanner......................................",,861,0,0,"64,784","82,702","64,626",0,0,0,0,0,0,"212,973"
"Crab, yellow rock..............................",,0,0,0,20,0,0,0,52,0,0,400,0,472
"Crayfish, red swamp.........................",,0,0,0,0,0,0,0,"4,151","1,350",0,0,0,"5,501"
"Crayfish, unspecified........................",,0,365,410,"1,185","2,000","7,415","7,782","24,007","17,659","7,745","1,960","1,654","72,182"
"Crustacean, unspecified...................",,261,74,51,32,0,0,0,0,0,2,0,0,420
"Lobster, California spiny...................",,"83,856","52,478","32,081",0,0,0,0,0,0,"271,204","149,600","111,829","701,049"
"Prawn, ridgeback..............................",,"96,162","138,980","92,766","44,702","52,026","1,639",25,151,35,"50,319","24,162",0,"500,967"
"Prawn, spot......................................",,"10,670","18,899","20,867","14,392","12,098","13,557","12,438","16,163","11,750","19,812","10,630","6,299","167,575"
"Shrimp, bay......................................",,"8,280","6,775","7,526","5,442","6,112","7,238","7,996","8,989","8,313","7,621","7,966","6,540","88,798"
"Shrimp, brine....................................",,"17,831","35,071","14,873","30,620","51,950","84,401","86,104","68,189","93,122","27,526","10,378","2,142","522,207"
"Shrimp, coonstriped..........................",,0,0,0,0,"19,356","14,911","7,826","6,161","6,320","7,429",0,0,"62,003"
"Shrimp, ghost...................................",,23,0,0,4,2,20,47,26,11,180,100,1,412
"Shrimp, mantis..................................",,"1,793","1,322","1,311","1,688","1,927",422,7,30,0,44,"1,117",0,"9,660"
Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Shrimp, ocean (pink)....................",0,0,0,"24,739","178,236  80,044","247,673",,"898,910  499,069","218,527",,0,0,"2,147,198"
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, giant red..................","9,568","13,203","5,949","6,484","17,060  55,778","68,902",,"45,797  36,728","16,752",,"21,118",0,"297,339"
"Sea cucumber, warty........................","29,907","32,924","70,413","57,145","72,544  93,797","65,380",,"29,398  5,875","2,374",,283,"1,188","461,228"
Sea stars..........................................,444,436,335,307,473  579,,487,197  717,,856,339,261,"5,431"
"Sea urchin, purple.............................","1,359","2,008","2,015","1,330",890  380,"1,262",,"1,050  433",,797,293,0,"11,817"
"Sea urchin, red.................................","1,043,960","772,266","1,137,432","580,310","678,939  499,980","420,572",,"841,795  1,405,426","1,392,401",,"1,302,566","1,019,880","11,095,526"
Mollusks,,,,,,,,,,,,,
"Clam, unspecified.............................",11,0,15,0,0  0,,0,0,0,0,0,0,26
"Limpet, unspecified...........................",30,0,66,37,76  0,,30,0,0,0,0,0,239
Mussel..............................................,477,"1,000",500,100,400  0,,0,"1,200  335",,689,0,0,"4,701"
"Octopus, unspecified........................",583,"1,195","1,131","1,922",819  790,,582,227  628,,166,62,157,"8,262"
Sea hare...........................................,160,0,0,0,0  0,,226,0,0,0,0,0,386
"Snail, sea..........................................",50,135,194,0,312  141,,62,5,0,42,46,0,987
"Snail, top...........................................",0,0,0,451,292  0,,0,0,0,0,0,30,773
"Snails, moon.....................................",9,0,95,0,0  49,,0,0,0,0,0,0,153
"Squid, jumbo.....................................","1,519",0,0,0,0  188,"4,211",,0,0,241,"2,077","1,230","9,466"
"Squid, market...................................","833,322","1,867,991","1,617,763","7,220,129","4,101,964  1,090,267","5,529,304",,"8,265,299  6,262,311","10,075,791",,"30,287,644","22,033,410","99,185,195"
"Whelk, Kellet's..................................","7,667","3,279","4,186","2,173","12,734  8,019","6,923",,"3,100  3,993","10,962",,"5,913","8,797","77,745"
Worms,,,,,,,,,,,,,
"Worms, marine.................................",15,0,0,33,0  0,,0,0,0,3,1,0,52
Total Pounds:,"36,632,985","16,709,673","17,393,639","15,729,102","15,076,866  10,789,660","13,672,800",,"18,975,493  19,849,226","27,904,691",,"39,261,597","42,286,887","274,282,618"
"",,,,,*******************,,,Total Records:,"134,188",,,,
"",,,,,End of Report,,,,,,,,
