"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Louvar............................................,,23,0,0,0,0,0,0,59,705,409,891,267,"2,353"
"Mackerel, Pacific..........................",,"1,139,326","173,644","111,506","75,386","2,110,012","2,517,144","633,386","2,679,338","1,162,842","368,711","136,999","88,711","11,197,004"
"Mackerel, jack..............................",,"34,193","17,588","15,457","23,908",13,"3,338","37,058","4,257",1,"39,211","78,208","8,420","261,652"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Mackerel, unspecified.................",,"2,358",2,0,0,0,19,13,0,0,39,164,0,"2,595"
"Midshipman, plainfin....................",,0,0,0,0,157,0,0,0,0,0,0,0,157
"Mudsucker, longjaw.....................",,0,0,0,0,0,0,0,0,0,190,347,140,677
Oilfish..............................................,,"1,211",0,0,0,0,0,0,0,0,0,0,0,"1,211"
Opah..............................................,,"12,239",87,"12,155","2,582",0,0,29,"6,761","10,128","22,901","77,484","26,370","170,736"
Opaleye.........................................,,3,0,0,0,232,3,42,133,0,3,0,0,416
"Pomfret, Pacific.............................",,135,0,0,0,0,0,0,0,0,5,0,93,233
Queenfish......................................,,0,0,0,0,20,0,0,0,27,0,0,0,47
"Ratfish, spotted.............................",,0,0,0,0,0,0,0,0,0,0,0,11,11
"Ray, Pacific electric......................",,195,39,0,35,120,266,260,100,0,0,60,0,"1,075"
"Ray, bat.........................................",,"1,731",230,0,100,0,35,"1,394",0,0,0,230,529,"4,249"
"Ray, unspecified...........................",,40,0,0,189,0,0,"1,383",0,0,0,0,0,"1,612"
"Rockfish, China.............................",,911,166,116,43,388,877,740,971,482,503,217,323,"5,736"
"Rockfish, Pacific ocean perch....",,18,2,16,3,5,0,4,0,1,0,"1,660",0,"1,709"
"Rockfish, aurora............................",,2,0,21,2,101,91,411,268,182,235,"1,007",173,"2,492"
"Rockfish, bank...............................",,"3,863","7,972","3,640","4,652","5,692","25,962","22,739","10,038","12,678","4,330","7,715",700,"109,981"
"Rockfish, black-and-yellow........",,"2,470","1,373",0,0,"3,376","3,043","2,776","3,142","3,340","2,431","2,082","1,243","25,275"
"Rockfish, black..............................",,"6,254","5,236","8,914","27,232","27,821","26,509","37,249","23,241","28,721","13,784","2,384",577,"207,924"
"Rockfish, blackgill..........................",,"16,908","11,809","9,366","25,130","17,565","25,675","17,985","22,841","19,973","6,552","11,208","22,099","207,111"
"Rockfish, blue................................",,"1,513",830,446,813,926,"1,151","1,658",875,"2,253",599,"1,495",760,"13,318"
"Rockfish, bocaccio.......................",,959,750,607,895,"1,263",904,"1,299","1,871","1,871",516,"1,650",398,"12,983"
"Rockfish, brown.............................",,"6,107","4,240",4,110,"6,500","5,189","5,511","6,145","5,534","4,509","5,372","4,924","54,144"
"Rockfish, calico.............................",,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rockfish, canary............................",,2,0,12,145,439,600,840,212,39,23,5,0,"2,317"
"Rockfish, chameleon....................",,0,0,0,0,0,0,0,0,0,190,0,0,190
"Rockfish, chilipepper....................",,"9,468","4,107","27,422","28,771","35,595","33,652","74,105","66,919","102,501","36,597","96,927","14,813","530,876"
"Rockfish, copper...........................",,810,649,67,56,"1,102","1,605","1,581",589,899,828,302,"1,103","9,591"
"Rockfish, cowcod.........................",,0,0,0,0,0,0,0,135,0,0,0,0,135
"Rockfish, darkblotched................",,"7,418","12,160","16,216","17,930","7,706","20,600","2,111","2,844","4,965","1,799","6,114",573,"100,436"
"Rockfish, flag.................................",,88,51,0,64,37,33,14,19,39,78,12,13,446
"Rockfish, gopher...........................",,"6,405","3,803",14,0,"5,589","7,191","8,274","6,062","4,552","3,627","3,467","4,408","53,393"
"Rockfish, grass...............................",,"1,659",863,4,0,"3,400","3,430","3,961","4,782","3,175","3,092","4,125",656,"29,148"
"Rockfish, greenblotched.............",,0,0,0,16,43,1,0,0,85,0,0,44,189
"Rockfish, greenspotted................",,302,304,156,12,248,174,149,149,112,211,11,98,"1,926"
"Rockfish, greenstriped..................",,19,24,2,27,11,10,19,10,16,11,26,92,268
"Rockfish, group bolina..................",,38,8,0,0,30,37,17,24,16,0,0,0,169
"Rockfish, group gopher................",,0,10,0,0,23,45,0,44,0,0,153,0,275
"Rockfish, group nearshore...........",,72,44,0,0,37,117,90,0,0,0,0,0,360
"",Species,January,February,March,April,May,June July,,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Rockfish, group red.......................",,683,147,46,7,716,508  726,,289,387,126,218,622,"4,475"
"Rockfish, group rosefish................",,4,973,3,321,4,"1,404  3",,627,792,20,0,0,"4,150"
"Rockfish, group shelf.....................",,"1,108",131,15,159,"1,341","1,001  1,122",,383,114,32,129,57,"5,590"
"Rockfish, group slope...................",,"9,436","12,059","18,113","22,134","15,063","18,546  4,756",,"9,905","10,677","18,966","6,822","19,622","166,098"
"Rockfish, group small....................",,0,0,0,0,0,197  0,,5,0,0,0,0,202
"Rockfish, honeycomb..................",,0,0,0,0,0,0  3,,0,0,0,0,0,3
"Rockfish, kelp.................................",,333,173,0,0,274,91  89,,54,389,327,218,119,"2,068"
"Rockfish, olive................................",,391,61,0,0,450,570  233,,285,186,115,76,10,"2,378"
"Rockfish, quillback........................",,264,104,74,82,349,186  718,,151,270,167,92,38,"2,495"
"Rockfish, redbanded....................",,22,4,25,87,110,155  69,,87,138,0,0,5,701
"Rockfish, rosethorn........................",,20,0,0,0,32,0  24,,0,2,16,0,0,93
"Rockfish, rosy.................................",,42,21,0,2,83,57  134,,68,69,73,26,7,581
"Rockfish, shortbelly........................",,0,0,0,0,103,0  0,,0,0,0,0,0,103
"Rockfish, speckled........................",,6,59,0,0,60,19  23,,12,21,37,0,12,248
"Rockfish, splitnose.........................",,"10,370","7,752","6,765","21,393","10,615","18,963  5,945",,"5,102","8,904","11,233","9,861","8,637","125,540"
"Rockfish, squarespot.....................",,0,10,0,0,22,0  3,,0,1,0,0,74,110
"Rockfish, starry...............................",,108,169,0,11,251,189  67,,120,183,238,37,93,"1,465"
"Rockfish, stripetail..........................",,0,0,0,0,4,0  0,,0,0,0,0,0,4
"Rockfish, treefish............................",,350,221,0,0,315,468  548,,310,436,230,223,264,"3,365"
"Rockfish, unspecified....................",,270,53,0,0,108,75  306,,948,100,0,0,82,"1,942"
"Rockfish, vermilion........................",,"3,919","2,355",280,420,"3,208","3,570  2,719",,"2,966","2,524","1,985",822,"1,793","26,561"
"Rockfish, widow............................",,33,556,8,853,"5,194","151  1,040",,604,25,91,330,11,"8,896"
"Rockfish, yelloweye......................",,0,0,0,41,0,0  6,,0,0,0,0,41,88
"Rockfish, yellowtail........................",,659,437,47,68,230,"758  1,043",,258,86,133,62,381,"4,162"
Sablefish.........................................,,"207,188","167,763","223,148","416,102","496,294","502,304  405,332",,"576,202","550,903","502,525","508,384","400,953","4,957,099"
"Salmon, Chinook...........................",,0,0,0,0,"1,307",0  0,,0,0,0,0,0,"1,307"
Salmon...........................................,,0,0,0,0,0,0  0,,0,32,0,0,0,32
"Sanddab, Pacific..........................",,"6,391","3,521","2,256","3,154","1,020","915  4,638",,462,"1,157",0,0,0,"23,514"
Sanddab........................................,,"1,299",670,"16,601","18,052","22,106","35,946  52,129",,"30,841","19,795","11,722","1,078","1,934","212,173"
"Sardine, Pacific.............................",,"34,466,728","10,199,528","69,271","16,055","3,615","67,423  24,909,250",,"1,398,769","11,326,849","161,960","157,799","65,621","82,842,868"
Sargo..............................................,,0,2,0,0,4,0  2,,20,4,0,0,0,32
"Scorpionfish, California.................",,426,147,10,0,"1,279","1,117  1,536",,"1,251",559,466,146,522,"7,459"
"Sculpin, staghorn..........................",,150,192,195,195,165,145  144,,10,461,716,"1,240",429,"4,042"
"Seabass, white..............................",,"4,336","10,304","31,024","2,494","3,021","207,034  88,631",,"15,979","9,004","8,103","7,656",753,"388,338"
"Seaperch, striped.........................",,119,215,158,185,0,0  0,,0,0,30,62,92,861
"Shad, American............................",,0,0,0,0,0,0  0,,0,0,0,1,0,1
"Shad, threadfin.............................",,0,0,60,"2,265","4,298","1,360  13,895",,"4,475","7,880","14,270","11,340",965,"60,808"
"Shark, Pacific angel......................",,"1,827","1,663","1,628","2,338","1,993",755  240,,796,507,297,482,448,"12,975"
"Shark, bigeye thresher..................",,165,0,0,0,0,0  524,,"2,516","1,710",952,"3,432",247,"9,546"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, blue.....................................",,0,0,0,0,0,0,"2,120",0,0,0,35,0,"2,155"
"Shark, brown smoothhound........",,61,22,18,0,0,0,15,5,37,22,47,105,332
"Shark, gray smoothhound............",,0,12,0,19,47,12,4,0,25,11,0,10,140
"Shark, horn.....................................",,15,0,0,0,0,0,7,0,0,0,0,0,22
"Shark, leopard...............................",,"1,279",164,117,461,309,161,102,63,473,125,579,116,"3,947"
"Shark, pelagic thresher................",,0,0,0,0,0,0,0,36,0,0,0,0,36
"Shark, salmon................................",,0,0,0,0,0,0,0,0,0,62,0,0,62
"Shark, sevengill..............................",,14,14,0,0,96,0,0,0,13,0,115,31,283
"Shark, shortfin mako.....................",,"1,366",135,510,719,924,"3,745","4,183","5,339","5,781","7,608","6,004","8,104","44,418"
"Shark, soupfin................................",,833,322,222,132,"1,114","1,004",588,304,774,669,509,213,"6,684"
"Shark, spiny dogfish......................",,"15,159","1,045","9,576","14,024","18,173","35,054","3,541",14,0,0,0,"3,370","99,956"
"Shark, swell.....................................",,0,9,0,0,0,0,0,0,0,8,0,0,17
"Shark, thresher...............................",,"19,808","2,639","4,640","4,414","7,556","17,282","16,692","15,975","5,310","4,103","19,493","19,299","137,210"
"Shark, unspecified........................",,579,10,56,8,90,0,332,107,194,236,98,244,"1,954"
"Shark, white...................................",,0,0,0,390,60,350,80,140,110,241,628,0,"1,999"
"Sheephead, California.................",,"12,960","6,113",52,32,"10,895","8,375","7,574","6,758","6,512","2,036","6,369","4,698","72,374"
Silversides.......................................,,0,0,0,0,0,0,0,118,0,0,0,0,118
"Skate, big.......................................",,6,2,68,571,236,50,976,386,187,11,0,0,"2,493"
"Skate, longnose............................",,0,429,"2,495","23,690","12,069","13,427","27,494","19,953","25,556","22,280","20,789","4,565","172,747"
"Skate, thornback..........................",,176,21,0,0,0,0,29,0,0,0,0,0,226
"Skate, unspecified........................",,"30,122","28,740","43,371","7,611","2,647","8,195","7,340","1,242","11,550","1,324","1,421","1,215","144,779"
"Smelt, night....................................",,964,"1,997","10,780","6,013","19,835","59,695","37,230","6,269",35,0,0,0,"142,818"
"Smelt, surf.......................................",,0,0,0,0,"1,391","5,140","32,194","63,101","5,439",0,0,0,"107,265"
"Smelts, true....................................",,0,0,0,0,0,0,0,0,0,0,124,0,124
"Sole, Dover....................................",,"458,590","452,144","567,232","813,876","494,441","683,685","575,689","893,274","910,672","613,191","387,464","132,556","6,982,814"
"Sole, English...................................",,"9,986","18,818","24,561","18,569","14,135","19,030","23,486","8,069","10,152","8,765","4,972","1,167","161,710"
"Sole, fantail....................................",,19,0,0,0,0,0,0,1,0,0,450,0,470
"Sole, petrale..................................",,"340,990","241,943","162,281","91,521","79,364","77,833","64,152","26,804","32,000","20,130","28,063","7,074","1,172,154"
"Sole, rex..........................................",,"22,771","27,015","24,251","22,544","24,195","27,827","16,014","18,317","20,199","19,165","10,548","3,443","236,289"
"Sole, rock.......................................",,419,"1,121","2,469",243,30,89,21,121,23,39,76,58,"4,708"
"Sole, sand......................................",,"1,591","1,072","1,394",646,411,530,632,671,455,451,630,"1,366","9,850"
"Sole, unspecified...........................",,"5,409","6,077","6,782","4,606","3,864",199,179,108,40,193,"1,105",809,"29,370"
Stingray..........................................,,844,339,0,92,0,"6,216",0,40,8,0,117,140,"7,796"
"Surfperch, barred..........................",,130,125,94,25,0,0,0,271,378,179,85,193,"1,479"
"Surfperch, black............................",,2,3,0,0,0,0,1,0,0,110,40,62,218
"Surfperch, calico...........................",,0,13,0,0,0,0,0,30,0,0,13,0,56
"Surfperch, pile...............................",,0,0,0,0,0,0,0,0,0,104,25,30,159
"Surfperch, rainbow.......................",,7,0,0,0,6,0,0,0,0,10,2,0,25
"Surfperch, redtail..........................",,650,312,535,"2,980",351,0,0,"5,469","3,025",153,0,0,"13,475"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Surfperch, rubberlip......................",,22,0,0,0,0,0,0,0,0,100,116,55,293
"Surfperch, unspecified.................",,"1,673",548,552,406,0,0,0,382,268,200,491,298,"4,818"
"Surfperch, walleye........................",,0,8,0,0,0,0,0,0,0,0,0,0,8
"Surfperch, white............................",,0,0,0,0,0,0,0,0,0,40,0,0,40
Swordfish........................................,,"145,655",0,71,0,0,"1,200","13,506","16,458","57,774","60,022","101,073","225,019","620,777"
"Thornyhead, longspine.................",,"159,251","85,744","64,104","115,452","72,793","120,163","58,186","150,271","119,590","95,632","88,515","60,124","1,189,824"
"Thornyhead, shortspine................",,"107,451","72,227","60,350","74,954","91,001","112,950","78,413","116,322","98,515","85,211","95,440","76,352","1,069,186"
Thornyheads..................................,,146,229,113,16,0,67,50,170,"2,295",240,762,700,"4,787"
Triggerfish.......................................,,0,0,0,0,0,0,0,4,0,0,0,0,4
"Tuna, albacore..............................",,"3,390",0,33,"6,884","67,546",722,"117,208","295,447","171,409","134,124","61,811","9,271","867,845"
"Tuna, bigeye..................................",,"7,451",0,"4,620",0,0,0,0,0,0,0,0,"12,880","24,951"
"Tuna, bluefin..................................",,133,0,0,0,109,"103,089",199,"384,756","420,466","4,164",988,379,"914,281"
"Tuna, skipjack................................",,48,0,40,965,20,0,0,"1,222","8,593",108,0,302,"11,298"
"Tuna, yellowfin...............................",,"14,516","2,601","27,889","11,870",311,0,0,"3,883","31,115",495,29,"3,387","96,095"
"Turbot, curlfin.................................",,0,0,7,15,0,11,0,0,0,0,0,0,33
"Turbot, diamond...........................",,0,6,0,0,0,0,3,0,0,0,0,0,9
"Turbot, hornyhead........................",,3,0,0,0,0,0,0,0,0,0,0,0,3
Turbot.............................................,,52,92,33,77,36,38,47,76,35,32,18,57,592
Wahoo...........................................,,946,0,"1,317",0,85,0,0,0,0,0,0,538,"2,886"
"Whitefish, ocean...........................",,876,288,120,1,171,78,240,72,266,56,525,553,"3,244"
"Whiting, Pacific.............................",,2,8,53,73,"3,950,257",1,17,710,38,4,0,2,"3,951,163"
"Wrasse, rock..................................",,0,0,0,0,0,0,1,0,0,0,0,0,1
Yellowtail........................................,,109,325,0,132,126,"1,435","1,848","1,537",875,57,715,946,"8,105"
Crustaceans,,,,,,,,,,,,,,
Barnacle........................................,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crab, Dungeness..........................",,"830,209","219,461","175,911","243,679","159,063","117,117","36,381",147,0,74,"1,283,774","12,218,377","15,284,193"
"Crab, armed box..........................",,0,0,8,123,72,74,62,0,9,559,69,25,"1,002"
"Crab, box.......................................",,570,43,65,214,238,104,0,0,405,0,70,28,"1,737"
"Crab, brown rock..........................",,10,246,"1,362",571,"1,469","1,385","1,977","5,666","4,858","3,594","2,240","2,158","25,535"
"Crab, claws...................................",,92,147,20,7,9,0,66,23,4,68,112,475,"1,022"
"Crab, king......................................",,7,8,78,382,179,15,31,40,0,0,0,0,739
"Crab, red rock...............................",,"19,843","10,297","17,415","23,156","26,883","26,991","25,649","20,343","22,873","15,268","15,157","17,766","241,640"
"Crab, rock unspecified................",,"49,808","45,170","66,324","66,076","71,494","68,891","84,383","76,341","49,061","31,278","43,307","36,118","688,252"
"Crab, spider...................................",,"10,700","8,122","9,283","4,702","6,678","5,092","7,010","4,934","4,669","4,890","9,975","9,471","85,524"
"Crab, spider/sheep claws............",,16,21,63,34,2,6,4,37,68,2,45,0,299
"Crab, tanner..................................",,0,0,0,0,5,0,0,11,0,0,65,0,81
"Crab, yellow rock..........................",,"27,174","16,213","22,230","23,152","36,120","36,417","36,641","33,412","31,580","28,634","21,007","24,868","337,448"
"Crayfish, red swamp.....................",,0,0,0,0,0,0,760,"10,597","9,060",0,0,0,"20,417"
"Crayfish, unspecified....................",,606,"1,248","1,125","2,019","4,416","6,995","3,444","92,560","67,335","15,022","1,685",843,"197,298"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Crustacean, unspecified.............",1,1,4,10,0,0,0,0,2,2,101,2,123
"Lobster, California spiny...............","68,261","57,183","24,129",0,0,0,0,0,0,"275,575","157,485","123,283","705,916"
"Prawn, ridgeback.........................","64,849","56,433","83,711","74,158","108,031",544,854,257,464,"33,276","44,047","51,736","518,359"
"Prawn, spot....................................","7,160","29,603","29,774","22,490","25,797","29,918","28,652","28,522","35,956","33,672","5,315","5,238","282,096"
"Shrimp, bay....................................","9,517","5,055","5,109","4,957","6,805","6,145","6,641","3,714","3,954","3,263","7,406","7,401","69,967"
"Shrimp, coonstriped......................",0,0,0,0,"23,969","14,182","18,012","17,095","26,811","24,346",0,0,"124,414"
"Shrimp, ghost.................................",3,3,9,16,40,40,49,21,3,11,10,4,209
"Shrimp, mantis...............................",0,0,0,1,0,0,0,0,0,0,135,53,189
"Shrimp, ocean (pink)....................",0,0,0,4,"178,171","536,497","947,485","637,951","309,062",0,0,0,"2,609,170"
Echinoderms,,,,,,,,,,,,,
Bryozoan........................................,0,0,13,8,0,0,0,0,16,0,0,0,37
"Echinoderm, unspecified.............",0,0,0,0,5,0,0,0,0,0,4,0,9
Sand dollar....................................,0,0,6,9,1,0,6,10,9,6,11,0,58
"Sea cucumber, giant red............","23,484","10,319","12,581","20,210","13,939","37,255","46,157","27,476","13,820","15,071","4,400","6,462","231,174"
"Sea cucumber, warty...................","27,234","39,071","53,750","44,659","62,979","40,426","24,501","10,639","7,560",236,443,870,"312,370"
Sea stars.........................................,275,3,248,30,31,25,2,17,0,1,16,0,647
"Sea urchin, purple.........................",205,191,100,143,168,165,51,95,311,583,211,120,"2,344"
"Sea urchin, red..............................","1,173,762","765,473","836,249","945,324","1,004,934","1,001,709","1,157,278","1,047,195","1,177,493","868,585","1,044,418","1,179,565","12,201,984"
"Sea urchin, white..........................",0,0,44,70,83,46,112,64,101,8,9,0,537
Mollusks,,,,,,,,,,,,,
"Clam, unspecified........................",0,15,0,0,0,0,0,0,0,1,0,0,16
"Limpet, keyhole.............................",0,5,59,36,316,633,767,"1,009",595,1,62,9,"3,491"
"Limpet, unspecified......................",0,0,0,0,0,0,100,0,0,2,0,0,102
"Mollusk, unspecified.....................",0,8,14,1,271,0,0,0,0,0,0,0,294
Mussel.............................................,263,40,6,4,480,0,0,0,12,1,0,0,806
"Octopus, unspecified...................",144,110,147,186,183,383,646,105,123,206,224,70,"2,526"
"Oyster, unspecified.......................",0,0,0,0,0,0,0,0,0,1,0,0,1
Sea hare........................................,806,467,718,570,733,311,734,235,406,434,477,247,"6,138"
Sea slug..........................................,0,0,0,0,0,0,0,0,0,0,0,0,1
"Snail, sea........................................",0,0,63,18,178,270,1,0,0,0,80,94,704
"Snail, tegula...................................",0,0,0,0,0,74,358,0,0,0,0,0,432
"Snail, top........................................",103,57,120,0,21,20,0,145,108,1,14,0,588
"Squid, jumbo.................................",54,0,0,10,0,0,100,145,310,"6,683","8,355","2,307","17,963"
"Squid, market................................","8,973,266","23,781,766","8,210,066","1,908,026","918,841","3,532,425","8,661,553","6,075,495","22,263,773","32,871,675","41,561,043","45,109,816","203,867,744"
"Whelk, Kellet's...............................","14,769","13,079","20,606","14,333","23,721","18,833","20,394","14,521","14,393","9,307","11,594","13,671","189,220"
Plants,,,,,,,,,,,,,
"Algae, marine...............................",12,0,8,4,0,0,0,0,0,0,0,0,24
Kelp.................................................,55,8,25,0,0,0,0,0,0,0,0,0,88
"",Species,January,February,March,April,May June,July,,August September,October,,November,December,Landings
Worms,,,,,,,,,,,,,,
Invertebrate Unspecified.............,,11,13,1,0,0  0,0,,0,0,0,11,0,36
"Invertebrates, colonial.................",,0,0,0,0,0  0,0,,1,1,0,50,0,52
Jellyfish...........................................,,"14,579",0,0,2,49  0,0,,0,0,0,0,0,"14,630"
Sea pansy......................................,,0,2,1,0,0  0,1,,0,1,0,0,0,5
"Spiders, sea....................................",,0,0,0,0,0  3,0,,0,0,0,0,0,3
"Worms, marine..............................",,0,4,4,15,0  0,0,,0,0,1,0,448,471
"",Total Pounds:,"51,393,430","37,156,203","13,599,244","7,395,141","12,793,371  11,361,292  39,101,224",,,"16,673,612  40,359,063","36,797,557",,"46,320,839","60,189,315","373,140,290"
"",,,,,,*******************,,,Total Records:,"106,482",,,,
"",,,,,,End of Report,,,,,,,,
