Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
"Surfperch, rubberlip.....................",0,8,0,0,0,0,0,0,0,0,0,0,8
"Surfperch, unspecified...............",147,0,0,0,0,0,0,0,0,183,127,7,464
Swordfish.......................................,0,0,0,0,522,0,0,0,576,"3,500","1,966","1,374","7,938"
"Thornyhead, longspine...............",201,209,126,174,151,294,107,140,"1,169",163,"1,103",692,"4,529"
"Thornyhead, shortspine.............","8,505","3,180","4,130","7,535","4,964","4,989","4,820","5,043","7,439","8,400","11,850","7,749","78,605"
"Tomcod, Pacific............................",0,0,0,0,0,51,0,0,0,0,0,0,51
"Tuna, albacore..............................",0,0,0,0,"1,889",0,0,303,111,"1,075",276,0,"3,654"
"Tuna, bigeye..................................",0,0,0,0,"13,041",0,0,0,0,0,0,0,"13,041"
"Tuna, bluefin..................................",0,0,0,0,0,146,144,0,0,"1,387",545,150,"2,372"
"Tuna, skipjack...............................",0,0,0,0,14,0,0,0,0,211,38,0,263
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Turbot, diamond............................",0,0,0,0,0,0,2,14,0,0,0,0,16
Wahoo.............................................,0,0,0,0,"1,500",0,0,0,0,0,0,0,"1,500"
"Whitefish, ocean..........................",270,127,0,0,206,54,85,30,34,295,509,236,"1,844"
Yellowtail........................................,0,0,49,0,0,592,"2,802",575,340,203,0,28,"4,587"
Crus taceans,,,,,,,,,,,,,
"Crab, Dungeness ..........................",264,0,"1,182",251,"2,827",48,0,165,0,0,239,"1,006","5,982"
"Crab, armed box............................",8,15,11,0,0,0,0,30,0,0,0,0,64
"Crab, box........................................",30,27,95,108,26,13,119,121,69,0,0,36,644
"Crab, brown rock..........................","2,899","4,072","3,752","4,934","8,311","5,772","4,880","4,583","7,671","8,823","9,656","13,325","78,678"
"Crab, claws....................................",479,275,11,0,58,39,27,17,0,8,0,10,924
"Crab, king.......................................",0,0,0,0,8,0,4,0,0,0,0,0,12
"Crab, pelagic red..........................",0,0,0,0,0,0,80,0,0,0,0,0,80
"Crab, red rock................................","28,975","28,766","32,738","45,846","45,598","45,125","50,068","55,062","51,974","61,182","56,283","61,621","563,237"
"Crab, rock unspecified................","39,844","39,549","60,773","36,456","39,448","45,843","44,621","58,099","42,501","41,073","22,233","11,858","482,299"
"Crab, sand......................................",0,0,0,0,0,0,0,13,0,0,0,0,13
"Crab, shore....................................",0,0,0,0,0,0,0,0,0,0,6,0,6
"Crab, spider...................................","2,523","3,388","3,030","2,151","3,562","4,034","3,351","3,211",803,"1,407","1,130","1,006","29,596"
"Crab, spider/sheep claws..........",0,51,675,7,9,0,27,96,2,14,13,122,"1,016"
"Crab, y ellow rock..........................","32,016","27,752","29,743","31,609","28,575","36,876","32,110","35,714","24,244","23,415","20,076","25,778","347,910"
"Crus tacean, unspecified............",77,3,0,0,0,5,0,0,0,0,0,0,85
"Lobs ter, California spiny ............","28,670","31,253","16,151",0,0,0,0,0,0,"96,793","60,108","44,914","277,889"
"Prawn, ridgeback..........................","14,632","8,631","20,742","5,766","5,482",589,"2,456",160,22,"1,016","1,837","2,830","64,161"
