Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
"Sole, bigmouth...............................",1,0,0,0,0,0,0,0,0,0,0,0,,1
"Sole, fantail....................................",0,0,0,9,29,158,223,191,287,56,93,111,,"1,156"
"Sole, petrale...................................",658,374,265,143,262,88,132,126,26,118,30,3,,"2,224"
"Sole, rex..........................................",0,"1,417",32,"1,145","1,434",0,0,0,0,0,0,10,,"4,038"
"Sole, rock........................................",141,49,34,20,58,57,100,74,18,81,35,0,,667
"Sole, sand......................................",0,0,0,0,0,0,0,0,0,40,0,0,,40
"Sole, unspecified..........................","4,593","4,362","1,413","2,804","1,639",64,91,392,73,"1,545","1,301",939,,"19,216"
Splittail............................................,0,0,0,0,219,0,0,0,467,0,0,22,,708
Stingray...........................................,0,0,0,0,0,0,0,405,300,0,0,0,,705
"Surfperch, barred..........................",270,373,308,222,0,0,0,90,265,74,107,263,,"1,972"
"Surfperch, rainbow.......................",0,0,0,0,22,9,12,4,24,13,0,2,,86
Swordfish........................................,"21,721",0,0,0,0,0,578,"2,608","3,048","10,004","20,581","24,029",,"82,567"
"Thornyhead, longspine...............",302,280,507,805,"1,433",928,"1,668","1,229","1,682","2,098",695,"1,468",,"13,094"
"Thornyhead, shortspine..............","20,177","11,977","12,789","16,435","23,189","12,998","15,586","16,536","22,048","15,486","19,483","26,722",,"213,425"
Thornyheads..................................,977,441,821,"1,018",114,0,0,0,14,23,28,0,,"3,435"
"Trawled fish, unspecified...........",0,0,0,0,0,0,0,0,0,0,0,15,,15
Triggerfish......................................,0,0,0,0,0,0,9,0,2,0,0,0,,11
"Tuna, albacore..............................",0,0,0,0,0,0,0,494,"1,764",0,0,0,,"2,258"
"Tuna, bluefin..................................",0,0,0,0,0,0,0,36,"1,951","3,213","2,588",550,,"8,339"
"Tuna, yellowfin..............................",0,0,0,0,0,0,0,0,0,0,18,0,,18
Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Turbot, hornyhead........................",0,0,0,0,0,15,0,0,0,0,0,0,,15
Turbot..............................................,0,0,0,0,0,0,0,0,0,24,0,0,,24
"Whitefish, ocean...........................",770,371,130,588,586,143,619,539,363,77,143,617,,"4,945"
"Whiting, Pacific.............................",0,0,7,0,0,0,5,0,0,0,0,0,,12
Yellowtail........................................,230,17,89,47,"2,086","3,636","2,562","1,121","3,573","3,102",669,146,,"17,278"
Crustaceans,,,,,,,,,,,,,,
"Crab, armed box............................",0,0,0,0,8,25,10,7,0,0,0,0,,50
"Crab, box.........................................",0,0,30,54,107,0,4,9,30,46,40,0,,320
"Crab, brown rock...........................","5,146","8,420","4,833","23,760","22,804","16,200","17,374","18,120","17,555","11,000","7,346","7,716",,"160,274"
"Crab, claws....................................",65,117,56,171,66,42,0,0,0,0,0,0,,517
"Crab, king........................................",0,0,"1,351","2,585","2,586","2,435","1,791","1,149",158,0,0,0,,"12,055"
"Crab, pelagic red..........................",0,0,0,0,464,0,0,0,0,0,0,0,,464
"Crab, red rock................................","30,112","20,479","20,310","70,170","67,611","101,596","101,532","110,749","69,364","16,041","29,294","31,511",,"668,768"
"Crab, rock unspecified................","3,009","2,877","1,857","7,398","9,569","7,455","7,618","8,643","7,377","19,349","4,073","3,630",,"82,854"
"Crab, shore.....................................",1,0,0,0,0,0,0,0,0,0,0,0,,1
"Crab, spider....................................","6,270","5,152","4,665","2,362","5,368","6,446","7,988","9,620","8,636","8,999","6,295","5,793",,"77,593"
"Crab, spider/sheep claws..........",13,10,0,0,0,38,68,54,0,0,0,109,,292
"Crab, yellow rock..........................","10,066","15,351","18,583","12,756","15,020","14,818","18,378","16,781","13,365","11,094","9,616","11,673",,"167,500"
"Crustacean, unspecified............",0,0,0,0,0,0,0,0,0,10,0,382,,392
"Lobster, California spiny.............","63,951","40,834","24,661",0,0,0,0,0,0,"92,450","52,034","51,196",,"325,127"
"Prawn, ridgeback..........................","71,804","61,557","28,564","59,291","46,079",100,0,0,0,"43,161","50,679","86,544",,"447,779"
"Prawn, spot....................................",286,"13,866","15,075","11,852","23,948","11,745","9,244","20,435","24,667","17,748",2,776,,"149,642"
"Shrimp, bay....................................",0,0,0,10,0,0,0,0,0,0,0,0,,10
"Shrimp, ghost.................................",0,0,191,0,0,0,0,0,0,0,0,0,,191
"Shrimp, mantis...............................",0,8,6,0,0,0,0,0,0,0,0,0,,14
"Shrimp, ocean (pink)....................",0,0,0,32,249,0,0,0,0,0,0,0,,281
"Shrimp, unspecified.....................",4,100,43,56,639,25,0,2,0,816,877,28,,"2,590"
Echinoderms,,,,,,,,,,,,,,
"Sea cucumber, giant red............","2,250","2,334",822,"2,539","7,766","7,694","10,683","8,178","10,176","3,027",612,"1,249",,"57,330"
"Sea cucumber, unspecified.......",0,0,0,0,"2,250","1,378",132,1,32,"1,102",0,27,,"4,921"
