Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Tuna, bigeye.....................................",0,"7,780","15,832",0,0,0,0,0,0,0,0,0,"23,612"
"Tuna, bluefin.....................................",0,0,0,0,0,13,0,39,40,72,56,0,220
"Tuna, skipjack...................................",0,50,128,0,0,0,0,0,0,56,0,5,239
"Tuna, unspecified............................",0,0,0,0,0,0,0,0,0,268,410,6,684
"Tuna, yellowfin..................................",0,320,"1,154",0,0,0,0,46,116,9,0,0,"1,645"
Wahoo..............................................,0,0,66,0,0,0,0,0,0,0,0,0,66
"Whitefish, ocean..............................",306,126,61,75,111,28,69,175,196,463,"1,388",279,"3,278"
"Whiting, Pacific................................",5,17,0,0,0,0,0,0,0,0,0,0,22
Yellowtail...........................................,0,0,0,0,0,30,345,41,326,21,0,0,763
Crustaceans,,,,,,,,,,,,,
"Crab, armed box.............................",83,115,29,41,153,20,59,35,30,152,46,11,773
"Crab, box..........................................",0,0,0,15,0,0,13,0,0,0,0,0,28
"Crab, brown rock.............................",0,"1,042",0,0,0,635,"1,935",2,"1,895",171,121,0,"5,801"
"Crab, claws......................................",27,84,12,0,8,0,40,72,22,0,2,7,274
"Crab, king.........................................",10,0,7,122,93,0,0,0,0,0,0,0,231
"Crab, red rock..................................","16,465","16,082","23,486","20,796","26,510","19,019","19,155","29,020","20,269","21,574","22,067","13,591","248,035"
"Crab, rock unspecified...................","26,710","30,415","30,441","32,521","38,256","32,355","39,196","40,100","35,429","33,866","24,208","29,321","392,818"
"Crab, spider......................................","1,828","1,788","3,415","2,933","3,136","2,588","2,432","2,315","1,702","1,095",470,"1,140","24,843"
"Crab, spider/sheep claws...............",0,0,0,0,0,19,0,0,0,0,7,0,26
"Crab, yellow rock.............................","16,321","19,487","24,779","19,898","24,979","24,409","25,116","24,266","18,334","17,607","18,176","15,387","248,759"
"Crustacean, unspecified................",0,9,2,9,12,0,0,0,0,0,0,0,32
"Lobster, California spiny..................","32,865","27,938","15,898",0,0,0,0,0,0,"86,388","48,862","41,658","253,609"
"Prawn, ridgeback............................","43,310","56,346","42,933","46,053","54,237",15,414,213,204,"93,025","106,362","66,191","509,304"
"Prawn, spot.......................................",0,"13,813","11,282","7,656","7,942","9,040","8,910","9,408","11,646","17,538",349,0,"97,583"
"Shrimp, mantis..................................",0,16,54,0,0,0,1,0,0,0,0,0,71
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, giant red...............",0,"2,664","2,635","23,128","12,492","51,381","75,974","47,088","24,335","11,687","1,985","7,481","260,851"
"Sea cucumber, unspecified...........",0,0,686,0,91,0,400,132,0,0,0,20,"1,329"
"Sea cucumber, warty......................","13,274","36,816","28,604","49,246","60,038","65,518","54,641","28,082","5,465",581,861,"2,727","345,852"
"Sea urchin, purple............................",0,216,0,0,192,0,0,0,0,0,259,6,673
"Sea urchin, red.................................","487,278","544,782","413,553","312,183","372,737","207,026","534,421","525,084","549,331","760,281","533,923","664,126","5,904,724"
Mollusks,,,,,,,,,,,,,
"Limpet, keyhole................................",31,0,0,0,3,0,0,0,0,0,0,0,34
"Octopus, unspecified......................",22,1,1,23,26,33,11,32,7,80,17,8,261
"Snail, top...........................................",0,0,5,20,0,0,0,25,0,4,0,0,54
"Snails, moon......................................",0,0,0,0,0,2,0,0,0,0,0,0,2
Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Mollusks,,,,,,,,,,,,,
"Squid, jumbo....................................",0,0,0,0,0  21,,0,11  0,,0,0,0,32
"Squid, market...................................","13,466,324","2,229,940","12,800",3,"14,495  370,352",,"2,862,677","2,274,969  31,395",,"983,007","8,465,633","14,003,228","44,714,823"
"Whelk, Kellet's...................................","1,290","2,422","1,694","2,644","2,310  1,948",,"3,558","2,266  1,653",,"3,324","3,715","4,594","31,416"
Plants,,,,,,,,,,,,,
Kelp....................................................,0,0,0,0,0  11,,0,0  0,,0,0,0,11
Waters Area Total:,"14,166,263","3,060,539","682,423","565,109","676,696  1,087,289",,"4,038,052","3,232,909  862,099",,"2,311,571","9,635,677","14,954,405","55,273,032"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish).....................................,0,206,263,"1,636",0  0,,0,0  0,,0,0,0,"2,105"
Escolar...............................................,0,0,0,262,0  0,,0,0  0,,0,0,0,262
"Fish, unspecified...............................",0,0,0,33,0  0,,0,0  0,,0,0,0,33
Oilfish.................................................,0,91,0,0,0  0,,0,0  0,,0,0,0,91
Opah.................................................,0,602,425,875,0  0,,0,0  0,,0,0,0,"1,902"
"Shark, shortfin mako........................",0,0,55,277,0  0,,0,0  0,,0,0,0,332
Swordfish...........................................,0,83,5,450,0  0,,0,0  0,,0,0,0,538
"Tuna, albacore.................................",0,240,0,154,0  0,,0,0  0,,0,0,0,394
"Tuna, bigeye.....................................",0,"1,946","6,175","5,083",0  0,,0,0  0,,0,0,0,"13,204"
"Tuna, skipjack...................................",0,87,0,17,0  0,,0,0  0,,0,0,0,104
"Tuna, yellowfin..................................",0,614,"1,094",695,0  0,,0,0  0,,0,0,0,"2,403"
Wahoo..............................................,0,0,43,465,0  0,,0,0  0,,0,0,0,508
Yellowtail...........................................,0,0,0,73,0  0,,0,0  0,,0,0,0,73
Waters Area Total:,0,"3,869","8,060","10,020",0  0,,0,0  0,,0,0,0,"21,949"
Waters South Of State,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish).....................................,0,0,0,216,0  0,,0,0  0,,0,0,0,216
Opah.................................................,0,0,0,567,0  0,,0,0  0,,0,0,0,567
"Tuna, bigeye.....................................",0,0,0,"11,567",0  0,,0,0  0,,0,0,0,"11,567"
Waters Area Total:,0,0,0,"12,350",0  0,,0,0  0,,0,0,0,"12,350"
Grand Total:,"14,166,263","3,064,408","690,483","587,479","676,696  1,087,289",,"4,038,052","3,232,909  862,099",,"2,311,571","9,635,677","14,954,405","55,307,331"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,"21,465",,,
"",,,,,End of Report,,,,,,,,
