Species,January,,February,March,,April,,May,,June,,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,,
"Rockfish, rosy",0,,0,0,,0,,0,,4,,7,,0,,414,2,,3,0,431
"Rockfish, shortbelly",0,,0,0,,0,,0,,0,,0,,40,,0,0,,0,0,40
"Rockfish, speckled",77,,10,0,,0,,8,,2,,226,,25,,90,433,,445,72,"1,389"
"Rockfish, splitnose",0,,2,0,,0,,0,,0,,2,,5,,2,8,,0,0,19
"Rockfish, starry",37,,29,0,,0,,15,,88,,72,,78,,38,66,,25,17,463
"Rockfish, treefish",4,,22,0,,0,,1,,2,,37,,46,,21,25,,36,0,194
"Rockfish, unspecified",0,,0,0,,100,,0,,0,,0,,9,,9,8,,0,0,126
"Rockfish, vermilion","9,415",,"6,594",38,,70,,"4,144",,"6,126",,"9,225",,"5,650",,"8,062","9,169",,"8,933","3,985","71,411"
"Rockfish, widow",14,,0,0,,0,,0,,4,,25,,0,,73,24,,45,20,206
"Rockfish, yellowtail",113,,172,0,,0,,26,,143,,426,,289,,301,344,,226,97,"2,137"
Sablefish,"40,700",,"24,244","46,767",,"16,980",,"35,859",,"21,564",,"35,562",,"27,776",,"41,723","47,095",,"56,065","44,235","438,570"
Salmon,0,,0,0,,0,,0,,0,,0,,74,,0,0,,0,0,74
"Salmon, Chinook",0,,0,0,,0,,0,,0,,377,,0,,0,0,,0,0,377
Sanddab,808,,261,254,,20,,102,,23,,31,,51,,28,286,,542,355,"2,761"
"Sanddab, Pacific",0,,0,0,,0,,0,,0,,0,,0,,165,0,,25,0,190
"Sardine, Pacific","7,055",,"8,297",2,,0,,2,,0,,"6,765",,"99,399",,0,"10,291",,"144,497","8,733","285,041"
"Scorpionfish, California",30,,0,0,,0,,64,,21,,5,,17,,33,36,,59,26,291
"Seabass, white",632,,"9,638","10,706",,242,,964,,"37,222",,"29,516",,"5,736",,685,547,,957,166,"97,012"
Senorita,0,,0,0,,0,,0,,0,,31,,0,,0,0,,0,0,31
"Shark, blacktip",0,,0,0,,0,,0,,0,,0,,17,,0,0,,0,0,17
"Shark, brown",0,,13,36,,0,,0,,6,,31,,10,,31,0,,14,72,213
smoothhound,,,,,,,,,,,,,,,,,,,,,
"Shark, leopard",40,,953,148,,281,,71,,"1,178",,266,,66,,174,59,,99,69,"3,403"
"Shark, Pacific angel",367,,"1,569","2,391",,956,,422,,"1,223",,"2,871",,"2,810",,"2,128","2,078",,"1,250","3,310","21,375"
"Shark, shortfin mako",313,,0,613,,0,,174,,655,,336,,698,,60,48,,653,491,"4,039"
"Shark, soupfin",141,,118,0,,0,,0,,285,,641,,632,,951,311,,"1,470",103,"4,652"
"Shark, spiny dogfish",0,,10,0,,0,,25,,139,,928,,0,,0,0,,0,256,"1,358"
"Shark, swell",0,,0,20,,0,,0,,70,,47,,0,,0,0,,0,0,137
"Shark, thresher",598,,395,579,,726,,454,,"1,946",,"4,894",,"1,341",,374,328,,"1,233",742,"13,610"
Species,January,February,March,April,May,,June,July,,August,,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,
"Shark, unspecified",230,0,337,118,135,,293,316,,0,,0,0,,0,525,"1,954"
"Shark, white",0,0,0,0,0,,0,0,,0,,350,0,,0,0,350
"Sheephead, California",870,"1,936",0,0,820,,440,"1,796",,"2,976",,"2,144","1,462",,"2,525",49,"15,018"
"Skate, longnose",444,183,551,71,0,,50,0,,148,,13,46,,14,340,"1,860"
"Skate, unspecified","1,643",875,517,385,267,,443,272,,229,,99,64,,132,799,"5,724"
"Sole, Dover",216,328,"1,300",8,"1,686",,30,40,,7,,11,17,,14,96,"3,753"
"Sole, English",308,352,403,60,268,,185,292,,113,,119,395,,298,436,"3,228"
"Sole, fantail",93,118,193,24,129,,194,937,,713,,556,150,,246,167,"3,519"
"Sole, petrale",104,118,221,16,338,,115,7,,0,,0,11,,0,0,930
"Sole, rex",0,19,0,0,0,,0,0,,0,,0,0,,0,0,19
"Sole, rock",50,76,62,0,57,,70,240,,87,,99,25,,63,40,869
"Sole, unspecified","1,759",417,349,270,77,,94,156,,58,,11,418,,872,128,"4,609"
Stingray,0,0,23,0,21,,25,440,,0,,55,0,,250,0,814
"Surfperch, rainbow",0,0,1,0,0,,0,0,,0,,11,0,,1,0,13
"Surfperch, rubberlip",0,0,0,0,0,,0,0,,0,,9,0,,0,0,9
Swordfish,"9,601",0,0,0,0,,0,302,,904,,"4,041","1,696",,"5,672","8,326","30,542"
"Thornyhead, longspine","3,176","1,638","2,374",558,"1,278",,"1,783","2,058",,"1,771",,"2,011","2,658",,"1,413","1,198","21,916"
"Thornyhead, shortspine","20,944","19,774","23,722","6,793","17,435",,"14,987","12,745",,"10,997",,"12,705","16,142",,"16,701","14,510","187,455"
Thornyheads,0,0,0,0,0,,0,0,,0,,49,0,,0,0,49
"Tuna, bluefin",0,0,0,0,0,,95,11,,0,,0,0,,"2,478",68,"2,652"
Turbot,0,0,0,0,0,,0,148,,18,,0,0,,0,0,166
"Turbot, hornyhead",0,0,0,0,0,,29,21,,52,,27,0,,26,49,205
"Whitefish, ocean",447,419,930,649,119,,177,597,,646,,240,978,,"1,800",126,"7,128"
"Whiting, Pacific",0,6,41,11,25,,0,3,,0,,0,0,,0,84,170
Yellowtail,323,73,295,312,386,,"2,664","2,764",,955,,245,"2,736",,"1,619",196,"12,567"
CRUSTACEANS,,,,,,,,,,,,,,,,,
"Crab, armed box",0,0,0,0,0,,0,0,,0,,0,0,,0,2,2
"Crab, box","5,641","3,802","5,888","3,436","6,792",,"3,541","4,826",,"4,444",,"3,926","5,051",,"2,980","4,356","54,683"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
CRUSTACEANS,,,,,,,,,,,,,
"Crab, brown rock","6,002","7,426","7,759","4,837","2,098","3,010","2,463","2,202","3,647","2,653","1,825","1,638","45,560"
"Crab, claws",0,119,97,91,38,101,58,30,27,36,14,0,611
"Crab, Dungeness","1,256",0,0,"1,278",83,"1,148",0,0,0,0,0,"2,618","6,383"
"Crab, king",780,96,190,281,"1,199",546,385,171,755,111,182,25,"4,720"
"Crab, red rock","27,516","22,861","29,103","20,297","50,523","39,665","42,284","31,469","41,583","27,427","16,079","17,605","366,411"
"Crab, rock unspecified","3,086","2,177","6,979","20,133","2,018","7,112","1,618",925,"1,630",163,"1,948","1,963","49,751"
"Crab, southern kelp",0,12,3,1,0,0,0,0,0,13,2,13,45
"Crab, spider","4,394","3,721","4,497",937,619,678,"1,535","1,943","2,517","2,225","1,895","2,912","27,871"
"Crab, spider/sheep claws",0,0,0,0,0,0,0,0,0,0,38,0,38
"Crab, tanner",0,0,34,36,0,0,0,0,45,0,36,110,260
"Crab, yellow rock","20,982","26,159","36,003","32,236","48,676","48,071","54,844","58,367","37,755","30,391","22,485","33,335","449,305"
"Crayfish, unspecified",0,0,0,0,0,0,0,0,0,821,0,0,821
"Lobster, California spiny","71,244","29,377","32,939",0,0,0,0,0,0,"126,067","83,449","99,506","442,582"
"Prawn, ridgeback","68,975","42,043","50,412","28,254","43,715",130,0,39,0,"28,744","37,560","63,940","363,813"
"Prawn, spot",46,"19,753","22,475","22,022","37,983","30,973","27,601","22,154","27,218","27,584",121,344,"238,274"
"Shrimp, ocean (pink)",0,0,0,58,0,0,0,0,0,0,0,0,58
"Shrimp, unspecified",74,36,69,0,0,0,0,0,0,0,29,45,253
ECHINODERMS,,,,,,,,,,,,,
"Sea cucumber, giant red","1,358",57,35,"1,280","2,978","12,136","13,890","5,441","3,273",78,23,0,"40,547"
"Sea cucumber,",0,0,0,0,0,0,0,4,0,0,0,0,4
unspecified,,,,,,,,,,,,,
"Sea cucumber, warty","2,061","4,914",0,0,0,"19,347","13,624","4,318","1,569",56,512,158,"46,557"
"Sea urchin, purple",0,0,"3,299",0,48,875,872,"2,191",108,544,503,250,"8,690"
"Sea urchin, red","150,725","185,348","195,013","94,103","134,182","111,592","188,033","211,995","214,996","130,553","265,187","100,036","1,981,761"
MOLLUSKS,,,,,,,,,,,,,
"Limpet, keyhole",69,27,209,72,129,152,212,335,114,114,208,18,"1,659"
"Octopus, unspecified",19,38,45,0,28,4,5,0,5,36,16,23,219
"Snail, sea",0,0,0,0,0,0,0,0,0,39,0,0,39
"Snail, top",221,0,285,173,191,366,318,251,264,208,361,210,"2,848"
Species,January,February,March,April,,May,June,,,July,August,,September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,
MOLLUSKS,,,,,,,,,,,,,,,,,,
"Snails, moon",131,210,233,15,,62,1,,,7,,7,,37,55,34,64,856
"Squid, market","3,336,228","878,670","339,868",1,,0,"360,856",,,"1,077,962","39,214",,,"22,928","1,409,039","13,884,912","6,287,393","27,637,071"
"Whelk, Kellet's","5,294","3,223",698,0,,0,0,,,"2,915","3,396",,,"3,424","4,449",802,"1,918","26,118"
Water Area Total:,"3,869,187","1,365,534","867,769","285,437",,"441,480","771,337",,,"2,168,788","1,190,366",,,"485,913","1,936,742","14,699,763","6,743,813","34,826,130"
Other Waters,,,,,,,,,,,,,,,,,,
ECHINODERMS,,,,,,,,,,,,,,,,,,
"Sea cucumber, giant red",0,0,0,0,,0,87,,,0,,0,,0,0,0,0,87
"Sea cucumber, warty",0,0,0,0,,0,"1,758",,,0,,0,,0,0,0,0,"1,758"
Water Area Total:,0,0,0,0,,0,"1,845",,,0,,0,,0,0,0,0,"1,845"
Waters North of State,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,
"Tuna, albacore",0,0,0,0,,0,0,,,0,,0,,232,0,0,0,232
Water Area Total:,0,0,0,0,,0,0,,,0,,0,,232,0,0,0,232
Grand Total:,"3,869,187","1,365,534","867,769","285,437",,"441,480","773,182",,,"2,168,788","1,190,366",,,"486,145","1,936,742","14,699,763","6,743,813","34,828,207"
"",,,,,,*******************,,,,Total Records:,,"21,923",,,,,,
"",,,,,,End of Report,,,,,,,,,,,,
