"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November,December,Landings
"Crab, claws..........................",133,19,50,323,189,93,339,148,158,102,58,210,"1,821"
"Crab, king.............................",0,0,127,140,200,441,582,768,289,399,122,0,"3,068"
"Crab, red rock......................",0,0,0,63,0,0,0,0,0,0,0,0,63
"Crab, rock unspecified..........","32,205","40,787","52,712","57,045","74,204","65,068","71,975","68,046","62,082","43,001","41,823","53,901","662,849"
"Crab, spider.........................","1,706","2,652","3,029","2,209","3,054","2,356","2,589","1,930","2,004","2,356","1,145","2,130","27,161"
"Crab, yellow rock..................",0,0,153,0,0,0,0,0,0,0,0,0,153
"Crustacean, unspecified.......",0,0,31,0,0,0,0,0,0,0,0,0,31
"Lobster, California spiny.......","35,248","21,590","18,406",0,0,0,0,0,0,"78,812","65,931","35,056","255,044"
"Prawn, ridgeback.................","90,668","44,953","49,447","22,986","6,127",159,118,177,0,"26,509","35,909","32,270","309,323"
"Prawn, spot..........................",0,"8,288","12,173","10,927","17,043","11,873","11,068","7,999","11,319","13,795",66,"1,214","105,765"
"Shrimp, Pacific Ocean..........",0,0,0,221,345,"1,141",0,0,0,0,0,0,"1,706"
"Shrimp, mantis.....................",0,0,0,0,0,42,0,0,0,0,0,90,132
"Shrimp, unspecified..............",0,0,0,160,0,0,0,0,0,497,0,0,657
Echinoderms,,,,,,,,,,,,,
"Sea cucumber, unspecified..","5,253","30,118","71,953","96,175","46,758","31,216","73,326","50,042","30,445","68,687","18,393","15,281","537,646"
"Urchin, purple sea................",0,795,0,418,0,0,0,700,0,0,0,0,"1,913"
"Urchin, red...........................","272,150","254,626","293,506","138,680","215,984","153,013","152,097","238,608","300,546","635,728","463,746","391,303","3,509,987"
Mollusks,,,,,,,,,,,,,
"Clam, unspecified.................",12,0,0,0,0,0,0,0,0,0,0,0,12
"Octopus, unspecified............",17,17,3,2,39,6,0,9,0,8,0,1,102
"Scallop, unspecified.............",0,32,0,0,0,0,0,0,0,0,0,0,32
"Snail, sea.............................",0,0,0,0,0,0,244,0,0,0,31,511,786
"Snails, moon........................",0,0,0,0,0,0,0,0,0,141,294,328,763
"Squid, market.......................","8,265,956","7,620,585","14,931,135","6,114,774","6,016,532","4,873,277","3,805,791","69,157","1,684,544","8,461,253","17,822,711","6,126,384","85,792,099"
"",,,,,,,,,,,,,Total
Species,January,February,March,April,May,June,July,August September,,October,November December,,Landings
California Waters,,,,,,,,,,,,,
Mollusks,,,,,,,,,,,,,
"Whelk, Kellet's.....................","2,977","1,857","3,110","1,198","1,088","2,015","2,404","1,536","1,068","1,206","1,978  3,092",,"23,528"
Waters Area Total:,"11,069,797","10,814,668","16,011,569","9,330,987","7,283,260","5,912,396","6,049,400","3,375,463","3,335,472","10,657,070","19,152,018  6,889,889",,"109,881,989"
Other Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Dolphin (fish)........................,93,0,0,380,0,0,0,170,0,0,0  0,,643
Escolar.................................,864,0,0,167,0,0,0,0,0,0,0  0,,"1,031"
"Halibut, California.................",0,0,0,0,"2,181",0,0,0,0,0,0  0,,"2,181"
Oilfish...................................,0,0,0,0,0,0,0,124,0,0,0  0,,124
Opah....................................,0,0,0,236,0,0,0,0,0,0,0  0,,236
"Rockfish, unspecified...........",0,0,0,0,20,0,0,0,0,0,0  0,,20
"Seabass, white.....................",0,0,0,0,17,0,0,0,0,0,0  0,,17
"Shark, salmon......................",156,206,0,0,0,0,0,0,0,0,0  0,,362
"Shark, shortfin mako............",495,418,0,300,0,0,0,0,0,0,0  0,,"1,213"
"Shark, soupfin......................",0,0,0,0,148,0,0,0,0,0,0  0,,148
