Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, rock unspecified.............",27327,33557,47583,55104,38531,34402,34482,38967,36937,24240,5870,3839,380837
"Crab, spider.................................",11174,10224,9200,10258,9611,10431,10977,9329,3214,4373,4043,5079,97913
"Crab, spider/sheep claws.......",180,389,36,112,132,312,4,25,23,0,0,0,1213
"Crab, tanner................................",0,37,95,198,162,74,16,7,15,9,0,0,613
"Crab, yellow rock.......................",36900,37664,31157,40560,50548,45816,44714,43831,30016,19016,7001,9633,396856
"Crayfish, red swamp.................",0,0,0,0,0,0,120,9020,4567,0,0,240,13947
"Crayfish, unspecified...............",552,844,1309,2499,5172,3418,5794,47859,17804,5668,276,2417,93612
"Crustacean, unspecified.........",0,0,0,0,0,0,11,0,0,0,0,0,11
"Lobster, California spiny..........",106569,70388,37035,0,0,0,0,0,0,255301,144864,153420,767577
"Prawn, ridgeback.......................",147638,101770,85742,101438,68856,0,30,0,0,55434,125087,81185,767180
"Prawn, spot.................................",26726,48950,62395,49065,36408,43579,33885,52015,54773,52192,22328,10406,492722
"Shrimp, bay.................................",2016,1845,1570,1137,1522,0,266,967,1277,619,1102,648,12969
"Shrimp, brine...............................",0,0,0,0,0,190587,224776,119260,27045,0,0,0,561668
"Shrimp, coonstriped..................",0,0,0,0,19366,9563,4215,1992,1977,163,0,0,37276
"Shrimp, ghost..............................",53,50,76,72,349,87,621,68,278,15,12,5,1687
"Shrimp, ocean (pink).................",0,0,32,902540,1628572,1201330,1326420,1928477,537584,121575,0,0,7646530
"Shrimp, unspecified..................",119,197,59,77,108,0,0,0,0,0,0,0,560
"Sea cucumber, giant red.........",4403,3688,5621,3568,6777,13143,38762,14972,12042,3994,4005,633,111608
"Sea cucumber, unspecified....",0,1140,0,10,0,0,515,2498,807,843,1400,0,7213
"Sea cucumber, warty................",7706,10614,22324,17896,17843,25812,26614,11237,3657,0,0,4,143707
Sea stars.....................................,0,2,3198,0,48,14,20,32,31,34,25,22,3426
"Sea urchin, purple.....................",299,399,12738,167,97,117,177,85,197,155,185,150,14766
"Sea urchin, red...........................",1218820,702799,837689,477321,598578,477195,735415,621172,712516,562523,727768,418342,8090138
"Sea urchin, white.......................",0,0,0,3,7,0,4,0,8,0,0,0,21
"Clam, unspecified......................",0,0,0,0,0,0,0,0,0,76,0,0,76
"Limpet, keyhole..........................",18,129,83,55,0,5,70,60,66,532,0,0,1018
"Mollusk, unspecified.................",0,0,0,0,0,0,44,0,0,0,0,0,44
"Octopus, unspecified...............",697,1240,837,516,586,673,509,335,48,66,18,38,5560
Sea hare......................................,142,221,205,248,116,182,126,180,203,162,145,23,1951
"Snail, sea.....................................",0,0,0,3076,0,0,0,0,40,0,0,0,3116
"Snail, tegula................................",0,1649,0,0,0,7,0,0,0,101,0,0,1757
"Snail, top......................................",349,839,2225,105,107,15,0,214,29,31,92,138,4144
"Snails, moon...............................",0,10,25,0,0,0,0,0,0,0,0,0,35
"Squid, jumbo...............................",0,0,0,0,0,0,20,0,0,0,0,0,20
"Squid, market..............................",152,3,0,0,33274,1124236,29320442,20244018,13565214,4280624,10176578,2399367,81143908
"Whelk, Kellet's............................",12564,11793,6947,383,98,209,15019,11211,7785,4528,5308,5125,80968
"Algae, marine..............................",0,0,0,4,0,8,0,0,0,0,0,0,12
Kelp...............................................,0,0,0,0,0,0,4,0,0,0,0,0,4
Invertebrate Unspecified.........,122,79,0,0,0,0,0,0,0,0,0,0,201
