"",,,,,,,,,,,,,,,,,,,,Total
Species,January,,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
"Surfperch, barred","1,369",,"1,428",963,149,,0,,0,,0,,"1,604",,"1,383","1,430",,806,785,"9,916"
Species,January,,February,March,,April,,May,,June,,July,,August,September,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,,
"Surfperch, calico",0,,0,0,,0,,0,,0,,0,,31,0,0,,0,35,66
"Surfperch, rubberlip",0,,0,0,,0,,0,,0,,0,,0,0,2,,2,0,4
Swordfish,"7,337",,0,0,,0,,0,,0,,0,,0,0,0,,"7,813","21,984","37,134"
"Thornyhead, longspine",618,,232,496,,267,,23,,113,,371,,474,477,684,,732,240,"4,727"
"Thornyhead, shortspine","5,917",,"2,501","2,626",,"2,197",,"1,489",,701,,"2,994",,"3,589","2,687","4,743",,"3,423","1,817","34,683"
"Tuna, albacore",0,,0,0,,0,,0,,0,,0,,0,108,447,,0,0,555
"Tuna, bluefin","2,062",,0,0,,0,,0,,0,,0,,0,0,0,,"1,175","3,268","6,505"
Turbot,0,,8,0,,23,,0,,0,,8,,0,0,0,,0,0,39
"Whitefish, ocean",6,,0,1,,0,,0,,10,,0,,0,15,0,,0,0,32
"Whiting, Pacific",0,,0,0,,0,,0,,0,,505,,2,0,0,,66,0,573
Yellowtail,35,,0,0,,0,,0,,0,,0,,23,0,0,,0,0,57
CRUSTACEANS,,,,,,,,,,,,,,,,,,,,
"Crab, brown rock","3,097",,"1,627",882,,631,,532,,"1,288",,"2,743",,"3,790","7,089","1,819",,0,0,"23,497"
"Crab, Dungeness","19,483",,"11,236","24,208",,"22,622",,"40,679",,"14,005",,0,,0,0,0,,"10,633","25,608","168,473"
"Crab, red rock","1,339",,547,"1,822",,"1,077",,"3,785",,"5,312",,"5,475",,"5,204","6,261","1,037",,369,"1,489","33,716"
"Crab, rock unspecified",116,,131,610,,"1,992",,"2,347",,"1,339",,"4,278",,"4,888",718,231,,220,190,"17,059"
"Crab, spider",81,,7,35,,39,,436,,"1,403",,"2,331",,689,842,132,,104,90,"6,189"
"Crab, spider/sheep claws",0,,0,0,,0,,0,,0,,0,,282,0,0,,0,0,282
"Crab, tanner",101,,26,220,,74,,0,,0,,92,,4,32,236,,189,108,"1,082"
"Crab, yellow rock",0,,0,6,,9,,998,,987,,378,,0,0,0,,0,239,"2,617"
"Lobster, California spiny",0,,0,0,,0,,0,,0,,0,,0,0,0,,"1,794",0,"1,794"
"Prawn, spot",650,,"1,071",937,,713,,"3,605",,"6,433",,0,,"1,018","1,498",496,,"6,383","2,291","25,096"
"Shrimp, ocean (pink)",0,,0,0,,"35,719",,"98,365",,0,,0,,0,0,0,,0,0,"134,084"
ECHINODERMS,,,,,,,,,,,,,,,,,,,,
"Sea cucumber, warty",0,,960,0,,0,,0,,0,,0,,0,0,0,,0,0,960
"Sea urchin, red",0,,0,0,,0,,0,,0,,658,,0,0,0,,0,0,658
MOLLUSKS,,,,,,,,,,,,,,,,,,,,
"Octopus, unspecified",0,,0,0,,113,,63,,0,,0,,0,0,0,,0,0,176
Species,January,February,March,,April,,May,June,,,July August,,September,,October,,November,December,Landings
California Waters,,,,,,,,,,,,,,,,,,,
MOLLUSKS,,,,,,,,,,,,,,,,,,,
"Squid, market","26,641",0,0,,0,,0,0,,,"32,710",0,,22,0,,"119,493",0,"178,866"
"Whelk, Kellet's",10,0,0,,27,,0,0,,,"2,469",546,,796,268,,0,0,"4,116"
Water Area Total:,"166,098","88,250","107,496",,"106,713",,"189,422","110,487",,,"189,924 182,735",,,"114,601","136,044",,"279,973","129,828","1,801,571"
Other Waters,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Surfperch, barred",0,0,0,,0,,0,0,,,0,21,,0,0,,0,0,21
Water Area Total:,0,0,0,,0,,0,0,,,0,21,,0,0,,0,0,21
Waters North of State,,,,,,,,,,,,,,,,,,,
FISHES,,,,,,,,,,,,,,,,,,,
"Tuna, albacore",0,0,0,,0,,0,0,,,0,0,,"1,995",0,,0,0,"1,995"
Water Area Total:,0,0,0,,0,,0,0,,,0,0,,"1,995",0,,0,0,"1,995"
Grand Total:,"166,098","88,250","107,496",,"106,713",,"189,422","110,487",,,"189,924 182,756",,,"116,596","136,044",,"279,973","129,828","1,803,587"
"",,,,,,,*******************,,,,Total Records:,"15,079",,,,,,,
"",,,,,,,End of Report,,,,,,,,,,,,
