California Waters Finfish,,,,,,,,,,,,
Species January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern 0",0,0,0,0,0,0,"2,809","9,032","1,728",0,0,"13,569"
Butterfish (Pacific 542,0,0,0,0,0,0,0,0,0,0,0,542
pompano),,,,,,,,,,,,
Cabezon 17,0,0,0,3,858,584,369,641,383,698,556,"4,109"
"Cod, Pacific 0",0,0,0,0,4,0,0,0,0,0,0,4
"Fish, unspecified 366",239,727,914,514,390,631,914,"1,025","1,289",982,439,"8,430"
"Flounder, arrowtooth 1,707","2,404","2,130","3,214","1,079",409,"2,679","3,373",681,"2,885","4,954",544,"26,059"
"Flounder, starry 0",0,0,0,0,3,15,17,0,38,0,0,73
"Flounder, unspecified 0",0,0,0,0,0,2,0,0,0,0,0,2
"Greenling, kelp 13",0,0,0,37,159,86,64,41,7,78,22,507
"Greenling, rock 0",0,0,0,0,0,0,5,2,0,0,0,7
Grenadier 0,619,0,0,40,0,0,0,0,70,576,65,"1,370"
"Hagfish, Pacific 32,848","4,093","39,769","15,680","22,390","29,808","54,915","63,642","32,117","17,645","5,861",0,"318,768"
"Halibut, California 0",0,0,30,25,121,795,"1,722","1,943",535,303,0,"5,473"
"Halibut, Pacific 0",0,0,0,0,"3,766","6,532",0,0,0,0,0,"10,298"
Jacksmelt 0,0,0,0,0,0,418,101,227,0,0,0,746
"Lingcod 3,083",435,"4,907","19,532","65,184","80,508","65,618","57,516","20,990","12,510","8,364","2,930","341,575"
"Mackerel, jack 0",0,0,0,0,0,0,0,0,0,27,0,27
"Mackerel, Pacific 0",0,0,0,0,0,0,0,33,0,0,2,35
"Mackerel, unspecified 0",0,0,0,0,0,3,0,0,0,0,0,3
"Rockfish, black 3,599",381,"1,363","5,432","15,030","11,869","23,176","14,524","10,687","10,233","7,828","2,547","106,669"
"Rockfish, black-and- 0",0,0,0,0,14,0,0,0,0,0,5,19
yellow,,,,,,,,,,,,
"Rockfish, blackgill 0",0,0,1,351,53,621,300,0,2,0,0,"1,328"
"Rockfish, blue 1,718",190,"1,435",324,"1,781",853,728,"1,006","1,312",981,"2,367",932,"13,627"
"Rockfish, bocaccio 0",13,0,0,"2,897","11,323","29,407",491,"6,664","9,604","1,352",31,"61,782"
"Rockfish, brown 0",0,0,0,38,42,14,82,6,5,3,10,200
"Rockfish, canary 1,236",261,515,"1,320","67,419","75,592","79,559","68,818","27,533","22,822","2,914",314,"348,300"
"Rockfish, chilipepper 0",0,0,0,"2,377","3,193","51,207","7,944","62,584","137,890","46,691","2,017","313,903"
"Rockfish, China 17",0,0,0,15,75,55,51,48,20,64,44,389
"Rockfish, copper 114",18,24,47,378,"1,388",430,632,513,701,595,422,"5,262"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, cowcod",0,0,0,0,7,0,12,60,0,0,0,0,79
"Rockfish, darkblotched","2,261",44,679,"3,083","5,422",710,"1,868","5,112",444,"3,017","5,602","3,582","31,824"
"Rockfish, flag",0,0,0,0,0,0,0,2,0,0,0,0,2
"Rockfish, gopher",0,0,0,0,0,0,0,27,0,0,0,2,29
"Rockfish, grass",0,0,0,0,0,141,126,332,85,69,18,40,811
"Rockfish, greenstriped",0,0,0,0,0,0,2,0,0,0,0,0,2
"Rockfish, group",0,0,0,0,0,8,0,0,0,0,0,0,8
black/blue,,,,,,,,,,,,,
"Rockfish, group bolina",0,0,0,0,0,0,0,15,9,6,4,0,33
"Rockfish, group",0,0,0,0,0,0,0,0,0,0,9,0,9
canary/vermili,,,,,,,,,,,,,
