California Waters - Finfish,,,,,,,,,,,,,
Species January,February,March,April,May,June,,July,August,September,October,November,December,Landings
"Crab, pelagic red 0",,0,0,95,0,40,0,0,0,0,0,0,135
"Crab, red rock 498",,686,628,539,226,402,295,256,190,289,207,543,"4,758"
"Crab, rock unspecified 2,168",,"1,527",666,210,964,903,155,480,326,162,33,101,"7,694"
"Crab, shore 0",,0,0,0,0,0,0,0,97,0,0,0,97
"Crab, spider 3,529",,"2,886","1,015","1,102",702,"1,429",818,"1,043",669,"2,947","1,834","2,852","20,824"
"Crab, spider/sheep claws 0",,0,0,0,0,0,0,0,0,0,15,121,136
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, yellow rock 9,665",,"12,669","9,729","12,487","13,662","14,236","16,144","13,479","8,285","8,235","6,756","5,375","130,722"
"Crab, unspecified 0",,0,0,0,0,0,0,0,4,0,0,0,4
"Lobster, California spiny 13,869",,"7,549","3,060",0,0,0,0,0,449,"67,058","30,774","17,872","140,630"
"Prawn, spot 0",,"2,741","6,535","8,662","8,499","12,180","9,598","7,278","4,817","3,374",0,0,"63,684"
California Waters – Echinoderms,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
Bat star 0,,0,0,0,0,0,0,0,0,0,16,0,16
"Sea cucumber, warty 25",,396,0,0,0,715,"1,923","6,131",858,0,0,0,"10,047"
"Sea urchin, purple 154",,124,84,103,72,266,191,111,106,105,109,44,"1,469"
"Sea urchin, red 5,254",,"4,217","7,279","8,227","22,215","28,287","19,441","51,558","54,994","47,739","49,131","46,480","344,822"
California Waters – Mollusks,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Limpet, keyhole 8",,0,0,0,0,0,0,0,0,0,0,0,8
"Octopus, unspecified 1",,55,86,73,12,148,27,91,40,171,10,12,727
"Snail, sea 321",,0,0,0,0,0,0,0,0,0,0,0,321
"Snail, top 20",,0,0,0,20,6,2,0,55,54,0,0,561
"Squid, market 0",,0,0,0,0,10,0,0,0,547,4,0,561
"Whelk, Kellet’s 4,591",,"5,076","2,885",0,0,0,"5,451","5,130","2,990","5,412","4,670","4,062","40,266"
California Waters – Worms,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
"Spiders, sea 0",,0,61,0,0,0,0,0,0,0,0,0,61
"California Waters Total: 130,516",,"128,103","102,075","203,013","233,847","330,086","351,283","410,687","433,962","439,506","293,548","224,757","3,281,382"
"",,,,,,,,,,,,,
Other Waters – Finfish,,,,,,,,,,,,,
Species January,,February,March,April,May,June,July,August,September,October,November,December,Landings
Dolphin (fish) 273,,"1,391",903,"2,163","3,100","1,527",999,"1,506","3,712","7,840","2,649","4,937","31,000"
Escolar 566,,725,328,732,"2,110",696,"2,771","1,697","4,042","1,844","1,796","2,214","19,520"
"Fish, unspecified 41",,0,0,0,124,0,0,0,0,0,0,0,165
"Flounder, starry 0",,0,0,0,0,0,0,3,0,0,0,0,3
Species January,February,,March,April,May,June,July,August,September,October,November,December,Landings
"Halibut, California 0",0,,0,0,0,0,0,50,0,0,0,0,50
"Mackerel, unspecified 0",30,,0,0,0,6,0,0,0,0,0,0,36
"Opah 44,856","35,649",,"24,268","24,952","67,041","28,704","38,264","25,622","58,962","56,758","7,461","43,557","456,094"
"Pomfret 1,821","1,300",,"1,606","1,177","3,803","1,268","5,150","3,815","5,643","1,039",887,"2,478","29,986"
"Rockfish, vermilion 0",0,,0,0,0,0,0,3,0,0,0,0,3
"Shark, blue 1",0,,0,0,189,0,0,0,128,0,0,0,318
"Shark, shortfin mako 0",0,,0,0,148,0,0,12,0,0,0,27,187
"Shark, thresher 0",0,,0,0,0,0,0,16,0,0,0,937,953
Swordfish 452,413,,130,0,"5,117","4,783","9,775","3,773",691,115,290,"4,423","29,962"
"Tuna, albacore 0",0,,0,0,525,0,0,0,0,"15,157",0,0,"15,682"
