"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
"Rockfish, kelp",59,303,0,0,43,85,196,164,209,224,256,57,"1,595"
"Rockfish, Mexican",91,13,0,0,152,291,145,193,127,96,34,4,"1,142"
"Rockfish, olive",6,64,0,0,103,76,282,157,147,82,87,53,"1,056"
"Rockfish, Pacific ocean",5,0,0,0,4,2,10,8,3,6,30,4,72
perch,,,,,,,,,,,,,
"Rockfish, pink",132,45,0,0,154,137,189,172,110,249,222,109,"1,517"
"Rockfish, quillback",130,170,26,0,278,"1,569","1,114",610,492,460,692,240,"5,781"
"Rockfish, redbanded",87,36,1,281,38,110,178,"1,158",6,494,343,101,"2,832"
"Rockfish, rosethorn",12,0,0,0,40,50,94,32,38,23,77,23,387
"Rockfish, rosy",0,14,0,0,24,81,78,83,590,93,71,15,"1,049"
"Rockfish, rougheye",171,0,0,17,3,31,39,58,215,30,11,0,575
"Rockfish, shortbelly",6,1,266,358,128,70,139,130,49,31,11,0,"1,189"
"Rockfish, shortraker",33,0,0,20,6,0,16,8,0,57,0,45,185
"Rockfish, speckled",92,14,8,0,62,15,235,43,165,705,629,230,"2,198"
"Rockfish, splitnose","15,814","18,717","2,188","3,716",598,"3,985","3,534","2,222","1,291",587,699,210,"53,561"
"Rockfish, squarespot",0,23,0,0,11,16,28,44,2,1,5,23,153
"Rockfish, starry",150,141,0,0,231,259,634,278,542,361,181,230,"3,007"
"Rockfish, stripetail",0,3,146,341,151,375,67,183,1,12,4,0,"1,283"
"Rockfish, treefish",412,456,0,0,74,371,543,827,722,413,544,284,"4,647"
"Rockfish, unspecified",0,0,0,109,"28,016",198,202,108,22,148,3,0,"28,804"
"Rockfish, vermilion","13,827","10,157","1,435",195,"7,347","13,816","17,250","11,767","14,547","17,482","14,429","8,005","130,256"
"",,,,,,,,,,,,,Total
"",LandingsSpecies January,February,March,April,May,June,July,August,September,October,November,December,
FISHES,,,,,,,,,,,,,
"Rockfish, widow","39,888","1,681","83,863","39,869","31,277",834,"1,424","5,726","1,337",665,"167,316","151,499","525,378"
"Rockfish, yelloweye",0,0,0,1,0,0,0,1,0,0,0,0,2
"Rockfish, yellowtail",412,525,215,"3,263","2,377","4,141","8,196","5,787","5,918","3,864","2,115","7,444","44,257"
Sablefish,"172,244","98,678","216,471","245,112","289,372","116,035","253,944","371,964","343,364","437,706","325,989","169,773","3,040,652"
Salmon,0,0,0,0,0,0,8,74,0,0,0,0,82
"Salmon, Chinook",12,6,562,18,"58,022","195,535","188,723","327,018","126,875","28,070",2,14,"924,856"
"Salmon, pink",0,0,0,0,0,0,0,0,52,0,0,0,52
"Salmon, Roe (Chinook,",0,0,0,0,0,14,36,388,464,98,0,0,"1,000"
Coho),,,,,,,,,,,,,
Sanddab,"2,228","1,918","2,766","4,964","19,095","9,481","1,602","1,415","2,365","1,497","1,507","1,078","49,917"
"Sanddab, Pacific",3,51,350,0,122,"4,647","12,753","17,241","15,682","22,503","10,549","1,841","85,742"
"Sardine, Pacific","8,858","27,705",2,1,"1,111","8,872","31,978","235,057","16,274","120,952","237,579","32,091","720,480"
Sargo,0,0,0,0,0,0,3,43,1,0,0,0,47
"Scorpionfish, California",161,119,0,0,343,580,642,479,247,271,229,420,"3,491"
"Sculpin, staghorn",14,7,0,10,51,52,49,60,124,76,74,43,561
