Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
"Surfperch, redtail.......................",0,97,293,573,0,0,0,"2,675","1,245",0,582,0,"5,465"
"Surfperch, rubberlip..................",11,77,25,0,0,0,0,0,2,0,0,63,178
"Surfperch, shiner.......................",3,0,5,19,27,55,14,45,0,6,17,6,196
"Surfperch, unspecified............",744,584,462,"1,373",0,2,66,334,249,418,311,359,"4,901"
Swordfish....................................,"150,015","147,879","186,924",0,522,"1,389","5,316","1,792",933,"13,503","162,581","139,076","809,929"
"Thornyhead, longspine............","38,619","59,452","207,113","176,045","140,898","127,332","115,289","198,918","104,877","134,275","77,685","56,827","1,437,330"
"Thornyhead, shortspine..........","56,941","64,243","101,610","75,350","84,316","65,743","71,696","92,020","75,402","95,825","81,602","79,654","944,402"
Thornyheads..............................,2,109,0,0,0,0,0,"12,611",0,0,0,2,"12,724"
"Tomcod, Pacific.........................",0,0,0,0,0,51,17,0,0,0,0,0,68
Topsmelt......................................,0,0,0,0,0,0,0,0,0,0,"3,662",0,"3,662"
"Trawled fish, unspecified........",134,262,"1,111",587,765,295,268,902,247,289,566,550,"5,976"
Triggerfish...................................,0,0,0,0,0,2,0,0,0,0,0,0,2
"Tuna, albacore...........................",464,976,949,0,"1,889",95,406,"104,479","235,541","322,449","42,213","3,928","713,388"
"Tuna, bigeye...............................",350,"16,172","22,680",0,"13,041",0,0,0,0,0,"3,369",198,"55,810"
"Tuna, bluefin...............................",365,272,0,0,0,208,615,"1,112","1,855","9,422","5,679","2,329","21,857"
"Tuna, skipjack............................",0,59,97,0,14,0,0,0,0,785,69,0,"1,024"
"Tuna, unspecified.....................",0,0,360,0,0,0,0,0,0,0,0,0,360
"Tuna, y ellowfin...........................",0,"5,968","1,227",0,"4,923",0,0,28,286,0,535,0,"12,968"
"Turbot, curlfin.............................",0,0,0,0,30,26,101,95,594,0,0,0,846
"Turbot, diamond.........................",0,0,0,0,0,0,2,14,0,0,0,0,16
"Turbot, hornyhead.....................",142,106,560,783,813,916,"1,238","1,354",511,135,258,92,"6,908"
Turbot...........................................,75,110,293,74,34,142,72,48,40,1,0,0,889
Wahoo..........................................,0,505,"2,753",0,"1,737",0,0,0,0,0,0,0,"4,995"
"Whitefish, ocean.......................",277,250,0,0,428,72,250,119,124,377,590,331,"2,817"
"Whiting, Pacific..........................",168,29,"4,988",30,16,1,485,"1,005","2,885","2,417",361,898,"13,283"
Yellowtail.....................................,87,262,403,217,656,"6,664","6,583","2,789","2,988",932,86,165,"21,831"
Crus taceans,,,,,,,,,,,,,
"Crab, Dungeness .......................","11,843,943","3,906,662","1,562,590","678,065","603,991","340,728","63,318","20,999",334,"2,722","6,103,871","6,065,014","31,192,237"
"Crab, armed box.........................",8,15,11,0,0,0,0,30,0,0,0,0,64
"Crab, box.....................................","1,561",320,405,"1,005",556,323,329,334,69,12,99,121,"5,134"
"Crab, brown rock.......................","2,995","4,370","3,941","5,090","8,835","6,701","5,534","5,131","7,820","9,293","10,149","14,588","84,446"
"Crab, claws.................................",479,275,11,0,58,39,27,17,0,8,0,10,924
"Crab, king....................................",123,64,104,207,150,9,10,111,121,5,118,90,"1,112"
"Crab, pelagic red.......................",0,0,0,0,0,2,80,0,0,0,0,0,82
"Crab, red rock.............................","30,211","29,939","34,542","46,168","46,720","49,454","52,268","55,432","52,016","61,779","57,815","68,143","584,487"
"Crab, rock unspecified.............","52,012","53,522","80,288","64,677","65,750","81,349","94,285","101,103","83,554","71,395","59,035","20,016","827,111"
"Crab, sand...................................",0,0,0,0,0,29,0,13,0,0,0,0,42
"Crab, shore.................................",0,0,0,0,0,0,0,0,0,0,6,0,7
Species,January,February,March,April,May,June,July,August,Septem ber,October,Novem ber,Decem ber,Landings
Crus taceans,,,,,,,,,,,,,
"Crab, spider................................","4,752","6,228","5,210","3,738","5,971","6,262","5,898","6,346","2,866","4,376","3,767","4,452","59,901"
"Crab, spider/sheep claws.......",7,51,675,7,9,0,27,96,4,14,13,122,"1,025"
"Crab, tanner................................",162,0,0,0,0,0,0,0,0,0,0,0,162
"Crab, y ellow rock.......................","35,319","32,847","36,190","45,752","46,211","49,427","49,378","52,972","27,449","26,580","29,120","37,850","469,096"
"Cray fish, red swamp.................",0,0,0,0,0,0,43,"1,510","1,616",0,0,0,"3,169"
"Cray fish, unspecified...............",707,"1,585","3,246","3,925","7,415","9,388","6,644","52,352","34,975","26,605","9,791","7,418","164,051"
"Crus tacean, unspecified.........",77,3,0,0,0,5,0,0,0,0,0,0,85
"Lobs ter, California spiny .........","77,253","59,283","31,218",0,0,0,0,0,0,"294,517","173,866","136,281","772,429"
"Prawn, ridgeback.......................","26,052","13,585","34,008","11,524","22,534",589,"2,456",160,22,"4,421","6,411","14,223","135,983"
"Prawn, spot.................................","11,965","36,972","45,755","36,057","31,561","39,311","40,133","53,797","34,246","31,395","3,588","6,534","371,314"
"Shrimp, bay .................................","6,221","5,190","4,995","2,757","2,908","1,775","1,595","1,699","2,279","2,555","4,054","3,166","39,194"
"Shrimp, brine...............................",0,0,0,0,0,"86,951","116,297","116,313","49,336",0,0,0,"368,897"
"Shrimp, coons triped..................",0,0,0,0,46,"20,757","26,775","27,953","17,347","15,062",0,0,"107,940"
"Shrimp, ghos t.............................",804,55,61,36,65,105,109,73,62,37,29,28,"1,463"
"Shrimp, mantis ............................",199,251,223,182,182,411,345,164,31,27,0,0,"2,014"
"Shrimp, ocean (pink).................",0,0,0,"458,682","1,690,601","1,054,333","1,277,970","1,196,334","1,406,742","1,416,858",0,0,"8,501,520"
"Shrimp, unspecified..................",64,0,0,0,9,6,0,0,0,5,0,0,84
Echinoderms,,,,,,,,,,,,,
Sand dollar..................................,0,0,0,0,0,0,4,0,6,0,0,0,10
"Sea cucumber, giant red.........","16,838","13,678","4,610","11,518","5,614","21,436","37,390","23,719","9,004","4,713","4,228","2,754","155,501"
"Sea cucumber, unspecified....",73,0,0,0,20,0,0,0,0,81,0,"1,075","1,249"
"Sea cucumber, warty ...............","7,156","11,536","10,055","33,534","31,345","49,925","38,269","26,493","15,420","1,195","1,754",334,"227,015"
Sea s tars .....................................,21,25,8,8,17,0,57,15,64,0,0,0,215
"Sea urchin, purple.....................",782,324,"1,091",111,213,57,186,339,"3,876","21,784","3,877","1,541","34,180"
"Sea urchin, red..........................","1,088,119","636,057","1,261,978","950,019","899,464","861,500","1,210,693","1,227,167","976,152","1,373,943","1,220,663","1,305,970","13,011,723"
"Sea urchin, white......................",0,0,32,0,0,0,0,0,3,4,17,0,56
Mollusks,,,,,,,,,,,,,
"Limpet, keyhole..........................",1,0,0,134,0,0,0,57,500,0,98,2,792
"Mollusk, unspecified.................",0,0,2,0,0,0,0,0,0,0,0,0,2
"Octopus, unspecified...............",403,907,966,788,586,226,115,341,234,380,64,398,"5,407"
Sea hare......................................,370,124,210,118,184,78,341,212,192,336,270,186,"2,621"
"Snail, tegula................................",0,1,0,0,0,0,0,0,0,0,0,0,1
"Snail, top.....................................",27,17,25,63,5,84,40,146,60,69,97,147,779
"Snails , moon...............................",0,0,3,0,0,0,0,0,0,0,0,0,3
"Squid, jumbo...............................",47,150,0,0,0,0,0,0,174,0,0,267,638
"Squid, market..............................","175,385","102,982","5,022","1,369,896","3,670,628","23,735,007","66,122,501","53,303,538","42,239,307","39,174,325","72,732","109,180","230,080,503"
"Whelk, Kellet's ............................","5,970","8,023","3,919",8,66,0,"14,802","15,602","13,497","9,873","10,335","8,768","90,862"
Plants,,,,,,,,,,,,,
Species,January,February,March,April,May,June,July,August Septem ber,October,,Novem ber,Decem ber,Landings
Plants,,,,,,,,,,,,,
Kelp...............................................,0,0,0,53,24,1,0,0,0,0,0,0,78
Worms,,,,,,,,,,,,,
Invertebrate Unspecified.........,0,0,0,0,0,0,7,0,0,0,0,0,7
Tunicates ....................................,0,0,0,0,0,"0  7,000",,0,0,0,0,0,"7,000"
"Worms, marine............................",1,0,0,0,0,0,0,0,0,0,0,0,1
Total Pounds:,"17,336,778","8,036,662","5,200,548","7,263,399","14,279,874","29,495,848  72,786,380",,"61,296,875  51,463,491","64,741,350",,"20,509,953","10,984,881","363,396,209"
"",,,,,,*******************,,Total Records:,"115,337",,,,
"",,,,,,End of  Report,,,,,,,
