"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Surfperch, redtail............................",,"1,873",367,679,"4,081",0,0,"8,553","8,040","2,860",543,96,601,"27,692"
"Surfperch, rubberlip........................",,181,55,57,14,0,"1,163",236,0,0,20,0,0,"1,726"
"Surfperch, shiner............................",,0,0,0,0,0,0,0,82,0,0,0,0,82
"Surfperch, unspecified....................",,"1,038",384,"2,670","2,131",171,75,347,637,"1,162",660,"1,979","1,488","12,741"
"Surfperch, walleye..........................",,0,0,36,0,0,0,0,0,0,0,0,0,36
"Surfperch, white.............................",,500,632,101,"1,656",0,0,0,0,0,0,0,0,"2,888"
Swordfish.......................................,,"640,443","368,435","100,920",0,"6,813","27,572","31,158","65,998","335,947","744,458","777,361","949,081","4,048,187"
"Thornyhead, longspine...................",,"237,238","188,445","217,059","340,410","84,613","86,072","122,609","85,159","160,980","68,492","206,690","166,264","1,964,031"
"Thornyhead, shortspine..................",,"96,516","56,011","69,584","95,790","34,017","28,308","45,199","35,780","49,451","20,871","68,811","47,556","647,893"
Thornyheads..................................,,"5,584","1,981","36,954","8,467","11,819","11,498","9,937","8,559","12,687","5,242","32,938","30,121","175,785"
"Tomcod, Pacific.............................",,0,0,0,0,0,0,0,0,32,41,0,0,73
Topsmelt........................................,,0,0,0,0,0,0,220,60,80,621,0,0,981
Triggerfish......................................,,0,0,0,0,3,0,0,0,0,0,0,0,3
"Tuna, albacore...............................",,"11,000","2,119",675,0,145,"74,019","311,361","149,083","1,545,410","1,894,060","127,607","35,207","4,150,686"
"Tuna, bigeye..................................",,"45,361","32,281","13,695",0,"3,296","5,030",656,981,"26,590","17,725","6,701","4,720","157,035"
"Tuna, bluefin..................................",,"12,777","1,839",293,0,0,"77,412","333,064","149,061","32,222","22,901","34,485","15,170","679,223"
"Tuna, skipjack, black......................",,0,0,0,0,0,0,0,0,0,53,0,0,53
"Tuna, skipjack................................",,0,"314,630","83,118","1,221,202",0,496,0,724,"9,248","1,253",0,"88,888","1,719,559"
"Tuna, unspecified...........................",,185,0,0,0,0,0,0,800,121,649,0,223,"1,978"
"Tuna, yellowfin...............................",,"130,585","198,017","58,178","1,214,857","62,665",873,"27,217","254,084","417,569","97,593",317,"92,427","2,554,382"
Turbot............................................,,160,115,442,295,235,251,536,640,357,960,386,90,"4,467"
Wahoo............................................,,0,0,0,0,0,213,27,0,222,0,0,0,462
"Whitefish, ocean.............................",,"1,038",252,"1,065",960,568,720,699,407,874,"1,036",514,853,"8,986"
"Whiting, Pacific..............................",,5,0,20,"888,142","6,119,297","3,500,977","478,759","2,118",424,"2,524",48,191,"10,992,504"
Yellowtail........................................,,259,"2,377",264,"1,593","2,512","16,734","32,744","30,470","10,154","12,267",386,300,"110,060"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness...........................",,"1,134,167","459,726","194,987","236,655","118,226","57,055","11,569",514,0,400,"684,420","3,595,191","6,492,910"
"Crab, box.......................................",,37,19,467,"1,198",37,533,63,97,0,27,67,446,"2,991"
"Crab, claws....................................",,354,69,49,309,116,152,100,191,34,46,124,165,"1,707"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Crab, king.......................................",0,0,27,213,175,197,181,268,167,0,0,0,"1,228"
"Crab, pelagic red............................",0,0,0,0,0,0,0,0,0,10,0,0,10
"Crab, red rock................................",100,60,10,0,110,396,2,0,0,400,0,0,"1,077"
"Crab, rock unspecified....................","59,166","70,188","110,189","96,063","97,516","106,218","119,212","108,028","102,119","73,685","62,798","83,512","1,088,695"
"Crab, sand.....................................",0,0,0,2,11,3,5,6,4,0,0,0,31
"Crab, shore....................................",0,0,0,0,9,0,0,0,0,0,0,0,9
"Crab, spider...................................","4,560","4,269","4,350","1,699","1,628","4,523","5,555","7,032","5,846","4,351","6,068","6,130","56,010"
"Crab, tanner...................................",0,0,22,0,0,0,0,0,0,0,0,0,22
"Crab, yellow rock............................",27,0,120,70,0,0,0,3,0,"1,118",0,0,"1,338"
"Crayfish, red swamp......................",0,0,0,0,0,0,0,150,"2,341",0,0,0,"2,491"
"Crayfish, signal..............................",30,22,0,0,0,0,0,0,0,0,0,0,52
"Crayfish, unspecified......................",395,385,160,435,"3,837","4,846","3,645","58,867","9,139","6,141",739,"2,374","90,963"
"Crustacean, unspecified.................",9,0,0,33,0,30,0,2,0,2,0,4,79
"Lobster, California spiny.................","68,059","66,139","33,419",64,0,427,0,107,0,"306,090","139,440","91,960","705,704"
"Prawn, ridgeback...........................","252,907","140,542","191,581","214,679","158,804","1,399",873,222,785,"260,610","182,303","160,302","1,565,009"
"Prawn, spot....................................","38,449","47,260","45,985","36,241","36,661","51,385","32,893","50,015","47,185","50,789","5,496","4,764","447,124"
"Shrimp, bay....................................","7,027","3,288",791,"3,391","8,012","4,862","6,298","9,609","11,016","11,400","11,398","14,655","91,747"
"Shrimp, brine..................................","10,811","29,001","49,153","84,046","124,019","214,752","194,348","189,389","149,741","55,673","15,720","12,150","1,128,803"
"Shrimp, coonstriped.......................",120,0,8,0,"6,420","19,371","17,941","17,912","12,117","11,744",735,0,"86,369"
"Shrimp, ghost.................................",9,18,20,21,31,36,149,25,13,8,6,6,343
"Shrimp, mantis...............................",241,231,970,"1,325","1,480",248,11,0,0,13,102,720,"5,342"
"Shrimp, ocean (pink).................",230,0,0,"301,805","243,763","515,735","306,868","975,565","41,009","74,066",16,38,"2,459,095"
"Shrimp, unspecified........................",0,0,0,0,0,0,0,0,0,0,0,30,30
Echinoderms,,,,,,,,,,,,,
Bryozoan........................................,0,0,0,0,0,0,0,0,0,30,60,0,90
"Echinoderm, unspecified................",0,5,0,0,20,0,10,10,80,0,0,0,125
Sand dollar.....................................,0,0,30,0,0,0,0,0,0,27,5,0,62
"Sea cucumber, unspecified............","6,193","17,591","74,863","75,555","71,360","201,048","89,468","76,903","17,994","3,186","4,015","4,284","642,459"
Sea stars........................................,0,5,2,25,11,50,10,25,0,0,1,0,129
"Sea urchin, purple..........................","5,122","1,041","1,702",246,450,"1,736","1,161",210,150,"12,485","6,219","5,737","36,259"
"Sea urchin, red...............................","1,614,643","408,268","929,990","1,463,892","1,116,282","1,119,269","365,625","1,411,647","1,462,842","1,658,487","1,665,044","1,950,165","15,166,155"
"Sea urchin, white............................",0,0,0,55,210,155,905,993,825,40,0,0,"3,183"
Mollusks,,,,,,,,,,,,,
"Abalone, black...............................",0,0,0,0,0,0,0,0,0,0,2,0,2
"Chiton, unspecified.........................",0,0,0,0,0,0,0,0,0,0,0,2,2
"Clam, California jackknife...............",68,49,75,0,85,71,59,148,113,45,52,34,799
"Clam, rosy razor.............................",0,3,0,0,0,0,0,0,0,0,0,0,3
"Clam, unspecified...........................",0,0,26,105,0,0,0,0,0,0,0,31,162
Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
Mollusks,,,,,,,,,,,,,
"Limpet, unspecified........................",80,70,248,130,164  90,,160,150  100,,21,150,60,"1,422"
Mussel...........................................,720,502,445,820,373  48,,228,614  528,,300,25,0,"4,603"
"Octopus, unspecified......................",313,228,493,337,131  64,,99,749  814,,625,243,411,"4,505"
Sea hare........................................,635,301,725,520,397  560,,417,410  525,,375,390,245,"5,500"
Sea slug.........................................,0,0,0,0,0  0,,0,25,0,0,0,0,25
"Snail, bubble..................................",5,10,32,0,20  30,,15,10,0,18,0,0,140
"Snail, sea.......................................",48,479,471,580,0  224,,82,130  66,,0,0,0,"2,080"
"Snail, top........................................","1,352",4,"2,128","2,763","1,480  6,532","6,384",,"1,015  2,519",,457,"1,355",164,"26,153"
"Snails, moon..................................",452,1,62,71,0  0,,2,0  304,,55,70,215,"1,231"
"Squid, jumbo..................................",3,0,0,365,71  0,,0,0  586,,0,0,0,"1,025"
"Squid, market.................................","42,813,245","20,350,632","5,680,659","12,558,989","13,059,556  7,936,857","5,397,885",,"2,268,049  4,409,020","24,804,516",,"61,444,557","61,216,603","261,940,567"
"Whelk, Kellet's................................","3,571","2,417","4,716","2,385","1,953  2,274","2,777",,"4,861  3,294","2,325",,"5,223","6,922","42,716"
Plants,,,,,,,,,,,,,
"Algae, marine.................................",0,2,0,0,0  30,,0,0,0,0,0,0,32
Kelp................................................,0,0,0,0,700  0,,800,0,0,70,50,0,"1,620"
Worms,,,,,,,,,,,,,
Invertebrate Unspecified................,0,0,40,0,0  5,,100,0,0,30,55,0,230
"Invertebrates, colonial....................",102,151,37,131,75  4,,75,1  83,,105,125,25,914
Sea pansy......................................,0,0,1,0,0  0,,0,0,0,0,0,0,1
Tunicates.......................................,11,0,2,0,0  6,,10,29,2,0,0,0,60
"Worms, marine...............................",0,17,13,35,31  400,,4,4,6,8,7,5,529
Total Pounds:,"71,026,545","45,903,854","34,844,121","33,657,288","31,458,188  29,264,508","29,987,345",,"27,868,434  36,917,555","46,440,616",,"80,728,664","85,730,871","553,827,990"
"",,,,,*******************,,,Total Records:,"182,336",,,,
"",,,,,End of Report,,,,,,,,
