"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Sablefish....................................,"105,360",,"128,025","227,541","195,604","311,831","282,323","390,412","527,288","681,100","283,536","121,762","72,546","3,327,329"
"Salmon, Roe (Chinook and Coho",0,,0,0,0,0,0,1,5,99,55,0,"1,057","1,216"
"Salmon, chinook........................",0,,0,0,190,"802,453","143,313","807,674","205,178","365,281","66,787",0,0,"2,390,875"
"Salmon, pink..............................",0,,0,0,0,2,38,49,0,0,0,0,0,89
Salmon.......................................,0,,0,0,0,0,0,0,10,0,98,0,0,108
"Sanddab, Pacific........................",0,,250,20,0,386,"2,994",833,"6,678","5,828",0,0,0,"16,989"
"Sanddab, longfin........................",0,,0,0,0,44,63,0,0,0,0,0,0,107
Sanddab....................................,"131,464",,"41,818","150,261","172,283","110,827","161,445","222,171","172,955","178,552","199,582","121,489","52,494","1,715,339"
"Sardine, Pacific.......................... 19,162,099",,,"14,101,044","13,945,579","4,700,219","7,561,473","2,798,820","4,013,472","9,463,293","9,318,535","13,299,622","9,595,885","6,264,508","114,224,549"
Sargo.........................................,0,,0,0,0,0,0,0,40,14,284,8,0,346
"Scorpionfish, California..............","2,411",,"3,328","5,873","2,513","3,229","4,433","7,218","2,212","2,052","2,796","3,284","3,473","42,822"
"Sculpin, staghorn.......................",298,,7,57,449,"1,077",136,38,335,483,"2,205","1,311",405,"6,801"
"Sculpin, yellowchin.....................",0,,0,0,0,2,0,0,0,0,40,0,0,42
"Seabass, white...........................","13,196",,"6,037","9,299","2,425","6,520","94,665","41,231","20,725","20,329","21,865","15,976","8,679","260,947"
"Shad, threadfin...........................","6,557",,536,297,160,998,445,258,977,"7,525","13,467","13,288","11,292","55,800"
"Shark, Pacific angel...................","5,345",,"2,547","3,901","4,414","2,898","1,849","1,173","1,760",972,892,"1,095","3,849","30,693"
"Shark, bigeye thresher...............","2,046",,0,0,0,0,0,67,546,297,0,0,0,"2,956"
"Shark, blue.................................",0,,0,0,0,0,9,0,0,0,25,0,0,34
"Shark, brown smoothhound.......",542,,"1,311",485,183,32,73,153,28,10,"1,085",637,677,"5,216"
"Shark, gray smoothhound..........",0,,0,167,0,222,192,200,259,0,24,0,0,"1,064"
"Shark, horn................................",0,,0,0,7,0,0,0,0,0,0,0,0,7
"Shark, leopard............................","1,522",,"1,102","1,560","2,455","4,608","2,951","1,958","2,703","1,263","1,912",482,656,"23,172"
"Shark, pelagic thresher..............","1,663",,0,0,0,150,0,113,125,440,155,109,0,"2,755"
"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Shark, salmon............................",,156,206,0,0,0,0,0,0,0,0,0,0,362
"Shark, sevengill..........................",,0,30,22,3,0,0,0,15,27,69,0,0,166
"Shark, shortfin mako..................",,"2,573","2,374",223,597,"2,306","5,941","6,789","10,977","9,169","11,229","11,875","6,175","70,228"
"Shark, sixgill...............................",,0,0,52,0,0,7,0,0,0,0,0,0,59
"Shark, soupfin............................",,"2,833","2,215","5,394","1,981","6,600","15,032","8,267","4,210","1,018","1,986","5,509","5,225","60,270"
"Shark, spiny dogfish...................",,"2,283",963,44,871,219,117,290,0,0,0,0,"1,768","6,556"
"Shark, thresher..........................",,"45,572","3,504",826,"3,174","116,162","17,610","12,857","17,038","65,224","65,905","54,777","63,656","466,304"
"Shark, unspecified.....................",,359,183,114,538,"1,033",567,567,83,339,515,"1,273",287,"5,857"
"Shark, white...............................",,0,0,0,0,23,63,0,0,0,0,0,0,86
"Sheephead, California................",,"8,615","7,031","13,649","7,181","24,028","17,027","12,698","18,667","18,984","11,312","10,388",9,"149,587"
"Sierra, Pacific.............................",,0,0,0,25,78,0,0,0,0,0,0,0,103
Silversides.................................,,0,0,0,"3,498",0,"1,003",473,63,692,605,0,0,"6,334"
"Skate, big...................................",,0,0,0,0,52,0,78,"1,410",0,0,0,0,"1,540"
"Skate, unspecified......................",,"38,687","66,017","68,375","167,144","277,156","236,336","111,313","158,327","93,102","122,041","50,762","6,801","1,396,060"
"Smelt, night................................",,"3,434","6,291","17,598","23,378","55,698","37,134","30,710","20,098",0,10,0,27,"194,378"
"Smelt, surf..................................",,0,0,315,"5,034","28,418","30,660","42,612","21,293","4,605","3,063",0,0,"136,000"
"Smelt, whitebait..........................",,0,0,0,140,0,115,0,0,0,0,0,0,255
"Smelts, true................................",,0,0,0,0,0,6,0,3,264,315,0,0,588
"Sole, Dover................................",,"296,120","449,058","715,397","800,802","635,006","554,907","598,078","660,905","552,125","25,373",712,"25,063","5,313,546"
"Sole, English..............................",,"23,804","21,426","42,660","76,889","84,468","71,154","64,010","109,245","114,093","189,295","101,409","30,231","928,684"
"Sole, butter................................",,0,0,0,0,0,0,74,173,62,602,266,0,"1,177"
"Sole, fantail................................",,4,7,0,3,0,0,1,0,0,57,108,94,274
"Sole, petrale...............................",,"222,575","113,724","49,851","39,067","77,583","69,307","41,962","61,054","77,683","156,349","145,888","181,937","1,236,979"
"Sole, rex.....................................",,"55,256","66,235","54,916","57,357","45,822","34,175","37,430","59,236","53,158","28,355","12,385","14,950","519,275"
"Sole, rock...................................",,175,162,"1,646","2,519","5,287",450,"2,148",796,310,536,"1,810",106,"15,945"
"Sole, sand..................................",,"7,756","9,278","14,265","5,189","21,431","38,514","21,008","15,197","15,004","12,476","19,856","3,686","183,661"
"Sole, unspecified........................",,"3,807","4,109","4,833","2,827","2,665","3,306","1,202","1,938","1,420","2,514","1,686","2,903","33,208"
"Stickleback, threespine..............",,12,7,9,7,9,8,7,5,7,6,7,26,111
Stingray......................................,,90,49,47,0,0,0,0,0,0,0,0,0,186
"Surfperch, barred.......................",,372,"1,011","1,450","2,759",0,17,886,"1,474",791,"1,225",342,825,"11,151"
"Surfperch, black.........................",,248,88,31,93,0,165,40,146,126,219,19,0,"1,175"
"Surfperch, calico........................",,0,0,0,2,0,0,0,0,0,0,0,0,2
"Surfperch, pile............................",,0,0,164,133,0,0,0,0,0,0,0,0,297
"Surfperch, rainbow.....................",,0,0,0,12,0,0,0,0,0,0,0,0,12
"",,,,,,,,,,,,,,Total
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
