"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Rockfish, group slope.....................","7,366",,"7,480","12,129","6,850","80,578","59,252","34,604","44,946","62,071","4,810","4,638","4,903","329,627"
"Rockfish, group small.....................",97,,145,0,0,57,54,54,"4,769",254,78,47,4,"5,558"
"Rockfish, honeycomb.....................",0,,0,0,9,0,0,0,1,0,0,0,0,10
"Rockfish, kelp.................................",220,,238,10,3,177,134,420,221,190,161,201,115,"2,088"
"Rockfish, olive................................",31,,125,15,0,238,210,323,314,466,283,171,32,"2,209"
"Rockfish, pink.................................",0,,0,8,0,0,0,0,1,0,3,0,0,12
"Rockfish, quillback.........................",75,,291,34,28,327,565,185,876,718,480,232,142,"3,952"
"Rockfish, redbanded......................",15,,135,20,6,0,0,0,3,0,11,28,3,221
"Rockfish, rosethorn........................",0,,20,0,43,0,0,0,2,0,18,6,0,89
"Rockfish, rosy................................",0,,35,0,0,281,18,0,85,0,0,0,0,419
"Rockfish, shortbelly........................",0,,0,0,0,4,0,0,0,0,25,12,50,91
"Rockfish, speckled.........................",0,,0,0,7,9,0,0,0,13,9,16,0,53
"Rockfish, splitnose.........................","1,300",,6,162,934,"1,615","10,547","1,122",18,"6,094",675,194,0,"22,668"
"Rockfish, squarespot......................",0,,66,75,29,63,3,0,34,0,2,1,0,272
"Rockfish, starry..............................",3,,2,31,21,10,9,64,42,66,14,7,5,274
"Rockfish, stripetail..........................",0,,0,0,0,0,0,0,0,0,242,6,0,248
"Rockfish, treefish...........................",105,,96,34,29,150,190,413,181,163,99,43,33,"1,536"
"Rockfish, unspecified.....................",258,,205,205,283,"2,150",326,455,366,207,722,79,875,"6,131"
"Rockfish, vermilion.........................",978,,"1,662","1,466","2,105","2,164","2,822","3,801","3,652","4,128","3,538","3,592",796,"30,704"
"Rockfish, widow.............................",206,,145,6,"14,712","2,752",119,3,886,33,90,99,34,"19,085"
"Rockfish, yelloweye........................",0,,0,0,15,23,0,0,5,0,0,0,0,43
"Rockfish, yellowtail.........................",210,,406,3,119,"6,232","2,351",956,"9,281",498,191,445,114,"20,805"
Sablefish........................................,"136,572",,"156,689","245,597","228,846","223,562","354,508","308,740","274,299","421,094","342,720","289,629","125,234","3,107,490"
"Salmon, Chinook............................",0,,0,0,"10,351","1,316,751","1,823,151","1,959,146","791,670","264,216","20,751",0,0,"6,186,036"
"Salmon, Roe (Chinook and Coho)",0,,0,0,0,10,5,46,109,92,28,0,0,289
Salmon...........................................,0,,0,0,0,0,0,"1,842","2,090",0,0,0,0,"3,932"
"Sanddab, Pacific............................",0,,0,23,19,2,"2,926",0,0,210,0,0,0,"3,180"
"Sanddab, longfin............................",0,,0,0,0,4,0,0,0,0,0,0,0,4
Sanddab.........................................,"27,093",,"8,190","25,670","34,516","148,896","76,163","161,665","200,213","71,273","3,849","12,510","15,552","785,590"
"Sardine, Pacific..............................","13,389,391",,"3,296,192","6,593,289","5,708,237","2,059,842","3,320,876","6,209,107","15,147,167","7,935,726","18,137,758","12,914,999","2,936,538","97,649,122"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
Sargo.............................................,,0,21,8,0,0,5,0,2,0,0,0,0,36
"Scorpionfish, California..................",,8,0,907,678,"1,223","1,300","2,242",955,885,"1,367",823,647,"11,034"
"Sculpin, staghorn...........................",,130,280,341,48,10,25,30,39,513,"2,212",887,326,"4,840"
"Seabass, white...............................",,"4,112","7,547","16,013","4,599","1,398","131,495","79,389","35,104","9,791","5,213","1,267","1,280","297,207"
"Shad, threadfin...............................",,"10,115","5,865","5,294","4,163","4,220","1,220","2,411","4,420","10,185","11,573","14,120","11,780","85,366"
"Shark, Pacific angel.......................",,"1,860","1,862","1,627","1,463","1,944","1,026","1,151",872,979,"1,082",316,143,"14,325"
"Shark, basking...............................",,0,0,0,0,0,0,0,0,77,0,0,0,77
"Shark, bigeye thresher...................",,94,215,0,0,0,0,0,135,"1,442","3,062","1,088",899,"6,935"
"Shark, blacktip...............................",,0,0,0,0,0,87,0,0,0,0,0,0,87
"Shark, blue.....................................",,0,0,0,0,28,0,0,0,0,0,0,0,28
"Shark, brown smoothhound............",,471,794,634,190,21,54,27,131,230,5,303,270,"3,129"
"Shark, gray smoothhound..............",,88,0,245,87,175,25,25,0,45,220,143,0,"1,053"
"Shark, horn....................................",,0,0,0,45,0,0,0,0,0,0,0,0,45
"Shark, leopard................................",,"1,073","1,117","2,797","2,660","2,116","2,952","1,981","1,744","1,638","1,408",870,"1,510","21,864"
"Shark, pelagic thresher..................",,0,0,0,0,0,0,"1,130",0,771,0,218,0,"2,119"
"Shark, sevengill..............................",,2,0,0,0,142,64,0,100,0,0,0,0,308
"Shark, shortfin mako......................",,"7,236","1,008",736,281,"1,138","14,276","10,828","14,013","10,359","9,473","9,564","3,474","82,385"
"Shark, soupfin................................",,"4,310","4,105","3,627","1,022","4,398","9,388","5,856","3,522","1,059","1,596","2,311","1,060","42,252"
"Shark, spiny dogfish.......................",,770,78,87,"17,324","10,821","4,466","13,835",64,"6,799",25,609,"3,245","58,122"
"Shark, swell....................................",,0,30,0,112,0,0,0,0,0,17,0,0,159
"Shark, thresher...............................",,"25,533","2,790",257,750,"10,979","11,842","23,613","6,322","14,455","9,628","20,863","20,954","147,985"
"Shark, unspecified..........................",,15,"8,753",130,720,595,484,322,83,25,46,666,215,"12,053"
"Shark, white...................................",,0,0,0,0,0,422,0,0,0,0,0,0,422
"Sharks, cow...................................",,0,0,0,6,0,0,0,0,0,0,0,0,6
"Sheephead, California....................",,400,381,"10,591","11,211","12,259","11,993","14,306","16,276","8,931",848,19,0,"87,213"
Silversides......................................,,0,0,256,0,0,0,0,0,0,0,49,0,305
"Skate, California.............................",,0,0,0,0,0,47,0,0,0,0,0,0,47
"Skate, thornback............................",,0,0,0,0,0,0,0,0,1,0,0,0,1
"Skate, unspecified..........................",,"3,500","15,020","20,833","10,929","43,594","38,176","21,893","65,719","18,992","4,126","7,009","2,054","251,845"
"Smelt, night....................................",,"2,324","2,393","26,593","54,924","45,100","66,164","31,174","1,538","1,792",1,0,0,"232,003"
"Smelt, surf......................................",,221,36,192,"3,714","23,857","26,335","26,974","27,226","4,839","1,078",0,0,"114,472"
"Smelts, true....................................",,0,0,229,0,0,0,0,0,7,0,0,0,236
"Sole, Dover....................................",,"266,768","362,802","504,833","371,122","416,720","493,839","679,626","420,652","574,569","540,485","537,722","168,647","5,337,785"
"Sole, English..................................",,"27,633","69,291","37,961","16,785","87,977","106,532","74,327","132,457","81,462","8,558","16,194","18,205","677,381"
"Sole, fantail....................................",,0,0,2,0,0,0,0,0,0,0,0,0,2
"Sole, petrale...................................",,"123,814","111,673","90,833","46,846","87,422","48,786","61,415","139,665","79,737","39,076","103,171","147,847","1,080,285"
"Sole, rex.........................................",,"31,014","49,019","50,304","34,364","38,516","34,116","60,657","47,207","40,577","29,542","36,629","11,837","463,782"
"Sole, rock.......................................",,"4,780","6,676","4,413","5,883","2,463",184,878,611,"1,910",954,139,85,"28,977"
"Sole, sand......................................",,"10,880","8,840","3,643","1,109","1,937","3,371","7,319","8,271","1,440",384,625,"2,570","50,388"
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Sole, unspecified............................",,"1,908","1,533","2,009",896,"2,935","2,447","1,959",510,974,"2,496","3,152","2,543","23,361"
Stingray..........................................,,0,0,0,0,0,0,0,0,34,0,0,0,34
"Surfperch, barred...........................",,"3,595","3,835","3,831","7,149",5,27,"1,098","1,529",919,"2,397","2,691",899,"27,976"
"Surfperch, black.............................",,0,0,0,17,0,0,0,22,15,0,0,0,54
"Surfperch, pile................................",,32,0,19,10,0,0,0,0,0,0,0,0,61
"Surfperch, rainbow.........................",,0,0,0,0,0,0,0,0,8,0,0,0,8
"Surfperch, redtail............................",,83,443,"2,568","4,440",0,0,0,"11,184","2,633","1,459",384,149,"23,343"
"Surfperch, rubberlip........................",,0,77,61,131,32,21,4,0,0,0,0,0,326
"Surfperch, shiner............................",,0,0,6,0,0,0,0,0,0,0,0,0,6
"Surfperch, unspecified....................",,"6,940","5,020","7,973","5,839",140,7,447,"2,689",912,"1,801","1,695","2,881","36,342"
"Surfperch, walleye..........................",,0,0,7,57,0,0,0,0,0,0,0,0,64
Swordfish.......................................,,"214,873","379,761","348,701","452,920","37,516","14,896","21,954","28,052","37,429","30,740","117,405","118,167","1,802,414"
"Thornyhead, longspine...................",,"47,705","101,270","82,185","84,558","90,353","120,405","154,483","62,021","113,442","160,955","112,861","67,681","1,197,918"
"Thornyhead, shortspine..................",,"36,422","47,688","62,701","37,002","56,109","55,656","73,618","41,377","70,996","85,945","92,551","34,483","694,548"
Thornyheads..................................,,"2,474","3,827","5,443","3,686","18,869","14,062","15,823","4,013","3,342","3,387","10,311","6,076","91,313"
"Tomcod, Pacific.............................",,0,0,221,0,0,30,0,0,0,0,540,0,791
"Tuna, albacore...............................",,987,199,51,206,"15,156","43,136","59,931","346,846","1,268,452","1,029,701","178,496","33,639","2,976,800"
"Tuna, bigeye..................................",,"8,704","19,111","8,687","7,251","1,649",0,0,0,0,0,0,0,"45,402"
"Tuna, bluefin..................................",,"1,721",0,0,0,0,0,0,108,72,"2,844","11,643","4,241","20,628"
"Tuna, skipjack................................",,0,"286,977","27,893","104,968",5,"2,898",0,10,"247,458",382,266,35,"670,892"
"Tuna, unspecified...........................",,0,"17,266",0,"2,876",0,0,0,0,0,0,0,0,"20,142"
"Tuna, yellowfin...............................",,58,"210,971","170,209","159,055",262,"193,868",879,530,"314,380",723,"2,194",211,"1,053,339"
Turbot............................................,,326,214,155,290,365,307,291,323,373,6,241,96,"2,987"
Wahoo............................................,,0,0,0,0,0,0,9,0,0,0,0,0,9
"Whitefish, ocean.............................",,43,33,418,318,200,145,901,871,195,452,90,47,"3,711"
"Whiting, Pacific..............................",,"5,396",439,25,"5,445,340","5,003,352",110,69,22,0,2,0,12,"10,454,767"
"Wrasse, rock..................................",,0,0,0,2,0,0,1,0,0,0,0,0,3
Yellowtail........................................,,407,32,220,0,135,"4,959","7,885","14,181","10,518","7,020",886,777,"47,019"
Zebraperch.....................................,,0,0,0,0,0,0,0,1,0,0,0,0,1
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness...........................",,"4,083,478","1,238,287","773,531","387,975","266,230","80,908","23,765",0,0,0,"3,736,134","14,280,309","24,870,614"
"Crab, box.......................................",,588,192,640,377,978,497,922,165,0,27,327,48,"4,761"
"Crab, claws....................................",,924,872,410,179,177,87,50,354,46,112,133,183,"3,526"
"Crab, king.......................................",,22,10,152,52,12,18,11,5,27,10,22,2,343
"Crab, pelagic red............................",,0,0,20,0,0,0,0,0,0,6,0,0,26
"Crab, red rock................................",,0,0,66,0,0,69,0,0,0,0,0,0,135
"Crab, rock unspecified....................",,"64,425","52,161","64,791","81,983","71,803","82,535","91,956","87,510","63,523","52,323","43,001","52,584","808,594"
"Crab, sand.....................................",,0,0,8,7,370,29,13,0,0,0,0,0,427
"Crab, shore....................................",,0,0,0,0,0,0,0,0,0,0,0,50,50
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Crab, spider...................................","12,079","11,339","11,171","7,290","8,759","5,755","7,524","8,950","5,973","7,101","4,868","4,441","95,251"
"Crab, tanner...................................",0,"62,038","79,113","82,702","101,981","134,849",281,0,0,0,0,0,"460,964"
"Crab, yellow rock............................",0,0,16,5,0,0,0,0,0,0,0,0,21
"Crayfish, red swamp......................",0,0,0,0,0,0,"1,031","1,700",448,0,0,0,"3,179"
"Crayfish, unspecified......................",430,"1,255","1,167","2,165","4,970","4,489","9,669","53,888","17,574","9,381","1,112","1,522","107,622"
"Crustacean, unspecified.................",0,0,8,6,46,36,0,9,0,5,7,0,117
"Lobster, California spiny.................","75,439","44,285","28,600",0,0,0,0,0,0,"467,182","180,339","132,456","928,302"
"Prawn, ridgeback...........................","15,531","5,177","8,427","8,322","8,432",0,0,5,41,"6,875","5,019","2,720","60,548"
"Prawn, spot....................................","5,543","15,188","22,089","20,297","19,247","19,605","27,506","24,665","23,336","24,549","13,344","8,262","223,628"
"Shrimp, bay....................................","7,765","6,134","2,695","2,413","4,511","7,843","9,208","9,034","4,736","3,991","3,895","4,199","66,424"
"Shrimp, brine..................................",0,0,"79,372","110,151","171,897","138,470","109,658","120,280","119,015","54,845","19,366","2,557","925,611"
"Shrimp, coonstriped.......................",0,0,0,0,"13,391","8,111","2,614",850,"11,957","9,065",0,0,"45,989"
"Shrimp, ghost.................................",123,257,"1,235",18,28,29,32,12,4,5,0,60,"1,803"
"Shrimp, mantis...............................","3,342","1,907","2,644",157,705,22,0,0,0,0,894,427,"10,097"
"Shrimp, ocean (pink).................",0,0,0,"145,699","915,753","251,642","340,847","329,729","174,183","29,667",0,0,"2,187,520"
"Shrimp, red rock.............................",0,0,0,0,0,0,0,32,0,0,0,0,32
"Shrimp, unspecified........................",0,0,0,145,51,0,0,0,0,0,0,0,196
Echinoderms,,,,,,,,,,,,,
"Echinoderm, unspecified................",0,0,0,5,0,5,0,0,10,0,0,0,20
"Sea cucumber, giant red................","21,415","13,606","28,686","12,406","20,520","28,816","45,238","38,695","34,204","12,169","14,303","18,739","288,796"
"Sea cucumber, warty.....................","15,787","18,729","71,340","54,545","42,666","29,769","37,477","10,633","2,467",620,913,803,"285,749"
Sea stars........................................,697,564,856,833,"1,391","1,991","2,273","2,866",934,"2,824",100,270,"15,600"
"Sea urchin, purple..........................",0,85,48,79,"1,564",186,15,300,323,169,70,0,"2,839"
"Sea urchin, red...............................","1,263,970","704,208","1,157,934","674,129","962,779","787,083","625,661","1,260,015","1,214,931","1,026,290","1,495,955","1,055,547","12,228,501"
Mollusks,,,,,,,,,,,,,
"Clam, California jackknife...............",0,0,0,0,0,1,0,0,0,0,0,0,1
"Clam, unspecified...........................",0,0,0,0,3,0,0,0,0,0,0,0,3
"Limpet, unspecified........................",220,130,0,95,56,257,0,50,220,16,21,7,"1,072"
"Mollusk, unspecified.......................",0,0,0,20,44,0,0,0,0,0,3,0,67
Mussel...........................................,0,0,476,65,500,560,0,"1,050",200,300,150,209,"3,510"
"Octopus, unspecified......................",311,471,347,547,366,109,444,184,171,143,202,309,"3,602"
Sea hare........................................,592,339,"1,327","1,165",905,"1,611","1,229",961,"1,035",714,920,391,"11,189"
"Snail, bubble..................................",2,0,1,0,0,0,0,0,0,0,0,0,3
"Snail, sea.......................................",144,61,125,164,626,60,199,57,0,34,271,320,"2,061"
"Snail, top........................................",63,373,"1,724","4,415",291,711,289,202,687,0,132,15,"8,902"
"Snails, moon..................................",0,0,20,435,636,0,0,0,0,0,0,0,"1,091"
"Squid, jumbo..................................",738,470,0,92,2,0,0,0,0,226,0,0,"1,528"
"Squid, market.................................","12,474,412","8,548,960","4,414,192","5,532,246","9,328,095","7,476,512","2,574,882","2,428,057","317,923","84,681","14,100,863","21,053,809","88,334,632"
Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
Mollusks,,,,,,,,,,,,,
"Whelk, Kellet's................................","9,416","6,939","6,974","7,309","4,610  4,008","6,300",,"4,647  4,165","6,734",,"6,266","3,003","70,371"
Plants,,,,,,,,,,,,,
"Algae, marine.................................",0,0,2,0,0  0,,0,0,0,30,0,0,32
Kelp................................................,50,0,80,0,0  0,,60,0,0,0,95,0,285
Worms,,,,,,,,,,,,,
"Invertebrates, colonial....................",22,24,24,95,0  23,,16,2  36,,18,15,0,275
Tunicates.......................................,10,0,0,2,0  0,,0,0,0,0,0,0,12
"Worms, marine...............................",0,0,5,0,0  0,,0,0,0,0,0,0,5
Total Pounds:,"39,465,910","17,350,772","16,636,292","24,044,517","25,670,984  17,507,626","16,373,259",,"24,637,871  16,635,147","25,964,324",,"35,334,275","42,032,985","301,653,961"
"",,,,,*******************,,,Total Records:,"134,316",,,,
"",,,,,End of Report,,,,,,,,
