"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Shark, brown smoothhound........",,113,"1,632",23,92,7,2,3,0,0,24,0,0,"1,895"
"Shark, gray smoothhound............",,0,161,0,30,27,35,92,7,43,4,80,12,491
"Shark, horn.....................................",,0,3,0,0,0,0,13,10,5,0,0,0,31
"Shark, leopard...............................",,960,970,174,396,820,382,413,654,311,455,581,277,"6,393"
"Shark, pelagic thresher................",,0,0,0,0,193,0,0,0,0,0,0,0,193
"Shark, sevengill..............................",,0,0,0,0,0,31,0,0,26,51,0,0,108
"Shark, shortfin mako.....................",,"1,602","1,119",757,449,487,"5,133","7,684","5,006","7,420","11,154","9,823","2,625","53,259"
"Shark, sixgill....................................",,0,0,25,0,0,0,0,0,0,0,0,0,25
"Shark, smooth hammerhead.......",,0,0,0,0,0,0,208,0,0,0,0,0,208
"Shark, soupfin................................",,"1,776","1,819",224,684,369,436,"3,422","2,860",209,722,"1,733",385,"14,638"
"Shark, spiny dogfish......................",,12,20,60,"1,268","9,382","5,908","8,236","24,710","41,696","6,964",0,0,"98,256"
"Shark, swell.....................................",,0,0,11,0,0,0,0,0,12,0,0,0,23
"Shark, thresher...............................",,"17,671","7,306","1,534",327,"5,094","17,378","9,474","20,502","19,928","47,434","20,993","22,939","190,582"
"Shark, unspecified........................",,10,53,72,257,25,24,176,110,310,340,376,456,"2,209"
"Shark, white...................................",,0,0,0,0,0,0,60,143,312,255,0,0,770
"Sheephead, California.................",,"9,112","6,848",0,0,"10,960","9,266","10,477","9,579","2,708","3,174","11,569","7,459","81,151"
Silversides.......................................,,0,0,4,0,0,0,0,0,0,0,0,0,4
"Skate, California............................",,0,0,0,0,20,0,0,0,6,0,0,0,26
"Skate, big.......................................",,0,32,0,0,126,0,6,0,3,0,0,0,167
"Skate, thornback..........................",,0,0,30,61,143,5,93,1,146,0,0,0,479
"Skate, unspecified........................",,"13,953","26,337","30,718","82,656","25,916","46,244","42,863","38,013","38,579","20,207","16,500","9,655","391,641"
"Smelt, night....................................",,0,"12,371","25,004","35,060","43,499","80,885","107,318","11,115",0,0,0,0,"315,252"
"Smelt, surf.......................................",,0,50,0,549,"10,674","32,405","11,349","20,616","7,034",704,0,0,"83,381"
"Smelts, true....................................",,15,0,0,0,0,117,0,0,0,0,0,0,132
"Sole, Dover....................................",,"317,574","482,517","755,534","635,651","438,404","469,355","572,980","567,235","876,222","703,329","543,142","305,473","6,667,414"
"Sole, English...................................",,"12,702","20,627","23,240","42,358","29,947","28,798","32,610","27,295","21,222","10,046","33,385","24,369","306,598"
"Sole, butter....................................",,0,0,0,0,0,0,86,0,0,0,0,0,86
"Sole, fantail....................................",,0,0,3,18,10,130,9,2,0,0,0,0,172
"Sole, petrale..................................",,"339,899","334,866","154,593","152,179","125,176","92,659","95,184","101,780","105,070","94,380","159,184","293,716","2,048,686"
"Sole, rex..........................................",,"28,966","26,472","27,678","33,184","23,286","18,600","26,348","20,608","25,160","35,620","25,776","22,651","314,350"
"Sole, rock.......................................",,243,523,323,530,246,26,175,618,"1,914",73,23,13,"4,707"
"Sole, sand......................................",,326,829,810,278,194,258,"1,961",219,39,34,472,331,"5,749"
"Sole, slender..................................",,0,0,0,0,0,0,0,2,0,0,0,0,2
"Sole, unspecified...........................",,"4,912","4,812","2,067",818,"7,300",457,"1,566","1,684","1,379",488,506,188,"26,176"
Stingray..........................................,,465,700,589,"1,217",840,0,0,0,9,0,0,507,"4,327"
"Surfperch, barred..........................",,19,23,66,11,0,0,0,268,153,379,183,257,"1,360"
"Surfperch, black............................",,12,10,0,0,2,0,0,0,2,8,15,4,53
"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Fishes,,,,,,,,,,,,,,
"Surfperch, pile...............................",,0,0,11,0,0,0,0,0,0,0,0,0,11
"Surfperch, rainbow.......................",,0,0,0,0,1,0,0,1,1,0,2,0,5
"Surfperch, redtail..........................",,88,512,729,"5,244",0,229,0,"2,403","1,761","1,251",599,390,"13,206"
"Surfperch, rubberlip......................",,0,0,0,0,0,0,2,31,3,7,7,0,49
"Surfperch, unspecified.................",,204,206,935,363,1,15,162,415,342,216,"1,337","1,077","5,273"
"Surfperch, walleye........................",,0,0,0,0,0,0,0,0,0,0,0,1,1
"Surfperch, white............................",,30,0,0,0,0,0,0,0,0,0,2,0,32
Swordfish........................................,,"14,703",777,502,600,129,"5,887","20,355","24,121","52,925","150,815","282,368","254,332","807,515"
"Thornyhead, longspine.................",,"75,574","134,440","156,216","129,925","134,899","121,923","138,116","141,999","179,255","142,681","117,206","59,654","1,531,888"
"Thornyhead, shortspine................",,"62,351","81,309","89,974","72,621","73,679","69,788","85,772","74,380","89,127","83,567","76,248","61,889","920,704"
Thornyheads..................................,,226,412,135,206,78,293,680,"1,598","1,027",0,0,0,"4,655"
"Tomcod, Pacific............................",,0,350,0,0,0,127,0,0,58,0,0,0,535
"Tuna, albacore..............................",,0,710,346,154,0,76,"15,171","124,377","129,914","550,949","9,385","2,451","833,533"
"Tuna, bigeye..................................",,0,"9,726","22,007","16,650",0,0,0,0,0,0,0,405,"48,788"
"Tuna, bluefin..................................",,0,0,0,0,0,13,132,241,47,547,312,507,"1,799"
"Tuna, skipjack, black....................",,0,0,0,0,0,0,0,0,24,0,0,0,24
"Tuna, skipjack................................",,0,137,128,"5,588",0,0,0,0,50,500,69,21,"6,492"
"Tuna, unspecified.........................",,0,0,0,0,0,0,0,96,592,268,410,6,"1,372"
"Tuna, yellowfin...............................",,0,934,"2,248","134,846",0,20,135,"2,020","2,166",394,447,0,"143,209"
"Turbot, diamond...........................",,0,0,0,0,1,0,0,0,0,0,0,0,1
"Turbot, hornyhead........................",,0,0,0,0,0,0,0,0,0,0,0,6,6
Turbot.............................................,,14,3,106,62,9,25,126,30,33,102,14,74,597
Wahoo...........................................,,0,0,109,465,0,0,0,0,0,0,0,0,574
"Whitefish, ocean...........................",,380,233,61,75,166,46,99,281,210,477,"1,517",373,"3,919"
"Whiting, Pacific.............................",,37,54,160,3,"10,723,311",25,114,"176,102",15,1,5,10,"10,899,837"
Yellowtail........................................,,137,437,107,436,161,"1,344","4,802","3,292",630,114,393,868,"12,722"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................",,"1,228,573","845,081","603,333","615,926","551,755","271,751","45,005",0,0,0,"502,137","3,902,016","8,565,577"
"Crab, armed box..........................",,83,115,29,41,153,20,59,35,30,152,46,11,773
"Crab, box.......................................",,50,0,300,610,"1,180",0,13,121,0,14,0,524,"2,811"
"Crab, brown rock..........................",,44,"1,108",5,9,197,801,"2,034",20,"1,947",242,121,40,"6,568"
"Crab, claws...................................",,60,127,102,0,46,0,40,72,22,0,2,140,611
"Crab, king......................................",,10,0,31,165,123,4,0,0,4,0,0,0,336
"Crab, red rock...............................",,"16,471","16,534","27,400","23,386","27,866","19,763","20,044","29,301","20,609","22,410","22,143","13,649","259,577"
"Crab, rock unspecified................",,"42,502","52,881","57,997","59,274","70,598","56,999","66,088","67,030","47,749","44,803","30,330","34,508","630,758"
"Crab, sand.....................................",,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crab, shore....................................",,0,0,0,0,0,0,0,0,0,0,"2,725",0,"2,725"
"Crab, spider...................................",,"6,159","5,749","9,139","4,258","3,984","3,638","4,109","5,006","3,734","4,190","4,720","7,040","61,726"
"Crab, spider/sheep claws............",,0,0,0,0,0,19,0,0,0,0,7,0,26
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Crab, tanner..................................",0,0,0,117,0,2,0,0,0,0,0,0,119
"Crab, yellow rock..........................","26,387","30,753","31,507","27,214","30,914","27,810","29,617","32,337","22,024","20,044","20,673","17,518","316,799"
"Crayfish, red swamp.....................",0,0,0,0,0,0,0,490,400,0,0,0,890
"Crayfish, unspecified....................","1,642",423,578,"1,448","4,677","7,027","8,897","69,058","63,043","11,888","1,219",687,"170,587"
"Crustacean, unspecified.............",0,12,4,12,12,0,0,0,0,6,0,0,46
"Lobster, California spiny...............","79,863","56,141","27,419",0,0,0,0,0,0,"311,033","145,630","118,064","738,151"
"Prawn, ridgeback.........................","43,310","56,346","42,933","46,053","54,237",15,414,213,204,"95,549","107,871","66,770","513,916"
"Prawn, spot....................................","2,003","25,688","25,310","27,575","30,240","30,670","33,485","34,762","28,687","33,472","8,829","6,419","287,139"
"Shrimp, bay....................................","4,710","5,124","4,124","2,229","2,554","2,575","4,977","5,141","1,907","1,152","4,356","7,149","45,998"
